08:28:05 StatefulSet rfr-test-cluster 1444:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
08:23:01 Pod rfs-test-cluster-54df69f8df-cvz4h 850:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-cvz4h to acto-cluster-0-worker2
08:23:05 Pod rfs-test-cluster-54df69f8df-cvz4h 855:	Container image "redis:6.2.6-alpine" already present on machine
08:23:05 Pod rfs-test-cluster-54df69f8df-cvz4h 855:	Created container sentinel-config-copy
08:23:18 Pod rfs-test-cluster-54df69f8df-cvz4h 855:	Started container sentinel-config-copy
08:23:21 Pod rfs-test-cluster-54df69f8df-cvz4h 855:	Container image "redis:6.2.6-alpine" already present on machine
08:23:21 Pod rfs-test-cluster-54df69f8df-cvz4h 855:	Created container sentinel
08:23:21 Pod rfs-test-cluster-54df69f8df-cvz4h 855:	Started container sentinel
08:23:01 Pod rfs-test-cluster-54df69f8df-d6vzt 844:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-d6vzt to acto-cluster-0-worker3
08:23:02 Pod rfs-test-cluster-54df69f8df-d6vzt 849:	Container image "redis:6.2.6-alpine" already present on machine
08:23:02 Pod rfs-test-cluster-54df69f8df-d6vzt 849:	Created container sentinel-config-copy
08:23:21 Pod rfs-test-cluster-54df69f8df-d6vzt 849:	Started container sentinel-config-copy
08:23:22 Pod rfs-test-cluster-54df69f8df-d6vzt 849:	Container image "redis:6.2.6-alpine" already present on machine
08:23:22 Pod rfs-test-cluster-54df69f8df-d6vzt 849:	Created container sentinel
08:23:22 Pod rfs-test-cluster-54df69f8df-d6vzt 849:	Started container sentinel
08:23:01 Pod rfs-test-cluster-54df69f8df-rxk6n 848:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rxk6n to acto-cluster-0-worker
08:23:05 Pod rfs-test-cluster-54df69f8df-rxk6n 854:	Container image "redis:6.2.6-alpine" already present on machine
08:23:05 Pod rfs-test-cluster-54df69f8df-rxk6n 854:	Created container sentinel-config-copy
08:23:20 Pod rfs-test-cluster-54df69f8df-rxk6n 854:	Started container sentinel-config-copy
08:23:22 Pod rfs-test-cluster-54df69f8df-rxk6n 854:	Container image "redis:6.2.6-alpine" already present on machine
08:23:22 Pod rfs-test-cluster-54df69f8df-rxk6n 854:	Created container sentinel
08:23:22 Pod rfs-test-cluster-54df69f8df-rxk6n 854:	Started container sentinel
08:23:01 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-d6vzt
08:23:01 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-cvz4h
08:23:01 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-rxk6n
08:23:01 PodDisruptionBudget rfs-test-cluster 837:	No matching pods found
08:23:01 Deployment rfs-test-cluster 840:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
