09:39:23 Pod redisoperator-56c8dfdfb-vl45k 798:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-vl45k to acto-cluster-7-worker2
09:39:44 Pod rfs-test-cluster-54df69f8df-dtkzl 867:	Started container sentinel-config-copy
09:39:46 Pod rfs-test-cluster-54df69f8df-dtkzl 867:	Container image "redis:6.2.6-alpine" already present on machine
09:39:46 Pod rfs-test-cluster-54df69f8df-dtkzl 867:	Created container sentinel
09:39:46 Pod rfs-test-cluster-54df69f8df-dtkzl 867:	Started container sentinel
09:53:05 Pod rfs-test-cluster-54df69f8df-dtkzl 867:	Stopping container sentinel
09:53:06 Pod rfs-test-cluster-54df69f8df-dtkzl 867:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
09:53:06 Pod rfs-test-cluster-54df69f8df-dtkzl 867:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
09:39:26 Pod rfs-test-cluster-54df69f8df-hwx6x 856:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hwx6x to acto-cluster-7-worker2
09:39:26 Pod rfs-test-cluster-54df69f8df-hwx6x 859:	Container image "redis:6.2.6-alpine" already present on machine
09:39:26 Pod rfs-test-cluster-54df69f8df-hwx6x 859:	Created container sentinel-config-copy
09:39:42 Pod rfs-test-cluster-54df69f8df-hwx6x 859:	Started container sentinel-config-copy
09:39:44 Pod rfs-test-cluster-54df69f8df-hwx6x 859:	Container image "redis:6.2.6-alpine" already present on machine
09:39:44 Pod rfs-test-cluster-54df69f8df-hwx6x 859:	Created container sentinel
09:39:44 Pod rfs-test-cluster-54df69f8df-hwx6x 859:	Started container sentinel
09:51:25 Pod rfs-test-cluster-54df69f8df-hwx6x 859:	Stopping container sentinel
09:39:26 Pod rfs-test-cluster-54df69f8df-kppks 861:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-kppks to acto-cluster-7-worker3
09:39:26 Pod rfs-test-cluster-54df69f8df-kppks 868:	Container image "redis:6.2.6-alpine" already present on machine
09:39:26 Pod rfs-test-cluster-54df69f8df-kppks 868:	Created container sentinel-config-copy
09:39:42 Pod rfs-test-cluster-54df69f8df-kppks 868:	Started container sentinel-config-copy
09:39:44 Pod rfs-test-cluster-54df69f8df-kppks 868:	Container image "redis:6.2.6-alpine" already present on machine
09:39:44 Pod rfs-test-cluster-54df69f8df-kppks 868:	Created container sentinel
09:39:44 Pod rfs-test-cluster-54df69f8df-kppks 868:	Started container sentinel
09:52:15 Pod rfs-test-cluster-54df69f8df-kppks 868:	Stopping container sentinel
09:52:16 Pod rfs-test-cluster-54df69f8df-kppks 868:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
09:52:16 Pod rfs-test-cluster-54df69f8df-kppks 868:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
10:02:55 Pod rfs-test-cluster-54df69f8df-n29ng 3932:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-n29ng to acto-cluster-7-worker
