00:37:21 Pod test-cluster-pxc-2 4018:	Started container pxc
00:44:06 Pod test-cluster-pxc-2 4018:	Stopping container logs
00:44:06 Pod test-cluster-pxc-2 4018:	Stopping container pxc
00:44:06 Pod test-cluster-pxc-2 4018:	Stopping container logrotate
00:44:21 Pod test-cluster-pxc-2 5329:	Successfully assigned acto-namespace/test-cluster-pxc-2 to acto-cluster-1-worker2
00:44:22 Pod test-cluster-pxc-2 5330:	Container image "percona/percona-xtradb-cluster-operator:1.11.0" already present on machine
00:44:22 Pod test-cluster-pxc-2 5330:	Created container pxc-init
00:44:22 Pod test-cluster-pxc-2 5330:	Started container pxc-init
00:44:24 Pod test-cluster-pxc-2 5330:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:44:24 Pod test-cluster-pxc-2 5330:	Created container logs
00:44:24 Pod test-cluster-pxc-2 5330:	Started container logs
00:44:24 Pod test-cluster-pxc-2 5330:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:44:24 Pod test-cluster-pxc-2 5330:	Created container logrotate
00:44:24 Pod test-cluster-pxc-2 5330:	Started container logrotate
00:44:24 Pod test-cluster-pxc-2 5330:	Container image "percona/percona-xtradb-cluster:8.0.27-18.1" already present on machine
00:44:24 Pod test-cluster-pxc-2 5330:	Created container pxc
00:44:24 Pod test-cluster-pxc-2 5330:	Started container pxc
00:51:09 Pod test-cluster-pxc-2 5330:	Stopping container logs
00:51:09 Pod test-cluster-pxc-2 5330:	Stopping container pxc
00:51:09 Pod test-cluster-pxc-2 5330:	Stopping container logrotate
00:51:23 Pod test-cluster-pxc-2 6660:	Successfully assigned acto-namespace/test-cluster-pxc-2 to acto-cluster-1-worker2
00:51:25 Pod test-cluster-pxc-2 6662:	Container image "percona/percona-xtradb-cluster-operator:1.11.0" already present on machine
00:51:25 Pod test-cluster-pxc-2 6662:	Created container pxc-init
00:51:25 Pod test-cluster-pxc-2 6662:	Started container pxc-init
00:51:26 Pod test-cluster-pxc-2 6662:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:51:26 Pod test-cluster-pxc-2 6662:	Created container logs
00:51:26 Pod test-cluster-pxc-2 6662:	Started container logs
00:51:26 Pod test-cluster-pxc-2 6662:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:51:26 Pod test-cluster-pxc-2 6662:	Created container logrotate
00:51:27 Pod test-cluster-pxc-2 6662:	Started container logrotate
00:51:27 Pod test-cluster-pxc-2 6662:	Container image "percona/percona-xtradb-cluster:8.0.27-18.1" already present on machine
00:51:27 Pod test-cluster-pxc-2 6662:	Created container pxc
00:51:27 Pod test-cluster-pxc-2 6662:	Started container pxc
00:21:52 StatefulSet test-cluster-pxc 949:	create Pod test-cluster-pxc-0 in StatefulSet test-cluster-pxc successful
00:22:57 StatefulSet test-cluster-pxc 1241:	create Pod test-cluster-pxc-1 in StatefulSet test-cluster-pxc successful
00:24:03 StatefulSet test-cluster-pxc 1538:	create Pod test-cluster-pxc-2 in StatefulSet test-cluster-pxc successful
