08:42:27 ReplicaSet rfs-test-cluster-54df69f8df 1976:	Created pod: rfs-test-cluster-54df69f8df-rcnz5
08:43:17 ReplicaSet rfs-test-cluster-54df69f8df 2196:	Created pod: rfs-test-cluster-54df69f8df-q8phs
08:44:07 ReplicaSet rfs-test-cluster-54df69f8df 2331:	Created pod: rfs-test-cluster-54df69f8df-4jthl
08:38:55 Pod rfs-test-cluster-55849b4bc6-8sclv 1485:	Successfully assigned acto-namespace/rfs-test-cluster-55849b4bc6-8sclv to acto-cluster-5-worker2
08:38:55 Pod rfs-test-cluster-55849b4bc6-8sclv 1490:	Pulling image "redis:6.2.6-alpine"
08:38:55 Pod rfs-test-cluster-55849b4bc6-8sclv 1490:	Successfully pulled image "redis:6.2.6-alpine" in 174.593733ms
08:38:55 Pod rfs-test-cluster-55849b4bc6-8sclv 1490:	Created container sentinel-config-copy
08:39:10 Pod rfs-test-cluster-55849b4bc6-8sclv 1490:	Started container sentinel-config-copy
08:39:11 Pod rfs-test-cluster-55849b4bc6-8sclv 1490:	Pulling image "redis:6.2.6-alpine"
08:39:11 Pod rfs-test-cluster-55849b4bc6-8sclv 1490:	Successfully pulled image "redis:6.2.6-alpine" in 210.355496ms
08:39:11 Pod rfs-test-cluster-55849b4bc6-8sclv 1490:	Created container sentinel
08:39:12 Pod rfs-test-cluster-55849b4bc6-8sclv 1490:	Started container sentinel
08:44:07 Pod rfs-test-cluster-55849b4bc6-8sclv 1490:	Stopping container sentinel
08:39:45 Pod rfs-test-cluster-55849b4bc6-hknjm 1641:	Successfully assigned acto-namespace/rfs-test-cluster-55849b4bc6-hknjm to acto-cluster-5-worker
08:39:45 Pod rfs-test-cluster-55849b4bc6-hknjm 1644:	Pulling image "redis:6.2.6-alpine"
08:39:46 Pod rfs-test-cluster-55849b4bc6-hknjm 1644:	Successfully pulled image "redis:6.2.6-alpine" in 182.86837ms
08:39:46 Pod rfs-test-cluster-55849b4bc6-hknjm 1644:	Created container sentinel-config-copy
08:40:00 Pod rfs-test-cluster-55849b4bc6-hknjm 1644:	Started container sentinel-config-copy
08:40:03 Pod rfs-test-cluster-55849b4bc6-hknjm 1644:	Pulling image "redis:6.2.6-alpine"
08:40:03 Pod rfs-test-cluster-55849b4bc6-hknjm 1644:	Successfully pulled image "redis:6.2.6-alpine" in 191.743735ms
08:40:03 Pod rfs-test-cluster-55849b4bc6-hknjm 1644:	Created container sentinel
08:40:03 Pod rfs-test-cluster-55849b4bc6-hknjm 1644:	Started container sentinel
08:44:58 Pod rfs-test-cluster-55849b4bc6-hknjm 1644:	Stopping container sentinel
08:38:04 Pod rfs-test-cluster-55849b4bc6-qwrcp 1313:	Successfully assigned acto-namespace/rfs-test-cluster-55849b4bc6-qwrcp to acto-cluster-5-worker3
08:38:05 Pod rfs-test-cluster-55849b4bc6-qwrcp 1315:	Pulling image "redis:6.2.6-alpine"
08:38:06 Pod rfs-test-cluster-55849b4bc6-qwrcp 1315:	Successfully pulled image "redis:6.2.6-alpine" in 478.556576ms
08:38:06 Pod rfs-test-cluster-55849b4bc6-qwrcp 1315:	Created container sentinel-config-copy
08:38:18 Pod rfs-test-cluster-55849b4bc6-qwrcp 1315:	Started container sentinel-config-copy
08:38:20 Pod rfs-test-cluster-55849b4bc6-qwrcp 1315:	Pulling image "redis:6.2.6-alpine"
08:38:20 Pod rfs-test-cluster-55849b4bc6-qwrcp 1315:	Successfully pulled image "redis:6.2.6-alpine" in 181.719518ms
08:38:20 Pod rfs-test-cluster-55849b4bc6-qwrcp 1315:	Created container sentinel
08:38:20 Pod rfs-test-cluster-55849b4bc6-qwrcp 1315:	Started container sentinel
08:43:17 Pod rfs-test-cluster-55849b4bc6-qwrcp 1315:	Stopping container sentinel
08:38:04 ReplicaSet rfs-test-cluster-55849b4bc6 1310:	Created pod: rfs-test-cluster-55849b4bc6-qwrcp
08:38:55 ReplicaSet rfs-test-cluster-55849b4bc6 1483:	Created pod: rfs-test-cluster-55849b4bc6-8sclv
08:39:45 ReplicaSet rfs-test-cluster-55849b4bc6 1638:	Created pod: rfs-test-cluster-55849b4bc6-hknjm
08:43:17 ReplicaSet rfs-test-cluster-55849b4bc6 2186:	Deleted pod: rfs-test-cluster-55849b4bc6-qwrcp
08:44:07 ReplicaSet rfs-test-cluster-55849b4bc6 2321:	Deleted pod: rfs-test-cluster-55849b4bc6-8sclv
08:44:58 ReplicaSet rfs-test-cluster-55849b4bc6 2451:	Deleted pod: rfs-test-cluster-55849b4bc6-hknjm
08:35:01 PodDisruptionBudget rfs-test-cluster 836:	No matching pods found
08:35:01 Deployment rfs-test-cluster 840:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
08:38:04 Deployment rfs-test-cluster 1309:	Scaled up replica set rfs-test-cluster-55849b4bc6 to 1
08:38:55 Deployment rfs-test-cluster 1405:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
08:38:55 Deployment rfs-test-cluster 1476:	Scaled up replica set rfs-test-cluster-55849b4bc6 to 2
08:39:45 Deployment rfs-test-cluster 1604:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
08:39:45 Deployment rfs-test-cluster 1604:	Scaled up replica set rfs-test-cluster-55849b4bc6 to 3
08:40:35 Deployment rfs-test-cluster 1753:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
08:42:27 Deployment rfs-test-cluster 1973:	Scaled up replica set rfs-test-cluster-54df69f8df to 1
08:43:17 Deployment rfs-test-cluster 2120:	Scaled down replica set rfs-test-cluster-55849b4bc6 to 2
08:43:17 Deployment rfs-test-cluster 2189:	(combined from similar events): Scaled down replica set rfs-test-cluster-55849b4bc6 to 0
