03:44:12 Pod cockroach-operator-manager-57b7fbd794-pvh9b 746:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-pvh9b to acto-cluster-3-worker3
03:45:09 PersistentVolumeClaim datadir-test-cluster-1 950:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
03:45:09 PersistentVolumeClaim datadir-test-cluster-1 950:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-1"
03:45:12 PersistentVolumeClaim datadir-test-cluster-1 950:	Successfully provisioned volume pvc-251d1e67-1294-4a68-bee5-091031053b32
03:45:09 PersistentVolumeClaim datadir-test-cluster-2 944:	waiting for first consumer to be created before binding
03:45:09 PersistentVolumeClaim datadir-test-cluster-2 957:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
03:45:09 PersistentVolumeClaim datadir-test-cluster-2 957:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-2"
03:45:13 PersistentVolumeClaim datadir-test-cluster-2 957:	Successfully provisioned volume pvc-b5a65a47-3f52-41ac-b276-0a1d47f474cc
03:45:13 Pod test-cluster-0 932:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-3-worker2
03:45:13 Pod test-cluster-0 1005:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:45:13 Pod test-cluster-0 1005:	Created container db-init
03:45:13 Pod test-cluster-0 1005:	Started container db-init
03:45:14 Pod test-cluster-0 1005:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:45:14 Pod test-cluster-0 1005:	Created container db
03:45:14 Pod test-cluster-0 1005:	Started container db
03:47:10 Pod test-cluster-0 1005:	Stopping container db
03:47:36 Pod test-cluster-0 1419:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-3-worker2
03:47:37 Pod test-cluster-0 1420:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:47:37 Pod test-cluster-0 1420:	Created container db-init
03:47:37 Pod test-cluster-0 1420:	Started container db-init
03:47:38 Pod test-cluster-0 1420:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:47:38 Pod test-cluster-0 1420:	Created container db
03:47:38 Pod test-cluster-0 1420:	Started container db
03:49:21 Pod test-cluster-0 1420:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:49:33 Pod test-cluster-0 1420:	Stopping container db
03:50:00 Pod test-cluster-0 1809:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-3-worker2
03:50:01 Pod test-cluster-0 1810:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:50:01 Pod test-cluster-0 1810:	Created container db-init
03:50:01 Pod test-cluster-0 1810:	Started container db-init
03:50:01 Pod test-cluster-0 1810:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:50:01 Pod test-cluster-0 1810:	Created container db
03:50:02 Pod test-cluster-0 1810:	Started container db
03:51:45 Pod test-cluster-0 1810:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:51:59 Pod test-cluster-0 1810:	Stopping container db
03:52:24 Pod test-cluster-0 2193:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-3-worker2
03:52:24 Pod test-cluster-0 2194:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:52:24 Pod test-cluster-0 2194:	Created container db-init
03:52:25 Pod test-cluster-0 2194:	Started container db-init
03:52:25 Pod test-cluster-0 2194:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:52:25 Pod test-cluster-0 2194:	Created container db
03:52:25 Pod test-cluster-0 2194:	Started container db
03:54:04 Pod test-cluster-0 2194:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:54:24 Pod test-cluster-0 2194:	Stopping container db
03:54:55 Pod test-cluster-0 2604:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-3-worker2
03:54:56 Pod test-cluster-0 2605:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:54:56 Pod test-cluster-0 2605:	Created container db-init
03:54:57 Pod test-cluster-0 2605:	Started container db-init
03:54:57 Pod test-cluster-0 2605:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:54:57 Pod test-cluster-0 2605:	Created container db
03:54:57 Pod test-cluster-0 2605:	Started container db
03:57:14 Pod test-cluster-0 2605:	Stopping container db
03:57:19 Pod test-cluster-0 2952:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-3-worker2
03:57:20 Pod test-cluster-0 2953:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:57:20 Pod test-cluster-0 2953:	Created container db-init
03:57:20 Pod test-cluster-0 2953:	Started container db-init
03:57:20 Pod test-cluster-0 2953:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:57:20 Pod test-cluster-0 2953:	Created container db
03:57:21 Pod test-cluster-0 2953:	Started container db
03:57:34 Pod test-cluster-0 2953:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:45:13 Pod test-cluster-1 940:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-3-worker
03:45:13 Pod test-cluster-1 1007:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:45:13 Pod test-cluster-1 1007:	Created container db-init
03:45:13 Pod test-cluster-1 1007:	Started container db-init
03:45:14 Pod test-cluster-1 1007:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:45:14 Pod test-cluster-1 1007:	Created container db
03:45:14 Pod test-cluster-1 1007:	Started container db
03:46:40 Pod test-cluster-1 1007:	Stopping container db
03:46:50 Pod test-cluster-1 1300:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-3-worker
03:46:51 Pod test-cluster-1 1301:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:46:51 Pod test-cluster-1 1301:	Created container db-init
03:46:51 Pod test-cluster-1 1301:	Started container db-init
03:46:51 Pod test-cluster-1 1301:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:46:51 Pod test-cluster-1 1301:	Created container db
03:46:51 Pod test-cluster-1 1301:	Started container db
03:47:05 Pod test-cluster-1 1301:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:49:02 Pod test-cluster-1 1301:	Stopping container db
03:49:13 Pod test-cluster-1 1659:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-3-worker
03:49:13 Pod test-cluster-1 1660:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:49:13 Pod test-cluster-1 1660:	Created container db-init
03:49:13 Pod test-cluster-1 1660:	Started container db-init
03:49:14 Pod test-cluster-1 1660:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:49:14 Pod test-cluster-1 1660:	Created container db
03:49:14 Pod test-cluster-1 1660:	Started container db
03:49:28 Pod test-cluster-1 1660:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:51:26 Pod test-cluster-1 1660:	Stopping container db
03:51:34 Pod test-cluster-1 2037:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-3-worker
03:51:34 Pod test-cluster-1 2038:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:51:34 Pod test-cluster-1 2038:	Created container db-init
03:51:35 Pod test-cluster-1 2038:	Started container db-init
03:51:35 Pod test-cluster-1 2038:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:51:35 Pod test-cluster-1 2038:	Created container db
03:51:35 Pod test-cluster-1 2038:	Started container db
03:51:49 Pod test-cluster-1 2038:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:53:49 Pod test-cluster-1 2038:	Stopping container db
03:53:53 Pod test-cluster-1 2424:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-3-worker
03:53:54 Pod test-cluster-1 2425:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:53:54 Pod test-cluster-1 2425:	Created container db-init
03:53:54 Pod test-cluster-1 2425:	Started container db-init
03:53:54 Pod test-cluster-1 2425:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:53:54 Pod test-cluster-1 2425:	Created container db
03:53:54 Pod test-cluster-1 2425:	Started container db
03:54:08 Pod test-cluster-1 2425:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:56:25 Pod test-cluster-1 2425:	Stopping container db
03:56:59 Pod test-cluster-1 2879:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-3-worker
03:56:59 Pod test-cluster-1 2880:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:56:59 Pod test-cluster-1 2880:	Created container db-init
03:56:59 Pod test-cluster-1 2880:	Started container db-init
03:56:59 Pod test-cluster-1 2880:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:56:59 Pod test-cluster-1 2880:	Created container db
03:57:00 Pod test-cluster-1 2880:	Started container db
03:57:24 Pod test-cluster-1 2880:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:45:14 Pod test-cluster-2 949:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-3-worker3
03:45:14 Pod test-cluster-2 1026:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:45:14 Pod test-cluster-2 1026:	Created container db-init
03:45:14 Pod test-cluster-2 1026:	Started container db-init
03:45:15 Pod test-cluster-2 1026:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:45:15 Pod test-cluster-2 1026:	Created container db
03:45:15 Pod test-cluster-2 1026:	Started container db
03:46:16 Pod test-cluster-2 1026:	Stopping container db
03:46:25 Pod test-cluster-2 1217:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-3-worker3
03:46:26 Pod test-cluster-2 1218:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:46:26 Pod test-cluster-2 1218:	Created container db-init
03:46:26 Pod test-cluster-2 1218:	Started container db-init
03:46:26 Pod test-cluster-2 1218:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:46:26 Pod test-cluster-2 1218:	Created container db
03:46:26 Pod test-cluster-2 1218:	Started container db
03:46:55 Pod test-cluster-2 1218:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:48:40 Pod test-cluster-2 1218:	Stopping container db
03:48:47 Pod test-cluster-2 1576:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-3-worker3
03:48:48 Pod test-cluster-2 1577:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:48:48 Pod test-cluster-2 1577:	Created container db-init
03:48:48 Pod test-cluster-2 1577:	Started container db-init
03:48:49 Pod test-cluster-2 1577:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:48:49 Pod test-cluster-2 1577:	Created container db
03:48:49 Pod test-cluster-2 1577:	Started container db
03:49:22 Pod test-cluster-2 1577:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:51:03 Pod test-cluster-2 1577:	Stopping container db
03:51:11 Pod test-cluster-2 1962:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-3-worker3
03:51:12 Pod test-cluster-2 1963:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:51:12 Pod test-cluster-2 1963:	Created container db-init
03:51:12 Pod test-cluster-2 1963:	Started container db-init
03:51:12 Pod test-cluster-2 1963:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:51:12 Pod test-cluster-2 1963:	Created container db
03:51:12 Pod test-cluster-2 1963:	Started container db
03:51:41 Pod test-cluster-2 1963:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:53:27 Pod test-cluster-2 1963:	Stopping container db
03:53:34 Pod test-cluster-2 2348:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-3-worker3
03:53:35 Pod test-cluster-2 2349:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:53:35 Pod test-cluster-2 2349:	Created container db-init
03:53:35 Pod test-cluster-2 2349:	Started container db-init
03:53:35 Pod test-cluster-2 2349:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:53:35 Pod test-cluster-2 2349:	Created container db
03:53:35 Pod test-cluster-2 2349:	Started container db
03:53:59 Pod test-cluster-2 2349:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:56:01 Pod test-cluster-2 2349:	Stopping container db
03:56:10 Pod test-cluster-2 2760:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-3-worker3
03:56:10 Pod test-cluster-2 2761:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:56:10 Pod test-cluster-2 2761:	Created container db-init
03:56:10 Pod test-cluster-2 2761:	Started container db-init
03:56:11 Pod test-cluster-2 2761:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:56:11 Pod test-cluster-2 2761:	Created container db
03:56:11 Pod test-cluster-2 2761:	Started container db
03:57:25 Pod test-cluster-2 2761:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:58:41 Pod test-cluster-2 2761:	Stopping container db
03:45:05 Pod test-cluster-vcheck-28006785--1-sf7sd 894:	Successfully assigned cockroach-operator-system/test-cluster-vcheck-28006785--1-sf7sd to acto-cluster-3-worker
03:45:06 Pod test-cluster-vcheck-28006785--1-sf7sd 896:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:45:06 Pod test-cluster-vcheck-28006785--1-sf7sd 896:	Created container crdb
03:45:06 Pod test-cluster-vcheck-28006785--1-sf7sd 896:	Started container crdb
03:45:09 Pod test-cluster-vcheck-28006785--1-sf7sd 896:	Stopping container crdb
03:45:05 Job test-cluster-vcheck-28006785 893:	Created pod: test-cluster-vcheck-28006785--1-sf7sd
03:45:09 StatefulSet test-cluster 928:	create Claim datadir-test-cluster-0 Pod test-cluster-0 in StatefulSet test-cluster success
03:45:09 StatefulSet test-cluster 928:	create Pod test-cluster-0 in StatefulSet test-cluster successful
03:45:09 StatefulSet test-cluster 928:	create Claim datadir-test-cluster-1 Pod test-cluster-1 in StatefulSet test-cluster success
03:45:09 StatefulSet test-cluster 928:	create Pod test-cluster-1 in StatefulSet test-cluster successful
03:45:09 StatefulSet test-cluster 928:	create Claim datadir-test-cluster-2 Pod test-cluster-2 in StatefulSet test-cluster success
03:45:09 StatefulSet test-cluster 928:	create Pod test-cluster-2 in StatefulSet test-cluster successful
03:46:16 StatefulSet test-cluster 1184:	delete Pod test-cluster-2 in StatefulSet test-cluster successful
03:46:40 StatefulSet test-cluster 1222:	delete Pod test-cluster-1 in StatefulSet test-cluster successful
03:47:10 StatefulSet test-cluster 1305:	delete Pod test-cluster-0 in StatefulSet test-cluster successful
