09:07:19 Pod rfs-test-cluster-7855d85bbf-lzlhc 1497:	Stopping container sentinel
09:04:37 Pod rfs-test-cluster-7855d85bbf-z62h5 1738:	Successfully assigned acto-namespace/rfs-test-cluster-7855d85bbf-z62h5 to acto-cluster-14-worker3
09:04:38 Pod rfs-test-cluster-7855d85bbf-z62h5 1742:	Container image "redis:6.2.6-alpine" already present on machine
09:04:38 Pod rfs-test-cluster-7855d85bbf-z62h5 1742:	Created container sentinel-config-copy
09:04:52 Pod rfs-test-cluster-7855d85bbf-z62h5 1742:	Started container sentinel-config-copy
09:04:53 Pod rfs-test-cluster-7855d85bbf-z62h5 1742:	Container image "redis:6.2.6-alpine" already present on machine
09:04:53 Pod rfs-test-cluster-7855d85bbf-z62h5 1742:	Created container sentinel
09:04:54 Pod rfs-test-cluster-7855d85bbf-z62h5 1742:	Started container sentinel
09:08:59 Pod rfs-test-cluster-7855d85bbf-z62h5 1742:	Stopping container sentinel
09:02:57 ReplicaSet rfs-test-cluster-7855d85bbf 1491:	Created pod: rfs-test-cluster-7855d85bbf-lzlhc
09:03:47 ReplicaSet rfs-test-cluster-7855d85bbf 1609:	Created pod: rfs-test-cluster-7855d85bbf-gwzct
09:04:37 ReplicaSet rfs-test-cluster-7855d85bbf 1735:	Created pod: rfs-test-cluster-7855d85bbf-z62h5
09:07:19 ReplicaSet rfs-test-cluster-7855d85bbf 2082:	Deleted pod: rfs-test-cluster-7855d85bbf-lzlhc
09:08:09 ReplicaSet rfs-test-cluster-7855d85bbf 2212:	Deleted pod: rfs-test-cluster-7855d85bbf-gwzct
09:08:59 ReplicaSet rfs-test-cluster-7855d85bbf 2341:	Deleted pod: rfs-test-cluster-7855d85bbf-z62h5
08:57:52 PodDisruptionBudget rfs-test-cluster 837:	No matching pods found
08:57:52 Deployment rfs-test-cluster 840:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
08:58:42 Endpoints rfs-test-cluster 959:	Failed to update endpoint acto-namespace/rfs-test-cluster: Operation cannot be fulfilled on endpoints "rfs-test-cluster": the object has been modified; please apply your changes to the latest version and try again
09:02:57 Deployment rfs-test-cluster 1490:	Scaled up replica set rfs-test-cluster-7855d85bbf to 1
09:03:47 Deployment rfs-test-cluster 1560:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
09:03:47 Deployment rfs-test-cluster 1560:	Scaled up replica set rfs-test-cluster-7855d85bbf to 2
09:04:37 Deployment rfs-test-cluster 1702:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
09:04:37 Deployment rfs-test-cluster 1728:	Scaled up replica set rfs-test-cluster-7855d85bbf to 3
09:05:27 Deployment rfs-test-cluster 1845:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
09:06:29 Deployment rfs-test-cluster 1973:	Scaled up replica set rfs-test-cluster-54df69f8df to 1
09:07:19 Deployment rfs-test-cluster 2039:	Scaled down replica set rfs-test-cluster-7855d85bbf to 2
09:07:19 Deployment rfs-test-cluster 2085:	(combined from similar events): Scaled down replica set rfs-test-cluster-7855d85bbf to 0
