06:04:06 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-vc2qh 733:	Successfully assigned acto-namespace/acto-test-operator-zookeeper-operator-658b9fbcfb-vc2qh to acto-cluster-2-worker3
06:29:10 Pod test-cluster-2 4201:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:29:10 Pod test-cluster-2 4201:	Created container zookeeper
06:29:10 Pod test-cluster-2 4201:	Started container zookeeper
06:04:39 StatefulSet test-cluster 813:	create Claim data-test-cluster-0 Pod test-cluster-0 in StatefulSet test-cluster success
06:04:39 StatefulSet test-cluster 813:	create Pod test-cluster-0 in StatefulSet test-cluster successful
06:05:07 StatefulSet test-cluster 847:	create Claim data-test-cluster-1 Pod test-cluster-1 in StatefulSet test-cluster success
06:05:07 StatefulSet test-cluster 847:	create Pod test-cluster-1 in StatefulSet test-cluster successful
06:05:55 StatefulSet test-cluster 1050:	create Claim data-test-cluster-2 Pod test-cluster-2 in StatefulSet test-cluster success
06:05:55 StatefulSet test-cluster 1050:	create Pod test-cluster-2 in StatefulSet test-cluster successful
06:08:06 StatefulSet test-cluster 1339:	delete Pod test-cluster-2 in StatefulSet test-cluster successful
06:08:51 StatefulSet test-cluster 1419:	delete Pod test-cluster-1 in StatefulSet test-cluster successful
06:09:35 StatefulSet test-cluster 1536:	delete Pod test-cluster-0 in StatefulSet test-cluster successful
06:04:36 Pod zkapp 798:	Successfully assigned acto-namespace/zkapp to acto-cluster-2-worker2
06:04:39 Pod zkapp 799:	Container image "tylergu1998/zkapp:v1" already present on machine
06:04:39 Pod zkapp 799:	Created container zkapp
06:04:41 Pod zkapp 799:	Started container zkapp
06:04:46 Pod zkapp 799:	Back-off restarting failed container
