08:28:31 Pod redisoperator-56c8dfdfb-kfxzr 783:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-kfxzr to acto-cluster-8-worker2
08:40:39 Pod rfr-test-cluster-2 2487:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:40:39 Pod rfr-test-cluster-2 2487:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 114.550454ms
08:40:39 Pod rfr-test-cluster-2 2487:	Created container redis-exporter
08:40:41 Pod rfr-test-cluster-2 2487:	Started container redis-exporter
08:44:37 Pod rfr-test-cluster-2 2487:	Stopping container redis
08:44:37 Pod rfr-test-cluster-2 2487:	Stopping container redis-exporter
08:44:38 Pod rfr-test-cluster-2 2487:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
08:44:38 Pod rfr-test-cluster-2 2487:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
08:44:38 Pod rfr-test-cluster-2 3000:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker2
08:44:39 Pod rfr-test-cluster-2 3002:	Container image "redis:6.2.6-alpine" already present on machine
08:44:39 Pod rfr-test-cluster-2 3002:	Created container redis
08:44:39 Pod rfr-test-cluster-2 3002:	Started container redis
08:44:39 Pod rfr-test-cluster-2 3002:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:44:39 Pod rfr-test-cluster-2 3002:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.959336ms
08:44:39 Pod rfr-test-cluster-2 3002:	Created container redis-exporter
08:44:42 Pod rfr-test-cluster-2 3002:	Started container redis-exporter
08:28:34 PodDisruptionBudget rfr-test-cluster 809:	No matching pods found
08:28:34 StatefulSet rfr-test-cluster 813:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:28:34 StatefulSet rfr-test-cluster 813:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:28:34 StatefulSet rfr-test-cluster 813:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:28:34 Pod rfs-test-cluster-54df69f8df-cmflt 849:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-cmflt to acto-cluster-8-worker3
08:28:35 Pod rfs-test-cluster-54df69f8df-cmflt 855:	Container image "redis:6.2.6-alpine" already present on machine
08:28:35 Pod rfs-test-cluster-54df69f8df-cmflt 855:	Created container sentinel-config-copy
08:28:48 Pod rfs-test-cluster-54df69f8df-cmflt 855:	Started container sentinel-config-copy
