08:15:54 StatefulSet rfr-test-cluster 2352:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: pods "rfr-test-cluster-0" is forbidden: no PriorityClass with name ACTOKEY was found
08:04:21 Pod rfs-test-cluster-54df69f8df-8b2h9 860:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-8b2h9 to acto-cluster-4-worker
08:04:22 Pod rfs-test-cluster-54df69f8df-8b2h9 865:	Container image "redis:6.2.6-alpine" already present on machine
08:04:22 Pod rfs-test-cluster-54df69f8df-8b2h9 865:	Created container sentinel-config-copy
08:04:36 Pod rfs-test-cluster-54df69f8df-8b2h9 865:	Started container sentinel-config-copy
08:04:38 Pod rfs-test-cluster-54df69f8df-8b2h9 865:	Container image "redis:6.2.6-alpine" already present on machine
08:04:38 Pod rfs-test-cluster-54df69f8df-8b2h9 865:	Created container sentinel
08:04:38 Pod rfs-test-cluster-54df69f8df-8b2h9 865:	Started container sentinel
08:04:21 Pod rfs-test-cluster-54df69f8df-hf9sp 854:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hf9sp to acto-cluster-4-worker2
08:04:22 Pod rfs-test-cluster-54df69f8df-hf9sp 859:	Container image "redis:6.2.6-alpine" already present on machine
08:04:22 Pod rfs-test-cluster-54df69f8df-hf9sp 859:	Created container sentinel-config-copy
08:04:37 Pod rfs-test-cluster-54df69f8df-hf9sp 859:	Started container sentinel-config-copy
08:04:38 Pod rfs-test-cluster-54df69f8df-hf9sp 859:	Container image "redis:6.2.6-alpine" already present on machine
08:04:38 Pod rfs-test-cluster-54df69f8df-hf9sp 859:	Created container sentinel
08:04:39 Pod rfs-test-cluster-54df69f8df-hf9sp 859:	Started container sentinel
08:04:21 Pod rfs-test-cluster-54df69f8df-nbt4j 856:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-nbt4j to acto-cluster-4-worker3
08:04:22 Pod rfs-test-cluster-54df69f8df-nbt4j 863:	Container image "redis:6.2.6-alpine" already present on machine
08:04:22 Pod rfs-test-cluster-54df69f8df-nbt4j 863:	Created container sentinel-config-copy
08:04:35 Pod rfs-test-cluster-54df69f8df-nbt4j 863:	Started container sentinel-config-copy
08:04:36 Pod rfs-test-cluster-54df69f8df-nbt4j 863:	Container image "redis:6.2.6-alpine" already present on machine
08:04:36 Pod rfs-test-cluster-54df69f8df-nbt4j 863:	Created container sentinel
08:04:37 Pod rfs-test-cluster-54df69f8df-nbt4j 863:	Started container sentinel
08:04:21 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-hf9sp
08:04:21 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-nbt4j
08:04:21 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-8b2h9
08:04:21 PodDisruptionBudget rfs-test-cluster 847:	No matching pods found
08:04:21 Deployment rfs-test-cluster 851:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
