06:01:07 Pod redisoperator-56c8dfdfb-tssfc 791:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-tssfc to acto-cluster-0-worker2
06:05:15 Pod rfr-test-cluster-0 1499:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 151.336055ms
06:05:16 Pod rfr-test-cluster-0 1499:	Created container redis-exporter
06:05:19 Pod rfr-test-cluster-0 1499:	Started container redis-exporter
06:05:54 Pod rfr-test-cluster-0 1499:	Readiness probe failed: 
06:01:12 Pod rfr-test-cluster-1 841:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-0-worker2
06:01:12 Pod rfr-test-cluster-1 846:	Container image "redis:6.2.6-alpine" already present on machine
06:01:12 Pod rfr-test-cluster-1 846:	Created container redis
06:01:13 Pod rfr-test-cluster-1 846:	Started container redis
06:01:13 Pod rfr-test-cluster-1 846:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:01:13 Pod rfr-test-cluster-1 846:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 319.299697ms
06:01:13 Pod rfr-test-cluster-1 846:	Created container redis-exporter
06:01:15 Pod rfr-test-cluster-1 846:	Started container redis-exporter
06:01:52 Pod rfr-test-cluster-1 846:	Readiness probe failed: 
06:04:34 Pod rfr-test-cluster-1 846:	Stopping container redis
06:04:34 Pod rfr-test-cluster-1 846:	Stopping container redis-exporter
06:04:35 Pod rfr-test-cluster-1 1363:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-0-worker2
06:04:35 Pod rfr-test-cluster-1 1366:	Container image "redis:6.2.6-alpine" already present on machine
06:04:35 Pod rfr-test-cluster-1 1366:	Created container redis
06:04:35 Pod rfr-test-cluster-1 1366:	Started container redis
06:04:35 Pod rfr-test-cluster-1 1366:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:04:36 Pod rfr-test-cluster-1 1366:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 120.670274ms
06:04:36 Pod rfr-test-cluster-1 1366:	Created container redis-exporter
06:04:38 Pod rfr-test-cluster-1 1366:	Started container redis-exporter
06:01:12 Pod rfr-test-cluster-2 848:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-0-worker
06:01:12 Pod rfr-test-cluster-2 851:	Container image "redis:6.2.6-alpine" already present on machine
06:01:12 Pod rfr-test-cluster-2 851:	Created container redis
06:01:13 Pod rfr-test-cluster-2 851:	Started container redis
06:01:13 Pod rfr-test-cluster-2 851:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:01:13 Pod rfr-test-cluster-2 851:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 234.884196ms
06:01:13 Pod rfr-test-cluster-2 851:	Created container redis-exporter
06:01:15 Pod rfr-test-cluster-2 851:	Started container redis-exporter
06:01:52 Pod rfr-test-cluster-2 851:	Readiness probe failed: 
06:04:42 Pod rfr-test-cluster-2 851:	Stopping container redis
06:04:42 Pod rfr-test-cluster-2 851:	Stopping container redis-exporter
06:04:43 Pod rfr-test-cluster-2 1412:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-0-worker
06:04:44 Pod rfr-test-cluster-2 1413:	Container image "redis:6.2.6-alpine" already present on machine
06:04:44 Pod rfr-test-cluster-2 1413:	Created container redis
06:04:44 Pod rfr-test-cluster-2 1413:	Started container redis
06:04:44 Pod rfr-test-cluster-2 1413:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:04:44 Pod rfr-test-cluster-2 1413:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 184.267289ms
06:04:44 Pod rfr-test-cluster-2 1413:	Created container redis-exporter
06:04:47 Pod rfr-test-cluster-2 1413:	Started container redis-exporter
06:01:12 PodDisruptionBudget rfr-test-cluster 832:	No matching pods found
06:01:12 StatefulSet rfr-test-cluster 836:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:01:12 StatefulSet rfr-test-cluster 836:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:01:12 StatefulSet rfr-test-cluster 836:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:01:12 Pod rfs-test-cluster-54df69f8df-4mncr 873:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-4mncr to acto-cluster-0-worker
06:01:13 Pod rfs-test-cluster-54df69f8df-4mncr 877:	Container image "redis:6.2.6-alpine" already present on machine
06:01:13 Pod rfs-test-cluster-54df69f8df-4mncr 877:	Created container sentinel-config-copy
06:01:29 Pod rfs-test-cluster-54df69f8df-4mncr 877:	Started container sentinel-config-copy
06:01:33 Pod rfs-test-cluster-54df69f8df-4mncr 877:	Container image "redis:6.2.6-alpine" already present on machine
06:01:33 Pod rfs-test-cluster-54df69f8df-4mncr 877:	Created container sentinel
06:01:34 Pod rfs-test-cluster-54df69f8df-4mncr 877:	Started container sentinel
06:01:12 Pod rfs-test-cluster-54df69f8df-hz9xp 869:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hz9xp to acto-cluster-0-worker2
06:01:13 Pod rfs-test-cluster-54df69f8df-hz9xp 875:	Container image "redis:6.2.6-alpine" already present on machine
06:01:13 Pod rfs-test-cluster-54df69f8df-hz9xp 875:	Created container sentinel-config-copy
06:01:30 Pod rfs-test-cluster-54df69f8df-hz9xp 875:	Started container sentinel-config-copy
06:01:33 Pod rfs-test-cluster-54df69f8df-hz9xp 875:	Container image "redis:6.2.6-alpine" already present on machine
06:01:33 Pod rfs-test-cluster-54df69f8df-hz9xp 875:	Created container sentinel
06:01:34 Pod rfs-test-cluster-54df69f8df-hz9xp 875:	Started container sentinel
06:01:12 Pod rfs-test-cluster-54df69f8df-m5b54 866:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-m5b54 to acto-cluster-0-worker3
06:01:13 Pod rfs-test-cluster-54df69f8df-m5b54 872:	Container image "redis:6.2.6-alpine" already present on machine
06:01:13 Pod rfs-test-cluster-54df69f8df-m5b54 872:	Created container sentinel-config-copy
06:01:27 Pod rfs-test-cluster-54df69f8df-m5b54 872:	Started container sentinel-config-copy
06:01:29 Pod rfs-test-cluster-54df69f8df-m5b54 872:	Container image "redis:6.2.6-alpine" already present on machine
06:01:32 Pod rfs-test-cluster-54df69f8df-m5b54 872:	Created container sentinel
06:01:33 Pod rfs-test-cluster-54df69f8df-m5b54 872:	Started container sentinel
06:01:12 ReplicaSet rfs-test-cluster-54df69f8df 864:	Created pod: rfs-test-cluster-54df69f8df-m5b54
06:01:12 ReplicaSet rfs-test-cluster-54df69f8df 864:	Created pod: rfs-test-cluster-54df69f8df-hz9xp
06:01:12 ReplicaSet rfs-test-cluster-54df69f8df 864:	Created pod: rfs-test-cluster-54df69f8df-4mncr
06:01:12 PodDisruptionBudget rfs-test-cluster 859:	No matching pods found
06:01:12 Deployment rfs-test-cluster 862:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
