05:48:22 Pod rfs-test-cluster-65f9776dbf-5mhd5 1623:	Container image "redis:6.2.6-alpine" already present on machine
05:48:22 Pod rfs-test-cluster-65f9776dbf-5mhd5 1623:	Created container sentinel
05:48:22 Pod rfs-test-cluster-65f9776dbf-5mhd5 1623:	Started container sentinel
05:52:28 Pod rfs-test-cluster-65f9776dbf-5mhd5 1623:	Stopping container sentinel
05:53:33 Pod rfs-test-cluster-65f9776dbf-744dp 2350:	Successfully assigned acto-namespace/rfs-test-cluster-65f9776dbf-744dp to acto-cluster-8-worker3
05:53:33 Pod rfs-test-cluster-65f9776dbf-744dp 2353:	Container image "redis:6.2.6-alpine" already present on machine
05:53:33 Pod rfs-test-cluster-65f9776dbf-744dp 2353:	Created container sentinel-config-copy
05:53:46 Pod rfs-test-cluster-65f9776dbf-744dp 2353:	Started container sentinel-config-copy
05:53:48 Pod rfs-test-cluster-65f9776dbf-744dp 2353:	Container image "redis:6.2.6-alpine" already present on machine
05:53:48 Pod rfs-test-cluster-65f9776dbf-744dp 2353:	Created container sentinel
05:53:48 Pod rfs-test-cluster-65f9776dbf-744dp 2353:	Started container sentinel
05:57:57 Pod rfs-test-cluster-65f9776dbf-744dp 2353:	Stopping container sentinel
05:54:23 Pod rfs-test-cluster-65f9776dbf-b7j8r 2467:	Successfully assigned acto-namespace/rfs-test-cluster-65f9776dbf-b7j8r to acto-cluster-8-worker2
05:54:24 Pod rfs-test-cluster-65f9776dbf-b7j8r 2470:	Container image "redis:6.2.6-alpine" already present on machine
05:54:24 Pod rfs-test-cluster-65f9776dbf-b7j8r 2470:	Created container sentinel-config-copy
05:54:37 Pod rfs-test-cluster-65f9776dbf-b7j8r 2470:	Started container sentinel-config-copy
05:54:40 Pod rfs-test-cluster-65f9776dbf-b7j8r 2470:	Container image "redis:6.2.6-alpine" already present on machine
05:54:40 Pod rfs-test-cluster-65f9776dbf-b7j8r 2470:	Created container sentinel
05:54:40 Pod rfs-test-cluster-65f9776dbf-b7j8r 2470:	Started container sentinel
05:59:38 Pod rfs-test-cluster-65f9776dbf-b7j8r 2470:	Stopping container sentinel
05:55:13 Pod rfs-test-cluster-65f9776dbf-bvfc8 2594:	Successfully assigned acto-namespace/rfs-test-cluster-65f9776dbf-bvfc8 to acto-cluster-8-worker
05:55:14 Pod rfs-test-cluster-65f9776dbf-bvfc8 2597:	Container image "redis:6.2.6-alpine" already present on machine
05:55:14 Pod rfs-test-cluster-65f9776dbf-bvfc8 2597:	Created container sentinel-config-copy
05:55:27 Pod rfs-test-cluster-65f9776dbf-bvfc8 2597:	Started container sentinel-config-copy
05:55:30 Pod rfs-test-cluster-65f9776dbf-bvfc8 2597:	Container image "redis:6.2.6-alpine" already present on machine
05:55:30 Pod rfs-test-cluster-65f9776dbf-bvfc8 2597:	Created container sentinel
05:55:30 Pod rfs-test-cluster-65f9776dbf-bvfc8 2597:	Started container sentinel
05:58:47 Pod rfs-test-cluster-65f9776dbf-bvfc8 2597:	Stopping container sentinel
06:00:41 Pod rfs-test-cluster-65f9776dbf-cv6k4 3320:	Successfully assigned acto-namespace/rfs-test-cluster-65f9776dbf-cv6k4 to acto-cluster-8-worker
06:00:41 Pod rfs-test-cluster-65f9776dbf-cv6k4 3323:	Container image "redis:6.2.6-alpine" already present on machine
06:00:41 Pod rfs-test-cluster-65f9776dbf-cv6k4 3323:	Created container sentinel-config-copy
06:00:54 Pod rfs-test-cluster-65f9776dbf-cv6k4 3323:	Started container sentinel-config-copy
06:00:55 Pod rfs-test-cluster-65f9776dbf-cv6k4 3323:	Container image "redis:6.2.6-alpine" already present on machine
06:00:56 Pod rfs-test-cluster-65f9776dbf-cv6k4 3323:	Created container sentinel
06:00:56 Pod rfs-test-cluster-65f9776dbf-cv6k4 3323:	Started container sentinel
05:47:15 Pod rfs-test-cluster-65f9776dbf-jkmgz 1493:	Successfully assigned acto-namespace/rfs-test-cluster-65f9776dbf-jkmgz to acto-cluster-8-worker3
05:47:16 Pod rfs-test-cluster-65f9776dbf-jkmgz 1496:	Container image "redis:6.2.6-alpine" already present on machine
05:47:16 Pod rfs-test-cluster-65f9776dbf-jkmgz 1496:	Created container sentinel-config-copy
05:47:31 Pod rfs-test-cluster-65f9776dbf-jkmgz 1496:	Started container sentinel-config-copy
05:47:33 Pod rfs-test-cluster-65f9776dbf-jkmgz 1496:	Container image "redis:6.2.6-alpine" already present on machine
05:47:33 Pod rfs-test-cluster-65f9776dbf-jkmgz 1496:	Created container sentinel
05:47:33 Pod rfs-test-cluster-65f9776dbf-jkmgz 1496:	Started container sentinel
05:51:38 Pod rfs-test-cluster-65f9776dbf-jkmgz 1496:	Stopping container sentinel
05:46:25 Pod rfs-test-cluster-65f9776dbf-mgz7q 1376:	Successfully assigned acto-namespace/rfs-test-cluster-65f9776dbf-mgz7q to acto-cluster-8-worker
05:46:26 Pod rfs-test-cluster-65f9776dbf-mgz7q 1379:	Container image "redis:6.2.6-alpine" already present on machine
05:46:26 Pod rfs-test-cluster-65f9776dbf-mgz7q 1379:	Created container sentinel-config-copy
05:46:40 Pod rfs-test-cluster-65f9776dbf-mgz7q 1379:	Started container sentinel-config-copy
05:46:41 Pod rfs-test-cluster-65f9776dbf-mgz7q 1379:	Container image "redis:6.2.6-alpine" already present on machine
05:46:42 Pod rfs-test-cluster-65f9776dbf-mgz7q 1379:	Created container sentinel
05:46:42 Pod rfs-test-cluster-65f9776dbf-mgz7q 1379:	Started container sentinel
05:50:48 Pod rfs-test-cluster-65f9776dbf-mgz7q 1379:	Stopping container sentinel
06:01:33 Pod rfs-test-cluster-65f9776dbf-nx8vj 3443:	Successfully assigned acto-namespace/rfs-test-cluster-65f9776dbf-nx8vj to acto-cluster-8-worker2
06:01:33 Pod rfs-test-cluster-65f9776dbf-nx8vj 3447:	Container image "redis:6.2.6-alpine" already present on machine
06:01:33 Pod rfs-test-cluster-65f9776dbf-nx8vj 3447:	Created container sentinel-config-copy
06:01:48 Pod rfs-test-cluster-65f9776dbf-nx8vj 3447:	Started container sentinel-config-copy
06:01:51 Pod rfs-test-cluster-65f9776dbf-nx8vj 3447:	Container image "redis:6.2.6-alpine" already present on machine
06:01:51 Pod rfs-test-cluster-65f9776dbf-nx8vj 3447:	Created container sentinel
06:01:51 Pod rfs-test-cluster-65f9776dbf-nx8vj 3447:	Started container sentinel
05:46:25 ReplicaSet rfs-test-cluster-65f9776dbf 1374:	Created pod: rfs-test-cluster-65f9776dbf-mgz7q
05:47:15 ReplicaSet rfs-test-cluster-65f9776dbf 1491:	Created pod: rfs-test-cluster-65f9776dbf-jkmgz
05:48:06 ReplicaSet rfs-test-cluster-65f9776dbf 1618:	Created pod: rfs-test-cluster-65f9776dbf-5mhd5
05:50:48 ReplicaSet rfs-test-cluster-65f9776dbf 1965:	Deleted pod: rfs-test-cluster-65f9776dbf-mgz7q
05:51:38 ReplicaSet rfs-test-cluster-65f9776dbf 2092:	Deleted pod: rfs-test-cluster-65f9776dbf-jkmgz
05:52:28 ReplicaSet rfs-test-cluster-65f9776dbf 2222:	Deleted pod: rfs-test-cluster-65f9776dbf-5mhd5
05:53:33 ReplicaSet rfs-test-cluster-65f9776dbf 2348:	Created pod: rfs-test-cluster-65f9776dbf-744dp
05:54:23 ReplicaSet rfs-test-cluster-65f9776dbf 2464:	Created pod: rfs-test-cluster-65f9776dbf-b7j8r
05:55:13 ReplicaSet rfs-test-cluster-65f9776dbf 2592:	Created pod: rfs-test-cluster-65f9776dbf-bvfc8
05:57:57 ReplicaSet rfs-test-cluster-65f9776dbf 2941:	Deleted pod: rfs-test-cluster-65f9776dbf-744dp
05:58:47 ReplicaSet rfs-test-cluster-65f9776dbf 3067:	Deleted pod: rfs-test-cluster-65f9776dbf-bvfc8
05:59:38 ReplicaSet rfs-test-cluster-65f9776dbf 3195:	Deleted pod: rfs-test-cluster-65f9776dbf-b7j8r
06:00:41 ReplicaSet rfs-test-cluster-65f9776dbf 3318:	Created pod: rfs-test-cluster-65f9776dbf-cv6k4
06:01:33 ReplicaSet rfs-test-cluster-65f9776dbf 3440:	Created pod: rfs-test-cluster-65f9776dbf-nx8vj
06:02:23 ReplicaSet rfs-test-cluster-65f9776dbf 3563:	Created pod: rfs-test-cluster-65f9776dbf-47756
05:42:57 PodDisruptionBudget rfs-test-cluster 878:	No matching pods found
05:42:57 Deployment rfs-test-cluster 881:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
05:46:25 Deployment rfs-test-cluster 1373:	Scaled up replica set rfs-test-cluster-65f9776dbf to 1
05:47:15 Deployment rfs-test-cluster 1443:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
05:47:15 Deployment rfs-test-cluster 1484:	Scaled up replica set rfs-test-cluster-65f9776dbf to 2
05:48:06 Deployment rfs-test-cluster 1585:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
05:48:06 Deployment rfs-test-cluster 1611:	Scaled up replica set rfs-test-cluster-65f9776dbf to 3
05:48:56 Deployment rfs-test-cluster 1728:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
05:49:58 Deployment rfs-test-cluster 1854:	Scaled up replica set rfs-test-cluster-54df69f8df to 1
05:50:48 Deployment rfs-test-cluster 1925:	Scaled down replica set rfs-test-cluster-65f9776dbf to 2
05:50:48 Deployment rfs-test-cluster 1968:	(combined from similar events): Scaled up replica set rfs-test-cluster-65f9776dbf to 2
05:58:47 Deployment rfs-test-cluster 3027:	Scaled down replica set rfs-test-cluster-65f9776dbf to 1
05:59:38 Deployment rfs-test-cluster 3170:	Scaled down replica set rfs-test-cluster-65f9776dbf to 0
