06:37:39 Pod rfs-test-cluster-597d58749f-xsgjj 1894:	Started container sentinel-config-copy
06:37:42 Pod rfs-test-cluster-597d58749f-xsgjj 1894:	Container image "redis:6.2.6-alpine" already present on machine
06:37:42 Pod rfs-test-cluster-597d58749f-xsgjj 1894:	Created container sentinel
06:37:42 Pod rfs-test-cluster-597d58749f-xsgjj 1894:	Started container sentinel
06:42:41 Pod rfs-test-cluster-597d58749f-xsgjj 1894:	Stopping container sentinel
06:37:25 ReplicaSet rfs-test-cluster-597d58749f 1889:	Created pod: rfs-test-cluster-597d58749f-xsgjj
06:38:15 ReplicaSet rfs-test-cluster-597d58749f 2009:	Created pod: rfs-test-cluster-597d58749f-vvdbb
06:39:05 ReplicaSet rfs-test-cluster-597d58749f 2136:	Created pod: rfs-test-cluster-597d58749f-mlncp
06:41:51 ReplicaSet rfs-test-cluster-597d58749f 2488:	Deleted pod: rfs-test-cluster-597d58749f-vvdbb
06:42:41 ReplicaSet rfs-test-cluster-597d58749f 2616:	Deleted pod: rfs-test-cluster-597d58749f-xsgjj
06:43:31 ReplicaSet rfs-test-cluster-597d58749f 2745:	Deleted pod: rfs-test-cluster-597d58749f-mlncp
06:46:39 Pod rfs-test-cluster-78fc6dccc8-5xc2j 3067:	Successfully assigned acto-namespace/rfs-test-cluster-78fc6dccc8-5xc2j to acto-cluster-13-worker2
06:46:39 Pod rfs-test-cluster-78fc6dccc8-5xc2j 3071:	Container image "redis:6.2.6-alpine" already present on machine
06:46:39 Pod rfs-test-cluster-78fc6dccc8-5xc2j 3071:	Created container sentinel-config-copy
06:46:54 Pod rfs-test-cluster-78fc6dccc8-5xc2j 3071:	Started container sentinel-config-copy
06:46:56 Pod rfs-test-cluster-78fc6dccc8-5xc2j 3071:	Container image "redis:6.2.6-alpine" already present on machine
06:46:56 Pod rfs-test-cluster-78fc6dccc8-5xc2j 3071:	Created container sentinel
06:46:57 Pod rfs-test-cluster-78fc6dccc8-5xc2j 3071:	Started container sentinel
06:46:57 Pod rfs-test-cluster-78fc6dccc8-5xc2j 3071:	Failed to apply default image tag "ACTOKEY": couldn't parse image reference "ACTOKEY": invalid reference format: repository name must be lowercase
06:46:57 Pod rfs-test-cluster-78fc6dccc8-5xc2j 3071:	Error: InvalidImageName
06:56:42 Pod rfs-test-cluster-78fc6dccc8-5xc2j 3071:	Stopping container sentinel
06:46:39 ReplicaSet rfs-test-cluster-78fc6dccc8 3064:	Created pod: rfs-test-cluster-78fc6dccc8-5xc2j
06:56:42 ReplicaSet rfs-test-cluster-78fc6dccc8 4078:	Deleted pod: rfs-test-cluster-78fc6dccc8-5xc2j
06:29:58 PodDisruptionBudget rfs-test-cluster 867:	No matching pods found
06:29:58 Deployment rfs-test-cluster 871:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
06:37:25 Deployment rfs-test-cluster 1888:	Scaled up replica set rfs-test-cluster-597d58749f to 1
06:38:15 Deployment rfs-test-cluster 1969:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
06:38:15 Deployment rfs-test-cluster 2002:	Scaled up replica set rfs-test-cluster-597d58749f to 2
06:39:05 Deployment rfs-test-cluster 2110:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
06:39:05 Deployment rfs-test-cluster 2129:	Scaled up replica set rfs-test-cluster-597d58749f to 3
06:39:55 Deployment rfs-test-cluster 2206:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
06:41:00 Deployment rfs-test-cluster 2379:	Scaled up replica set rfs-test-cluster-54df69f8df to 1
06:41:51 Deployment rfs-test-cluster 2450:	Scaled down replica set rfs-test-cluster-597d58749f to 2
06:41:51 Deployment rfs-test-cluster 2450:	(combined from similar events): Scaled up replica set rfs-test-cluster-78fc6dccc8 to 1
06:56:42 Deployment rfs-test-cluster 4075:	Scaled down replica set rfs-test-cluster-78fc6dccc8 to 0
