05:06:26 Pod cockroach-operator-manager-57b7fbd794-xnj7f 733:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-xnj7f to acto-cluster-9-worker3
05:21:38 Pod test-cluster-2 3189:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-9-worker
05:21:38 Pod test-cluster-2 3190:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:21:38 Pod test-cluster-2 3190:	Created container db-init
05:21:38 Pod test-cluster-2 3190:	Started container db-init
05:21:39 Pod test-cluster-2 3190:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:21:39 Pod test-cluster-2 3190:	Created container db
05:21:39 Pod test-cluster-2 3190:	Started container db
05:22:03 Pod test-cluster-2 3190:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:07:20 Pod test-cluster-vcheck-28006867--1-fl49m 885:	Successfully assigned cockroach-operator-system/test-cluster-vcheck-28006867--1-fl49m to acto-cluster-9-worker
05:07:20 Pod test-cluster-vcheck-28006867--1-fl49m 887:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:07:20 Pod test-cluster-vcheck-28006867--1-fl49m 887:	Created container crdb
05:07:21 Pod test-cluster-vcheck-28006867--1-fl49m 887:	Started container crdb
05:07:24 Pod test-cluster-vcheck-28006867--1-fl49m 887:	Stopping container crdb
05:07:20 Job test-cluster-vcheck-28006867 884:	Created pod: test-cluster-vcheck-28006867--1-fl49m
05:07:23 StatefulSet test-cluster 919:	create Claim datadir-test-cluster-0 Pod test-cluster-0 in StatefulSet test-cluster success
05:07:23 StatefulSet test-cluster 919:	create Pod test-cluster-0 in StatefulSet test-cluster successful
05:07:23 StatefulSet test-cluster 919:	create Claim datadir-test-cluster-1 Pod test-cluster-1 in StatefulSet test-cluster success
05:07:23 StatefulSet test-cluster 919:	create Pod test-cluster-1 in StatefulSet test-cluster successful
05:07:23 StatefulSet test-cluster 919:	create Claim datadir-test-cluster-2 Pod test-cluster-2 in StatefulSet test-cluster success
05:07:23 StatefulSet test-cluster 919:	create Pod test-cluster-2 in StatefulSet test-cluster successful
05:08:32 StatefulSet test-cluster 1178:	delete Pod test-cluster-2 in StatefulSet test-cluster successful
05:08:52 StatefulSet test-cluster 1210:	delete Pod test-cluster-1 in StatefulSet test-cluster successful
05:09:39 StatefulSet test-cluster 1326:	delete Pod test-cluster-0 in StatefulSet test-cluster successful
