06:47:29 Pod redisoperator-56c8dfdfb-ksb99 799:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-ksb99 to acto-cluster-5-worker
06:47:34 Pod rfr-test-cluster-0 834:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 325.753563ms
06:47:34 Pod rfr-test-cluster-0 834:	Created container redis-exporter
06:47:37 Pod rfr-test-cluster-0 834:	Started container redis-exporter
06:48:11 Pod rfr-test-cluster-0 834:	Readiness probe failed: 
06:53:34 Pod rfr-test-cluster-0 834:	Stopping container redis
06:53:34 Pod rfr-test-cluster-0 834:	Stopping container redis-exporter
06:53:35 Pod rfr-test-cluster-0 1791:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker2
06:53:36 Pod rfr-test-cluster-0 1794:	Container image "redis:6.2.6-alpine" already present on machine
06:53:36 Pod rfr-test-cluster-0 1794:	Created container redis
06:53:36 Pod rfr-test-cluster-0 1794:	Started container redis
06:53:36 Pod rfr-test-cluster-0 1794:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:53:36 Pod rfr-test-cluster-0 1794:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.345078ms
06:53:36 Pod rfr-test-cluster-0 1794:	Created container redis-exporter
06:53:39 Pod rfr-test-cluster-0 1794:	Started container redis-exporter
06:54:16 Pod rfr-test-cluster-0 1794:	Readiness probe failed: 
06:56:59 Pod rfr-test-cluster-0 1794:	Stopping container redis
06:56:59 Pod rfr-test-cluster-0 1794:	Stopping container redis-exporter
07:07:01 Pod rfr-test-cluster-0 3187:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker2
07:07:01 Pod rfr-test-cluster-0 3192:	Container image "redis:6.2.6-alpine" already present on machine
07:07:01 Pod rfr-test-cluster-0 3192:	Created container redis
07:07:02 Pod rfr-test-cluster-0 3192:	Started container redis
07:07:02 Pod rfr-test-cluster-0 3192:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:07:02 Pod rfr-test-cluster-0 3192:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.057438ms
07:07:02 Pod rfr-test-cluster-0 3192:	Created container redis-exporter
07:07:05 Pod rfr-test-cluster-0 3192:	Started container redis-exporter
07:07:41 Pod rfr-test-cluster-0 3192:	Readiness probe failed: 
06:47:31 Pod rfr-test-cluster-1 833:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
06:47:33 Pod rfr-test-cluster-1 840:	Container image "redis:6.2.6-alpine" already present on machine
06:47:33 Pod rfr-test-cluster-1 840:	Created container redis
06:47:34 Pod rfr-test-cluster-1 840:	Started container redis
06:47:34 Pod rfr-test-cluster-1 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:47:34 Pod rfr-test-cluster-1 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 285.292034ms
06:47:34 Pod rfr-test-cluster-1 840:	Created container redis-exporter
06:47:36 Pod rfr-test-cluster-1 840:	Started container redis-exporter
06:48:11 Pod rfr-test-cluster-1 840:	Readiness probe failed: 
06:50:33 Pod rfr-test-cluster-1 840:	Stopping container redis
06:50:33 Pod rfr-test-cluster-1 840:	Stopping container redis-exporter
06:51:34 Pod rfr-test-cluster-1 1457:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
06:51:35 Pod rfr-test-cluster-1 1459:	Container image "redis:6.2.6-alpine" already present on machine
06:51:35 Pod rfr-test-cluster-1 1459:	Created container redis
06:51:35 Pod rfr-test-cluster-1 1459:	Started container redis
06:51:35 Pod rfr-test-cluster-1 1459:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:51:35 Pod rfr-test-cluster-1 1459:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.559295ms
06:51:35 Pod rfr-test-cluster-1 1459:	Created container redis-exporter
06:51:39 Pod rfr-test-cluster-1 1459:	Started container redis-exporter
06:52:41 Pod rfr-test-cluster-1 1459:	Stopping container redis
06:52:41 Pod rfr-test-cluster-1 1459:	Stopping container redis-exporter
06:52:43 Pod rfr-test-cluster-1 1633:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
06:52:43 Pod rfr-test-cluster-1 1634:	Container image "redis:6.2.6-alpine" already present on machine
06:52:43 Pod rfr-test-cluster-1 1634:	Created container redis
06:52:43 Pod rfr-test-cluster-1 1634:	Started container redis
06:52:43 Pod rfr-test-cluster-1 1634:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:52:44 Pod rfr-test-cluster-1 1634:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.953358ms
06:52:44 Pod rfr-test-cluster-1 1634:	Created container redis-exporter
06:52:46 Pod rfr-test-cluster-1 1634:	Started container redis-exporter
06:57:33 Pod rfr-test-cluster-1 1634:	Stopping container redis
06:57:33 Pod rfr-test-cluster-1 1634:	Stopping container redis-exporter
07:07:01 Pod rfr-test-cluster-1 3189:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker3
07:07:01 Pod rfr-test-cluster-1 3194:	Container image "redis:6.2.6-alpine" already present on machine
07:07:01 Pod rfr-test-cluster-1 3194:	Created container redis
07:07:02 Pod rfr-test-cluster-1 3194:	Started container redis
07:07:02 Pod rfr-test-cluster-1 3194:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:07:02 Pod rfr-test-cluster-1 3194:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.520126ms
07:07:02 Pod rfr-test-cluster-1 3194:	Created container redis-exporter
07:07:05 Pod rfr-test-cluster-1 3194:	Started container redis-exporter
07:07:41 Pod rfr-test-cluster-1 3194:	Readiness probe failed: 
06:47:31 Pod rfr-test-cluster-2 838:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker3
06:47:33 Pod rfr-test-cluster-2 844:	Container image "redis:6.2.6-alpine" already present on machine
06:47:33 Pod rfr-test-cluster-2 844:	Created container redis
06:47:34 Pod rfr-test-cluster-2 844:	Started container redis
06:47:34 Pod rfr-test-cluster-2 844:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:47:34 Pod rfr-test-cluster-2 844:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 323.124977ms
06:47:34 Pod rfr-test-cluster-2 844:	Created container redis-exporter
06:47:36 Pod rfr-test-cluster-2 844:	Started container redis-exporter
06:48:11 Pod rfr-test-cluster-2 844:	Readiness probe failed: 
06:50:33 Pod rfr-test-cluster-2 844:	Stopping container redis
06:50:33 Pod rfr-test-cluster-2 844:	Stopping container redis-exporter
06:51:34 Pod rfr-test-cluster-2 1458:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker3
06:51:35 Pod rfr-test-cluster-2 1464:	Container image "redis:6.2.6-alpine" already present on machine
06:51:35 Pod rfr-test-cluster-2 1464:	Created container redis
06:51:35 Pod rfr-test-cluster-2 1464:	Started container redis
06:51:35 Pod rfr-test-cluster-2 1464:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:51:35 Pod rfr-test-cluster-2 1464:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 122.958237ms
06:51:35 Pod rfr-test-cluster-2 1464:	Created container redis-exporter
06:51:39 Pod rfr-test-cluster-2 1464:	Started container redis-exporter
06:53:04 Pod rfr-test-cluster-2 1464:	Stopping container redis
06:53:04 Pod rfr-test-cluster-2 1464:	Stopping container redis-exporter
06:53:04 Pod rfr-test-cluster-2 1464:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
06:53:04 Pod rfr-test-cluster-2 1464:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
06:53:06 Pod rfr-test-cluster-2 1712:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker3
06:53:07 Pod rfr-test-cluster-2 1713:	Container image "redis:6.2.6-alpine" already present on machine
06:53:07 Pod rfr-test-cluster-2 1713:	Created container redis
06:53:08 Pod rfr-test-cluster-2 1713:	Started container redis
06:53:08 Pod rfr-test-cluster-2 1713:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:53:08 Pod rfr-test-cluster-2 1713:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.059614ms
06:53:08 Pod rfr-test-cluster-2 1713:	Created container redis-exporter
06:53:10 Pod rfr-test-cluster-2 1713:	Started container redis-exporter
06:57:04 Pod rfr-test-cluster-2 1713:	Stopping container redis
06:57:04 Pod rfr-test-cluster-2 1713:	Stopping container redis-exporter
07:07:01 Pod rfr-test-cluster-2 3195:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker
07:07:01 Pod rfr-test-cluster-2 3199:	Container image "redis:6.2.6-alpine" already present on machine
07:07:01 Pod rfr-test-cluster-2 3199:	Created container redis
07:07:02 Pod rfr-test-cluster-2 3199:	Started container redis
07:07:02 Pod rfr-test-cluster-2 3199:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:07:02 Pod rfr-test-cluster-2 3199:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 114.529419ms
07:07:02 Pod rfr-test-cluster-2 3199:	Created container redis-exporter
07:07:05 Pod rfr-test-cluster-2 3199:	Started container redis-exporter
07:07:41 Pod rfr-test-cluster-2 3199:	Readiness probe failed: 
06:47:31 PodDisruptionBudget rfr-test-cluster 825:	No matching pods found
06:47:31 StatefulSet rfr-test-cluster 829:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:47:31 StatefulSet rfr-test-cluster 829:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:47:31 StatefulSet rfr-test-cluster 829:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:50:33 StatefulSet rfr-test-cluster 1313:	delete Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:50:33 StatefulSet rfr-test-cluster 1313:	delete Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:57:00 StatefulSet rfr-test-cluster 2154:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].name: Required value
06:47:32 Pod rfs-test-cluster-54df69f8df-27hzc 864:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-27hzc to acto-cluster-5-worker
06:47:33 Pod rfs-test-cluster-54df69f8df-27hzc 868:	Container image "redis:6.2.6-alpine" already present on machine
06:47:33 Pod rfs-test-cluster-54df69f8df-27hzc 868:	Created container sentinel-config-copy
06:47:47 Pod rfs-test-cluster-54df69f8df-27hzc 868:	Started container sentinel-config-copy
06:47:49 Pod rfs-test-cluster-54df69f8df-27hzc 868:	Container image "redis:6.2.6-alpine" already present on machine
06:47:49 Pod rfs-test-cluster-54df69f8df-27hzc 868:	Created container sentinel
06:47:49 Pod rfs-test-cluster-54df69f8df-27hzc 868:	Started container sentinel
06:47:32 Pod rfs-test-cluster-54df69f8df-4xhc9 862:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-4xhc9 to acto-cluster-5-worker2
06:47:33 Pod rfs-test-cluster-54df69f8df-4xhc9 867:	Container image "redis:6.2.6-alpine" already present on machine
06:47:33 Pod rfs-test-cluster-54df69f8df-4xhc9 867:	Created container sentinel-config-copy
06:47:48 Pod rfs-test-cluster-54df69f8df-4xhc9 867:	Started container sentinel-config-copy
06:47:50 Pod rfs-test-cluster-54df69f8df-4xhc9 867:	Container image "redis:6.2.6-alpine" already present on machine
06:47:50 Pod rfs-test-cluster-54df69f8df-4xhc9 867:	Created container sentinel
06:47:50 Pod rfs-test-cluster-54df69f8df-4xhc9 867:	Started container sentinel
06:47:31 Pod rfs-test-cluster-54df69f8df-5jvv6 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-5jvv6 to acto-cluster-5-worker3
06:47:33 Pod rfs-test-cluster-54df69f8df-5jvv6 865:	Container image "redis:6.2.6-alpine" already present on machine
06:47:33 Pod rfs-test-cluster-54df69f8df-5jvv6 865:	Created container sentinel-config-copy
06:47:48 Pod rfs-test-cluster-54df69f8df-5jvv6 865:	Started container sentinel-config-copy
06:47:51 Pod rfs-test-cluster-54df69f8df-5jvv6 865:	Container image "redis:6.2.6-alpine" already present on machine
06:47:51 Pod rfs-test-cluster-54df69f8df-5jvv6 865:	Created container sentinel
06:47:51 Pod rfs-test-cluster-54df69f8df-5jvv6 865:	Started container sentinel
06:47:31 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-5jvv6
06:47:31 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-4xhc9
06:47:31 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-27hzc
06:47:31 PodDisruptionBudget rfs-test-cluster 851:	No matching pods found
06:47:31 Deployment rfs-test-cluster 854:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
