08:11:52 Pod rfs-test-cluster-6d54f84994-9qjvj 1412:	Container image "redis:6.2.6-alpine" already present on machine
08:11:52 Pod rfs-test-cluster-6d54f84994-9qjvj 1412:	Created container sentinel-config-copy
08:12:05 Pod rfs-test-cluster-6d54f84994-9qjvj 1412:	Started container sentinel-config-copy
08:12:07 Pod rfs-test-cluster-6d54f84994-9qjvj 1412:	Container image "redis:6.2.6-alpine" already present on machine
08:12:07 Pod rfs-test-cluster-6d54f84994-9qjvj 1412:	Created container sentinel
08:12:07 Pod rfs-test-cluster-6d54f84994-9qjvj 1412:	Started container sentinel
08:17:05 Pod rfs-test-cluster-6d54f84994-9qjvj 1412:	Stopping container sentinel
08:20:40 Pod rfs-test-cluster-6d54f84994-gzb8c 2627:	Successfully assigned acto-namespace/rfs-test-cluster-6d54f84994-gzb8c to acto-cluster-9-worker3
08:20:41 Pod rfs-test-cluster-6d54f84994-gzb8c 2630:	Container image "redis:6.2.6-alpine" already present on machine
08:20:41 Pod rfs-test-cluster-6d54f84994-gzb8c 2630:	Created container sentinel-config-copy
08:20:52 Pod rfs-test-cluster-6d54f84994-gzb8c 2630:	Started container sentinel-config-copy
08:20:54 Pod rfs-test-cluster-6d54f84994-gzb8c 2630:	Container image "redis:6.2.6-alpine" already present on machine
08:20:54 Pod rfs-test-cluster-6d54f84994-gzb8c 2630:	Created container sentinel
08:20:54 Pod rfs-test-cluster-6d54f84994-gzb8c 2630:	Started container sentinel
08:25:04 Pod rfs-test-cluster-6d54f84994-gzb8c 2630:	Stopping container sentinel
08:12:42 Pod rfs-test-cluster-6d54f84994-r7mxs 1528:	Successfully assigned acto-namespace/rfs-test-cluster-6d54f84994-r7mxs to acto-cluster-9-worker
08:12:43 Pod rfs-test-cluster-6d54f84994-r7mxs 1532:	Container image "redis:6.2.6-alpine" already present on machine
08:12:43 Pod rfs-test-cluster-6d54f84994-r7mxs 1532:	Created container sentinel-config-copy
08:12:56 Pod rfs-test-cluster-6d54f84994-r7mxs 1532:	Started container sentinel-config-copy
08:12:58 Pod rfs-test-cluster-6d54f84994-r7mxs 1532:	Container image "redis:6.2.6-alpine" already present on machine
08:12:58 Pod rfs-test-cluster-6d54f84994-r7mxs 1532:	Created container sentinel
08:12:58 Pod rfs-test-cluster-6d54f84994-r7mxs 1532:	Started container sentinel
08:16:14 Pod rfs-test-cluster-6d54f84994-r7mxs 1532:	Stopping container sentinel
08:19:00 Pod rfs-test-cluster-6d54f84994-xjpbc 2383:	Successfully assigned acto-namespace/rfs-test-cluster-6d54f84994-xjpbc to acto-cluster-9-worker
08:19:01 Pod rfs-test-cluster-6d54f84994-xjpbc 2386:	Container image "redis:6.2.6-alpine" already present on machine
08:19:01 Pod rfs-test-cluster-6d54f84994-xjpbc 2386:	Created container sentinel-config-copy
08:19:13 Pod rfs-test-cluster-6d54f84994-xjpbc 2386:	Started container sentinel-config-copy
