05:42:46 Pod redisoperator-56c8dfdfb-fskqw 806:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-fskqw to acto-cluster-6-worker3
05:43:00 Pod rfr-test-cluster-2 873:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 266.469227ms
05:43:00 Pod rfr-test-cluster-2 873:	Created container redis-exporter
05:43:06 Pod rfr-test-cluster-2 873:	Started container redis-exporter
05:43:36 Pod rfr-test-cluster-2 873:	Readiness probe failed: 
05:42:54 PodDisruptionBudget rfr-test-cluster 854:	No matching pods found
05:42:54 StatefulSet rfr-test-cluster 858:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
05:42:54 StatefulSet rfr-test-cluster 858:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
05:42:54 StatefulSet rfr-test-cluster 858:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
05:42:54 Pod rfs-test-cluster-54df69f8df-79r24 887:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-79r24 to acto-cluster-6-worker3
05:42:57 Pod rfs-test-cluster-54df69f8df-79r24 892:	Container image "redis:6.2.6-alpine" already present on machine
05:42:57 Pod rfs-test-cluster-54df69f8df-79r24 892:	Created container sentinel-config-copy
05:43:18 Pod rfs-test-cluster-54df69f8df-79r24 892:	Started container sentinel-config-copy
05:43:37 Pod rfs-test-cluster-54df69f8df-79r24 892:	Container image "redis:6.2.6-alpine" already present on machine
05:43:38 Pod rfs-test-cluster-54df69f8df-79r24 892:	Created container sentinel
05:43:39 Pod rfs-test-cluster-54df69f8df-79r24 892:	Started container sentinel
05:51:02 Pod rfs-test-cluster-54df69f8df-79r24 892:	Stopping container sentinel
05:42:54 Pod rfs-test-cluster-54df69f8df-9gmst 890:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-9gmst to acto-cluster-6-worker
05:42:57 Pod rfs-test-cluster-54df69f8df-9gmst 898:	Container image "redis:6.2.6-alpine" already present on machine
05:42:57 Pod rfs-test-cluster-54df69f8df-9gmst 898:	Created container sentinel-config-copy
05:43:37 Pod rfs-test-cluster-54df69f8df-9gmst 898:	Started container sentinel-config-copy
05:43:40 Pod rfs-test-cluster-54df69f8df-9gmst 898:	Container image "redis:6.2.6-alpine" already present on machine
05:43:40 Pod rfs-test-cluster-54df69f8df-9gmst 898:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-9gmst 898:	Started container sentinel
05:51:52 Pod rfs-test-cluster-54df69f8df-9gmst 898:	Stopping container sentinel
05:42:54 Pod rfs-test-cluster-54df69f8df-rz4zd 894:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rz4zd to acto-cluster-6-worker2
05:42:57 Pod rfs-test-cluster-54df69f8df-rz4zd 901:	Container image "redis:6.2.6-alpine" already present on machine
05:42:57 Pod rfs-test-cluster-54df69f8df-rz4zd 901:	Created container sentinel-config-copy
05:43:38 Pod rfs-test-cluster-54df69f8df-rz4zd 901:	Started container sentinel-config-copy
05:43:41 Pod rfs-test-cluster-54df69f8df-rz4zd 901:	Container image "redis:6.2.6-alpine" already present on machine
05:43:41 Pod rfs-test-cluster-54df69f8df-rz4zd 901:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-rz4zd 901:	Started container sentinel
05:50:11 Pod rfs-test-cluster-54df69f8df-rz4zd 901:	Stopping container sentinel
05:42:54 ReplicaSet rfs-test-cluster-54df69f8df 885:	Created pod: rfs-test-cluster-54df69f8df-79r24
05:42:54 ReplicaSet rfs-test-cluster-54df69f8df 885:	Created pod: rfs-test-cluster-54df69f8df-9gmst
05:42:54 ReplicaSet rfs-test-cluster-54df69f8df 885:	Created pod: rfs-test-cluster-54df69f8df-rz4zd
05:50:11 ReplicaSet rfs-test-cluster-54df69f8df 1777:	Deleted pod: rfs-test-cluster-54df69f8df-rz4zd
05:51:02 ReplicaSet rfs-test-cluster-54df69f8df 1908:	Deleted pod: rfs-test-cluster-54df69f8df-79r24
05:51:52 ReplicaSet rfs-test-cluster-54df69f8df 2039:	Deleted pod: rfs-test-cluster-54df69f8df-9gmst
05:52:55 Pod rfs-test-cluster-7b46498655-8r6zw 2163:	Successfully assigned acto-namespace/rfs-test-cluster-7b46498655-8r6zw to acto-cluster-6-worker2
05:52:56 Pod rfs-test-cluster-7b46498655-8r6zw 2165:	Container image "redis:6.2.6-alpine" already present on machine
05:52:56 Pod rfs-test-cluster-7b46498655-8r6zw 2165:	Created container sentinel-config-copy
05:53:09 Pod rfs-test-cluster-7b46498655-8r6zw 2165:	Started container sentinel-config-copy
05:53:10 Pod rfs-test-cluster-7b46498655-8r6zw 2165:	Container image "redis:6.2.6-alpine" already present on machine
05:53:10 Pod rfs-test-cluster-7b46498655-8r6zw 2165:	Created container sentinel
05:53:10 Pod rfs-test-cluster-7b46498655-8r6zw 2165:	Started container sentinel
05:53:10 Pod rfs-test-cluster-7b46498655-8r6zw 2165:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:53:10 Pod rfs-test-cluster-7b46498655-8r6zw 2165:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 240.423135ms
05:53:10 Pod rfs-test-cluster-7b46498655-8r6zw 2165:	Created container sentinel-exporter
05:53:11 Pod rfs-test-cluster-7b46498655-8r6zw 2165:	Started container sentinel-exporter
05:54:36 Pod rfs-test-cluster-7b46498655-lm4vv 2420:	Successfully assigned acto-namespace/rfs-test-cluster-7b46498655-lm4vv to acto-cluster-6-worker
05:54:36 Pod rfs-test-cluster-7b46498655-lm4vv 2425:	Container image "redis:6.2.6-alpine" already present on machine
05:54:36 Pod rfs-test-cluster-7b46498655-lm4vv 2425:	Created container sentinel-config-copy
05:54:50 Pod rfs-test-cluster-7b46498655-lm4vv 2425:	Started container sentinel-config-copy
05:54:52 Pod rfs-test-cluster-7b46498655-lm4vv 2425:	Container image "redis:6.2.6-alpine" already present on machine
05:54:52 Pod rfs-test-cluster-7b46498655-lm4vv 2425:	Created container sentinel
05:54:52 Pod rfs-test-cluster-7b46498655-lm4vv 2425:	Started container sentinel
05:54:52 Pod rfs-test-cluster-7b46498655-lm4vv 2425:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:54:53 Pod rfs-test-cluster-7b46498655-lm4vv 2425:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 193.396154ms
05:54:53 Pod rfs-test-cluster-7b46498655-lm4vv 2425:	Created container sentinel-exporter
05:54:53 Pod rfs-test-cluster-7b46498655-lm4vv 2425:	Started container sentinel-exporter
05:53:45 Pod rfs-test-cluster-7b46498655-p267c 2289:	Successfully assigned acto-namespace/rfs-test-cluster-7b46498655-p267c to acto-cluster-6-worker3
05:53:46 Pod rfs-test-cluster-7b46498655-p267c 2291:	Container image "redis:6.2.6-alpine" already present on machine
05:53:46 Pod rfs-test-cluster-7b46498655-p267c 2291:	Created container sentinel-config-copy
05:53:59 Pod rfs-test-cluster-7b46498655-p267c 2291:	Started container sentinel-config-copy
05:54:01 Pod rfs-test-cluster-7b46498655-p267c 2291:	Container image "redis:6.2.6-alpine" already present on machine
05:54:01 Pod rfs-test-cluster-7b46498655-p267c 2291:	Created container sentinel
05:54:01 Pod rfs-test-cluster-7b46498655-p267c 2291:	Started container sentinel
05:54:01 Pod rfs-test-cluster-7b46498655-p267c 2291:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:54:01 Pod rfs-test-cluster-7b46498655-p267c 2291:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.64837ms
05:54:01 Pod rfs-test-cluster-7b46498655-p267c 2291:	Created container sentinel-exporter
05:54:01 Pod rfs-test-cluster-7b46498655-p267c 2291:	Started container sentinel-exporter
05:52:55 ReplicaSet rfs-test-cluster-7b46498655 2160:	Created pod: rfs-test-cluster-7b46498655-8r6zw
05:53:45 ReplicaSet rfs-test-cluster-7b46498655 2285:	Created pod: rfs-test-cluster-7b46498655-p267c
05:54:36 ReplicaSet rfs-test-cluster-7b46498655 2417:	Created pod: rfs-test-cluster-7b46498655-lm4vv
05:49:21 Pod rfs-test-cluster-849c497c5f-99tcb 1667:	Successfully assigned acto-namespace/rfs-test-cluster-849c497c5f-99tcb to acto-cluster-6-worker2
05:49:21 Pod rfs-test-cluster-849c497c5f-99tcb 1669:	Container image "redis:6.2.6-alpine" already present on machine
05:49:21 Pod rfs-test-cluster-849c497c5f-99tcb 1669:	Created container sentinel-config-copy
05:49:34 Pod rfs-test-cluster-849c497c5f-99tcb 1669:	Started container sentinel-config-copy
05:49:36 Pod rfs-test-cluster-849c497c5f-99tcb 1669:	Container image "redis:6.2.6-alpine" already present on machine
05:49:36 Pod rfs-test-cluster-849c497c5f-99tcb 1669:	Created container sentinel
05:49:37 Pod rfs-test-cluster-849c497c5f-99tcb 1669:	Started container sentinel
05:49:37 Pod rfs-test-cluster-849c497c5f-99tcb 1669:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:49:37 Pod rfs-test-cluster-849c497c5f-99tcb 1669:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 136.928662ms
05:49:37 Pod rfs-test-cluster-849c497c5f-99tcb 1669:	Created container sentinel-exporter
05:49:37 Pod rfs-test-cluster-849c497c5f-99tcb 1669:	Started container sentinel-exporter
05:53:45 Pod rfs-test-cluster-849c497c5f-99tcb 1669:	Stopping container sentinel
05:53:45 Pod rfs-test-cluster-849c497c5f-99tcb 1669:	Stopping container sentinel-exporter
05:51:02 Pod rfs-test-cluster-849c497c5f-jqstl 1920:	Successfully assigned acto-namespace/rfs-test-cluster-849c497c5f-jqstl to acto-cluster-6-worker
05:51:02 Pod rfs-test-cluster-849c497c5f-jqstl 1923:	Container image "redis:6.2.6-alpine" already present on machine
05:51:02 Pod rfs-test-cluster-849c497c5f-jqstl 1923:	Created container sentinel-config-copy
05:51:15 Pod rfs-test-cluster-849c497c5f-jqstl 1923:	Started container sentinel-config-copy
05:51:17 Pod rfs-test-cluster-849c497c5f-jqstl 1923:	Container image "redis:6.2.6-alpine" already present on machine
05:51:17 Pod rfs-test-cluster-849c497c5f-jqstl 1923:	Created container sentinel
05:51:17 Pod rfs-test-cluster-849c497c5f-jqstl 1923:	Started container sentinel
05:51:17 Pod rfs-test-cluster-849c497c5f-jqstl 1923:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:51:17 Pod rfs-test-cluster-849c497c5f-jqstl 1923:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 124.481707ms
05:51:17 Pod rfs-test-cluster-849c497c5f-jqstl 1923:	Created container sentinel-exporter
05:51:17 Pod rfs-test-cluster-849c497c5f-jqstl 1923:	Started container sentinel-exporter
05:55:26 Pod rfs-test-cluster-849c497c5f-jqstl 1923:	Stopping container sentinel
05:55:26 Pod rfs-test-cluster-849c497c5f-jqstl 1923:	Stopping container sentinel-exporter
05:50:11 Pod rfs-test-cluster-849c497c5f-snrzb 1790:	Successfully assigned acto-namespace/rfs-test-cluster-849c497c5f-snrzb to acto-cluster-6-worker3
05:50:12 Pod rfs-test-cluster-849c497c5f-snrzb 1795:	Container image "redis:6.2.6-alpine" already present on machine
05:50:12 Pod rfs-test-cluster-849c497c5f-snrzb 1795:	Created container sentinel-config-copy
05:50:24 Pod rfs-test-cluster-849c497c5f-snrzb 1795:	Started container sentinel-config-copy
05:50:26 Pod rfs-test-cluster-849c497c5f-snrzb 1795:	Container image "redis:6.2.6-alpine" already present on machine
05:50:26 Pod rfs-test-cluster-849c497c5f-snrzb 1795:	Created container sentinel
05:50:27 Pod rfs-test-cluster-849c497c5f-snrzb 1795:	Started container sentinel
05:50:27 Pod rfs-test-cluster-849c497c5f-snrzb 1795:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:50:27 Pod rfs-test-cluster-849c497c5f-snrzb 1795:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 248.268151ms
05:50:27 Pod rfs-test-cluster-849c497c5f-snrzb 1795:	Created container sentinel-exporter
05:50:27 Pod rfs-test-cluster-849c497c5f-snrzb 1795:	Started container sentinel-exporter
05:54:36 Pod rfs-test-cluster-849c497c5f-snrzb 1795:	Stopping container sentinel
05:54:36 Pod rfs-test-cluster-849c497c5f-snrzb 1795:	Stopping container sentinel-exporter
05:49:21 ReplicaSet rfs-test-cluster-849c497c5f 1664:	Created pod: rfs-test-cluster-849c497c5f-99tcb
05:50:11 ReplicaSet rfs-test-cluster-849c497c5f 1787:	Created pod: rfs-test-cluster-849c497c5f-snrzb
05:51:02 ReplicaSet rfs-test-cluster-849c497c5f 1918:	Created pod: rfs-test-cluster-849c497c5f-jqstl
05:53:45 ReplicaSet rfs-test-cluster-849c497c5f 2274:	Deleted pod: rfs-test-cluster-849c497c5f-99tcb
05:54:35 ReplicaSet rfs-test-cluster-849c497c5f 2406:	Deleted pod: rfs-test-cluster-849c497c5f-snrzb
05:55:26 ReplicaSet rfs-test-cluster-849c497c5f 2538:	Deleted pod: rfs-test-cluster-849c497c5f-jqstl
05:42:54 PodDisruptionBudget rfs-test-cluster 880:	No matching pods found
05:42:54 Deployment rfs-test-cluster 883:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
05:49:21 Deployment rfs-test-cluster 1663:	Scaled up replica set rfs-test-cluster-849c497c5f to 1
05:50:11 Deployment rfs-test-cluster 1736:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
05:50:11 Deployment rfs-test-cluster 1780:	Scaled up replica set rfs-test-cluster-849c497c5f to 2
05:51:02 Deployment rfs-test-cluster 1880:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
05:51:02 Deployment rfs-test-cluster 1911:	Scaled up replica set rfs-test-cluster-849c497c5f to 3
05:51:52 Deployment rfs-test-cluster 2027:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
05:52:55 Deployment rfs-test-cluster 2159:	Scaled up replica set rfs-test-cluster-7b46498655 to 1
05:53:45 Deployment rfs-test-cluster 2228:	Scaled down replica set rfs-test-cluster-849c497c5f to 2
05:53:45 Deployment rfs-test-cluster 2277:	(combined from similar events): Scaled down replica set rfs-test-cluster-849c497c5f to 0
