09:08:47 Pod redisoperator-56c8dfdfb-hlmpb 799:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-hlmpb to acto-cluster-5-worker2
09:43:51 Pod rfr-test-cluster-2 5061:	Readiness probe failed: 
09:08:49 PodDisruptionBudget rfr-test-cluster 822:	No matching pods found
09:08:50 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
09:08:50 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
09:08:50 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
09:33:19 StatefulSet rfr-test-cluster 4042:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
09:08:50 Pod rfs-test-cluster-54df69f8df-kw9wn 864:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-kw9wn to acto-cluster-5-worker2
09:08:51 Pod rfs-test-cluster-54df69f8df-kw9wn 869:	Container image "redis:6.2.6-alpine" already present on machine
09:08:51 Pod rfs-test-cluster-54df69f8df-kw9wn 869:	Created container sentinel-config-copy
09:09:05 Pod rfs-test-cluster-54df69f8df-kw9wn 869:	Started container sentinel-config-copy
09:09:07 Pod rfs-test-cluster-54df69f8df-kw9wn 869:	Container image "redis:6.2.6-alpine" already present on machine
09:09:07 Pod rfs-test-cluster-54df69f8df-kw9wn 869:	Created container sentinel
09:09:07 Pod rfs-test-cluster-54df69f8df-kw9wn 869:	Started container sentinel
09:08:50 Pod rfs-test-cluster-54df69f8df-zmgxh 857:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-zmgxh to acto-cluster-5-worker3
09:08:51 Pod rfs-test-cluster-54df69f8df-zmgxh 863:	Container image "redis:6.2.6-alpine" already present on machine
09:08:51 Pod rfs-test-cluster-54df69f8df-zmgxh 863:	Created container sentinel-config-copy
09:09:06 Pod rfs-test-cluster-54df69f8df-zmgxh 863:	Started container sentinel-config-copy
09:09:08 Pod rfs-test-cluster-54df69f8df-zmgxh 863:	Container image "redis:6.2.6-alpine" already present on machine
09:09:08 Pod rfs-test-cluster-54df69f8df-zmgxh 863:	Created container sentinel
09:09:08 Pod rfs-test-cluster-54df69f8df-zmgxh 863:	Started container sentinel
09:08:50 Pod rfs-test-cluster-54df69f8df-zmt6f 862:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-zmt6f to acto-cluster-5-worker
09:08:51 Pod rfs-test-cluster-54df69f8df-zmt6f 867:	Container image "redis:6.2.6-alpine" already present on machine
09:08:52 Pod rfs-test-cluster-54df69f8df-zmt6f 867:	Created container sentinel-config-copy
09:09:07 Pod rfs-test-cluster-54df69f8df-zmt6f 867:	Started container sentinel-config-copy
09:09:09 Pod rfs-test-cluster-54df69f8df-zmt6f 867:	Container image "redis:6.2.6-alpine" already present on machine
09:09:09 Pod rfs-test-cluster-54df69f8df-zmt6f 867:	Created container sentinel
09:09:10 Pod rfs-test-cluster-54df69f8df-zmt6f 867:	Started container sentinel
09:08:50 ReplicaSet rfs-test-cluster-54df69f8df 855:	Created pod: rfs-test-cluster-54df69f8df-zmgxh
09:08:50 ReplicaSet rfs-test-cluster-54df69f8df 855:	Created pod: rfs-test-cluster-54df69f8df-kw9wn
09:08:50 ReplicaSet rfs-test-cluster-54df69f8df 855:	Created pod: rfs-test-cluster-54df69f8df-zmt6f
09:08:50 PodDisruptionBudget rfs-test-cluster 850:	No matching pods found
09:08:50 Deployment rfs-test-cluster 854:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
