06:36:21 Pod redisoperator-56c8dfdfb-wh2xv 783:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-wh2xv to acto-cluster-6-worker3
06:36:25 Pod rfr-test-cluster-0 820:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:36:25 Pod rfr-test-cluster-0 820:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 272.257744ms
06:36:25 Pod rfr-test-cluster-0 820:	Created container redis-exporter
06:36:29 Pod rfr-test-cluster-0 820:	Started container redis-exporter
06:37:05 Pod rfr-test-cluster-0 820:	Readiness probe failed: 
06:47:27 Pod rfr-test-cluster-0 820:	Stopping container redis
06:47:27 Pod rfr-test-cluster-0 820:	Stopping container redis-exporter
06:47:29 Pod rfr-test-cluster-0 2174:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker3
06:47:29 Pod rfr-test-cluster-0 2176:	Container image "redis:6.2.6-alpine" already present on machine
06:47:29 Pod rfr-test-cluster-0 2176:	Created container redis
06:47:30 Pod rfr-test-cluster-0 2176:	Started container redis
06:47:30 Pod rfr-test-cluster-0 2176:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:47:30 Pod rfr-test-cluster-0 2176:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.465199ms
06:47:30 Pod rfr-test-cluster-0 2176:	Created container redis-exporter
06:47:33 Pod rfr-test-cluster-0 2176:	Started container redis-exporter
06:48:10 Pod rfr-test-cluster-0 2176:	Readiness probe failed: 
06:50:52 Pod rfr-test-cluster-0 2176:	Stopping container redis
06:50:52 Pod rfr-test-cluster-0 2176:	Stopping container redis-exporter
06:50:53 Pod rfr-test-cluster-0 2550:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker3
06:50:54 Pod rfr-test-cluster-0 2553:	Container image "redis:6.2.6-alpine" already present on machine
06:50:54 Pod rfr-test-cluster-0 2553:	Created container redis
06:50:54 Pod rfr-test-cluster-0 2553:	Started container redis
06:50:54 Pod rfr-test-cluster-0 2553:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:50:54 Pod rfr-test-cluster-0 2553:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 134.603967ms
06:50:54 Pod rfr-test-cluster-0 2553:	Created container redis-exporter
06:50:57 Pod rfr-test-cluster-0 2553:	Started container redis-exporter
06:36:24 Pod rfr-test-cluster-1 818:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker
06:36:25 Pod rfr-test-cluster-1 825:	Container image "redis:6.2.6-alpine" already present on machine
06:36:25 Pod rfr-test-cluster-1 825:	Created container redis
06:36:25 Pod rfr-test-cluster-1 825:	Started container redis
06:36:25 Pod rfr-test-cluster-1 825:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:36:25 Pod rfr-test-cluster-1 825:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 234.526095ms
06:36:25 Pod rfr-test-cluster-1 825:	Created container redis-exporter
06:36:28 Pod rfr-test-cluster-1 825:	Started container redis-exporter
06:37:05 Pod rfr-test-cluster-1 825:	Readiness probe failed: 
06:46:42 Pod rfr-test-cluster-1 825:	Stopping container redis
06:46:42 Pod rfr-test-cluster-1 825:	Stopping container redis-exporter
06:46:44 Pod rfr-test-cluster-1 2026:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker
06:46:45 Pod rfr-test-cluster-1 2028:	Container image "redis:6.2.6-alpine" already present on machine
06:46:45 Pod rfr-test-cluster-1 2028:	Created container redis
06:46:45 Pod rfr-test-cluster-1 2028:	Started container redis
06:46:45 Pod rfr-test-cluster-1 2028:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:46:46 Pod rfr-test-cluster-1 2028:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 118.990849ms
06:46:46 Pod rfr-test-cluster-1 2028:	Created container redis-exporter
06:46:50 Pod rfr-test-cluster-1 2028:	Started container redis-exporter
06:51:27 Pod rfr-test-cluster-1 2028:	Stopping container redis
06:51:27 Pod rfr-test-cluster-1 2028:	Stopping container redis-exporter
06:51:27 Pod rfr-test-cluster-1 2671:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker
06:51:28 Pod rfr-test-cluster-1 2674:	Container image "redis:6.2.6-alpine" already present on machine
06:51:28 Pod rfr-test-cluster-1 2674:	Created container redis
06:51:28 Pod rfr-test-cluster-1 2674:	Started container redis
06:51:28 Pod rfr-test-cluster-1 2674:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:51:28 Pod rfr-test-cluster-1 2674:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 187.691843ms
06:51:28 Pod rfr-test-cluster-1 2674:	Created container redis-exporter
06:51:31 Pod rfr-test-cluster-1 2674:	Started container redis-exporter
06:52:07 Pod rfr-test-cluster-1 2674:	Readiness probe failed: 
06:36:24 Pod rfr-test-cluster-2 824:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-6-worker2
06:36:25 Pod rfr-test-cluster-2 829:	Container image "redis:6.2.6-alpine" already present on machine
06:36:25 Pod rfr-test-cluster-2 829:	Created container redis
06:36:25 Pod rfr-test-cluster-2 829:	Started container redis
06:36:25 Pod rfr-test-cluster-2 829:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:36:25 Pod rfr-test-cluster-2 829:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 249.19221ms
06:36:25 Pod rfr-test-cluster-2 829:	Created container redis-exporter
06:36:28 Pod rfr-test-cluster-2 829:	Started container redis-exporter
06:37:05 Pod rfr-test-cluster-2 829:	Readiness probe failed: 
06:46:56 Pod rfr-test-cluster-2 829:	Stopping container redis
06:46:56 Pod rfr-test-cluster-2 829:	Stopping container redis-exporter
06:46:58 Pod rfr-test-cluster-2 2080:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-6-worker2
06:46:58 Pod rfr-test-cluster-2 2081:	Container image "redis:6.2.6-alpine" already present on machine
06:46:58 Pod rfr-test-cluster-2 2081:	Created container redis
06:46:58 Pod rfr-test-cluster-2 2081:	Started container redis
06:46:58 Pod rfr-test-cluster-2 2081:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:46:59 Pod rfr-test-cluster-2 2081:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 191.532835ms
06:46:59 Pod rfr-test-cluster-2 2081:	Created container redis-exporter
06:47:01 Pod rfr-test-cluster-2 2081:	Started container redis-exporter
06:50:57 Pod rfr-test-cluster-2 2081:	Stopping container redis
06:50:57 Pod rfr-test-cluster-2 2081:	Stopping container redis-exporter
06:50:58 Pod rfr-test-cluster-2 2081:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
06:50:58 Pod rfr-test-cluster-2 2081:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
06:50:58 Pod rfr-test-cluster-2 2594:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-6-worker2
06:50:59 Pod rfr-test-cluster-2 2595:	Container image "redis:6.2.6-alpine" already present on machine
06:50:59 Pod rfr-test-cluster-2 2595:	Created container redis
06:50:59 Pod rfr-test-cluster-2 2595:	Started container redis
06:50:59 Pod rfr-test-cluster-2 2595:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:50:59 Pod rfr-test-cluster-2 2595:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.806582ms
06:50:59 Pod rfr-test-cluster-2 2595:	Created container redis-exporter
06:51:02 Pod rfr-test-cluster-2 2595:	Started container redis-exporter
06:36:24 PodDisruptionBudget rfr-test-cluster 809:	No matching pods found
06:36:24 StatefulSet rfr-test-cluster 814:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:36:24 StatefulSet rfr-test-cluster 814:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:36:24 StatefulSet rfr-test-cluster 814:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:36:24 Pod rfs-test-cluster-54df69f8df-cxkql 847:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-cxkql to acto-cluster-6-worker3
06:36:25 Pod rfs-test-cluster-54df69f8df-cxkql 853:	Container image "redis:6.2.6-alpine" already present on machine
06:36:25 Pod rfs-test-cluster-54df69f8df-cxkql 853:	Created container sentinel-config-copy
06:36:39 Pod rfs-test-cluster-54df69f8df-cxkql 853:	Started container sentinel-config-copy
06:36:41 Pod rfs-test-cluster-54df69f8df-cxkql 853:	Container image "redis:6.2.6-alpine" already present on machine
06:36:41 Pod rfs-test-cluster-54df69f8df-cxkql 853:	Created container sentinel
06:36:41 Pod rfs-test-cluster-54df69f8df-cxkql 853:	Started container sentinel
06:36:24 Pod rfs-test-cluster-54df69f8df-hc59w 843:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hc59w to acto-cluster-6-worker
06:36:25 Pod rfs-test-cluster-54df69f8df-hc59w 848:	Container image "redis:6.2.6-alpine" already present on machine
06:36:25 Pod rfs-test-cluster-54df69f8df-hc59w 848:	Created container sentinel-config-copy
06:36:40 Pod rfs-test-cluster-54df69f8df-hc59w 848:	Started container sentinel-config-copy
06:36:42 Pod rfs-test-cluster-54df69f8df-hc59w 848:	Container image "redis:6.2.6-alpine" already present on machine
06:36:42 Pod rfs-test-cluster-54df69f8df-hc59w 848:	Created container sentinel
06:36:43 Pod rfs-test-cluster-54df69f8df-hc59w 848:	Started container sentinel
06:36:24 Pod rfs-test-cluster-54df69f8df-zcp24 849:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-zcp24 to acto-cluster-6-worker2
06:36:25 Pod rfs-test-cluster-54df69f8df-zcp24 855:	Container image "redis:6.2.6-alpine" already present on machine
06:36:25 Pod rfs-test-cluster-54df69f8df-zcp24 855:	Created container sentinel-config-copy
06:36:40 Pod rfs-test-cluster-54df69f8df-zcp24 855:	Started container sentinel-config-copy
06:36:42 Pod rfs-test-cluster-54df69f8df-zcp24 855:	Container image "redis:6.2.6-alpine" already present on machine
06:36:42 Pod rfs-test-cluster-54df69f8df-zcp24 855:	Created container sentinel
06:36:42 Pod rfs-test-cluster-54df69f8df-zcp24 855:	Started container sentinel
06:36:24 ReplicaSet rfs-test-cluster-54df69f8df 841:	Created pod: rfs-test-cluster-54df69f8df-hc59w
06:36:24 ReplicaSet rfs-test-cluster-54df69f8df 841:	Created pod: rfs-test-cluster-54df69f8df-cxkql
06:36:24 ReplicaSet rfs-test-cluster-54df69f8df 841:	Created pod: rfs-test-cluster-54df69f8df-zcp24
06:36:24 PodDisruptionBudget rfs-test-cluster 836:	No matching pods found
06:36:24 Deployment rfs-test-cluster 840:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
06:37:14 Endpoints rfs-test-cluster 968:	Failed to update endpoint acto-namespace/rfs-test-cluster: Operation cannot be fulfilled on endpoints "rfs-test-cluster": the object has been modified; please apply your changes to the latest version and try again
