07:37:07 Pod redisoperator-56c8dfdfb-ksnls 794:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-ksnls to acto-cluster-9-worker3
07:37:10 Pod rfs-test-cluster-54df69f8df-wrcqv 862:	Container image "redis:6.2.6-alpine" already present on machine
07:37:10 Pod rfs-test-cluster-54df69f8df-wrcqv 862:	Created container sentinel-config-copy
07:37:24 Pod rfs-test-cluster-54df69f8df-wrcqv 862:	Started container sentinel-config-copy
07:37:27 Pod rfs-test-cluster-54df69f8df-wrcqv 862:	Container image "redis:6.2.6-alpine" already present on machine
07:37:27 Pod rfs-test-cluster-54df69f8df-wrcqv 862:	Created container sentinel
07:37:29 Pod rfs-test-cluster-54df69f8df-wrcqv 862:	Started container sentinel
07:48:01 Pod rfs-test-cluster-54df69f8df-wrcqv 862:	Stopping container sentinel
07:50:44 Pod rfs-test-cluster-54df69f8df-wzn4t 2506:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-wzn4t to acto-cluster-9-worker2
07:50:45 Pod rfs-test-cluster-54df69f8df-wzn4t 2509:	Container image "redis:6.2.6-alpine" already present on machine
07:50:45 Pod rfs-test-cluster-54df69f8df-wzn4t 2509:	Created container sentinel-config-copy
07:50:56 Pod rfs-test-cluster-54df69f8df-wzn4t 2509:	Started container sentinel-config-copy
07:50:59 Pod rfs-test-cluster-54df69f8df-wzn4t 2509:	Container image "redis:6.2.6-alpine" already present on machine
07:50:59 Pod rfs-test-cluster-54df69f8df-wzn4t 2509:	Created container sentinel
07:50:59 Pod rfs-test-cluster-54df69f8df-wzn4t 2509:	Started container sentinel
07:55:07 Pod rfs-test-cluster-54df69f8df-wzn4t 2509:	Stopping container sentinel
07:37:09 ReplicaSet rfs-test-cluster-54df69f8df 850:	Created pod: rfs-test-cluster-54df69f8df-22g57
07:37:10 ReplicaSet rfs-test-cluster-54df69f8df 850:	Created pod: rfs-test-cluster-54df69f8df-wrcqv
07:37:10 ReplicaSet rfs-test-cluster-54df69f8df 850:	Created pod: rfs-test-cluster-54df69f8df-cb68b
07:47:10 ReplicaSet rfs-test-cluster-54df69f8df 2003:	Deleted pod: rfs-test-cluster-54df69f8df-22g57
07:48:01 ReplicaSet rfs-test-cluster-54df69f8df 2133:	Deleted pod: rfs-test-cluster-54df69f8df-wrcqv
07:48:51 ReplicaSet rfs-test-cluster-54df69f8df 2262:	Deleted pod: rfs-test-cluster-54df69f8df-cb68b
07:49:54 ReplicaSet rfs-test-cluster-54df69f8df 2384:	Created pod: rfs-test-cluster-54df69f8df-hd2gw
07:50:44 ReplicaSet rfs-test-cluster-54df69f8df 2503:	Created pod: rfs-test-cluster-54df69f8df-wzn4t
07:51:34 ReplicaSet rfs-test-cluster-54df69f8df 2629:	Created pod: rfs-test-cluster-54df69f8df-whs5m
07:54:17 ReplicaSet rfs-test-cluster-54df69f8df 2979:	Deleted pod: rfs-test-cluster-54df69f8df-hd2gw
07:55:07 ReplicaSet rfs-test-cluster-54df69f8df 3104:	Deleted pod: rfs-test-cluster-54df69f8df-wzn4t
07:55:57 ReplicaSet rfs-test-cluster-54df69f8df 3231:	Deleted pod: rfs-test-cluster-54df69f8df-whs5m
07:56:59 ReplicaSet rfs-test-cluster-54df69f8df 3354:	Created pod: rfs-test-cluster-54df69f8df-7rp54
07:57:49 ReplicaSet rfs-test-cluster-54df69f8df 3476:	Created pod: rfs-test-cluster-54df69f8df-d8rst
07:58:39 ReplicaSet rfs-test-cluster-54df69f8df 3596:	Created pod: rfs-test-cluster-54df69f8df-l6gd5
07:46:20 Pod rfs-test-cluster-6cf9bdcb6b-4jqbt 1898:	Successfully assigned acto-namespace/rfs-test-cluster-6cf9bdcb6b-4jqbt to acto-cluster-9-worker3
07:46:21 Pod rfs-test-cluster-6cf9bdcb6b-4jqbt 1901:	Container image "redis:6.2.6-alpine" already present on machine
07:46:21 Pod rfs-test-cluster-6cf9bdcb6b-4jqbt 1901:	Created container sentinel-config-copy
07:46:35 Pod rfs-test-cluster-6cf9bdcb6b-4jqbt 1901:	Started container sentinel-config-copy
07:46:37 Pod rfs-test-cluster-6cf9bdcb6b-4jqbt 1901:	Container image "redis:6.2.6-alpine" already present on machine
07:46:37 Pod rfs-test-cluster-6cf9bdcb6b-4jqbt 1901:	Created container sentinel
07:46:37 Pod rfs-test-cluster-6cf9bdcb6b-4jqbt 1901:	Started container sentinel
07:50:44 Pod rfs-test-cluster-6cf9bdcb6b-4jqbt 1901:	Stopping container sentinel
07:47:10 Pod rfs-test-cluster-6cf9bdcb6b-h5dkw 2015:	Successfully assigned acto-namespace/rfs-test-cluster-6cf9bdcb6b-h5dkw to acto-cluster-9-worker2
07:47:11 Pod rfs-test-cluster-6cf9bdcb6b-h5dkw 2019:	Container image "redis:6.2.6-alpine" already present on machine
07:47:11 Pod rfs-test-cluster-6cf9bdcb6b-h5dkw 2019:	Created container sentinel-config-copy
07:47:25 Pod rfs-test-cluster-6cf9bdcb6b-h5dkw 2019:	Started container sentinel-config-copy
07:47:27 Pod rfs-test-cluster-6cf9bdcb6b-h5dkw 2019:	Container image "redis:6.2.6-alpine" already present on machine
07:47:27 Pod rfs-test-cluster-6cf9bdcb6b-h5dkw 2019:	Created container sentinel
07:47:27 Pod rfs-test-cluster-6cf9bdcb6b-h5dkw 2019:	Started container sentinel
07:51:34 Pod rfs-test-cluster-6cf9bdcb6b-h5dkw 2019:	Stopping container sentinel
07:48:01 Pod rfs-test-cluster-6cf9bdcb6b-klnn7 2145:	Successfully assigned acto-namespace/rfs-test-cluster-6cf9bdcb6b-klnn7 to acto-cluster-9-worker
07:48:01 Pod rfs-test-cluster-6cf9bdcb6b-klnn7 2149:	Container image "redis:6.2.6-alpine" already present on machine
07:48:01 Pod rfs-test-cluster-6cf9bdcb6b-klnn7 2149:	Created container sentinel-config-copy
07:48:12 Pod rfs-test-cluster-6cf9bdcb6b-klnn7 2149:	Started container sentinel-config-copy
07:48:14 Pod rfs-test-cluster-6cf9bdcb6b-klnn7 2149:	Container image "redis:6.2.6-alpine" already present on machine
07:48:14 Pod rfs-test-cluster-6cf9bdcb6b-klnn7 2149:	Created container sentinel
07:48:14 Pod rfs-test-cluster-6cf9bdcb6b-klnn7 2149:	Started container sentinel
07:52:25 Pod rfs-test-cluster-6cf9bdcb6b-klnn7 2149:	Stopping container sentinel
07:46:20 ReplicaSet rfs-test-cluster-6cf9bdcb6b 1895:	Created pod: rfs-test-cluster-6cf9bdcb6b-4jqbt
07:47:10 ReplicaSet rfs-test-cluster-6cf9bdcb6b 2008:	Created pod: rfs-test-cluster-6cf9bdcb6b-h5dkw
07:48:01 ReplicaSet rfs-test-cluster-6cf9bdcb6b 2137:	Created pod: rfs-test-cluster-6cf9bdcb6b-klnn7
07:50:44 ReplicaSet rfs-test-cluster-6cf9bdcb6b 2493:	Deleted pod: rfs-test-cluster-6cf9bdcb6b-4jqbt
07:51:34 ReplicaSet rfs-test-cluster-6cf9bdcb6b 2619:	Deleted pod: rfs-test-cluster-6cf9bdcb6b-h5dkw
07:52:25 ReplicaSet rfs-test-cluster-6cf9bdcb6b 2749:	Deleted pod: rfs-test-cluster-6cf9bdcb6b-klnn7
07:55:07 Pod rfs-test-cluster-dd56f99d4-9ckrq 3117:	Successfully assigned acto-namespace/rfs-test-cluster-dd56f99d4-9ckrq to acto-cluster-9-worker
07:55:07 Pod rfs-test-cluster-dd56f99d4-9ckrq 3119:	Container image "redis:6.2.6-alpine" already present on machine
07:55:07 Pod rfs-test-cluster-dd56f99d4-9ckrq 3119:	Created container sentinel-config-copy
07:55:20 Pod rfs-test-cluster-dd56f99d4-9ckrq 3119:	Started container sentinel-config-copy
07:55:22 Pod rfs-test-cluster-dd56f99d4-9ckrq 3119:	Container image "redis:6.2.6-alpine" already present on machine
07:55:22 Pod rfs-test-cluster-dd56f99d4-9ckrq 3119:	Created container sentinel
07:55:22 Pod rfs-test-cluster-dd56f99d4-9ckrq 3119:	Started container sentinel
07:59:29 Pod rfs-test-cluster-dd56f99d4-9ckrq 3119:	Stopping container sentinel
07:54:17 Pod rfs-test-cluster-dd56f99d4-mr52h 2992:	Successfully assigned acto-namespace/rfs-test-cluster-dd56f99d4-mr52h to acto-cluster-9-worker2
07:54:17 Pod rfs-test-cluster-dd56f99d4-mr52h 2995:	Container image "redis:6.2.6-alpine" already present on machine
07:54:17 Pod rfs-test-cluster-dd56f99d4-mr52h 2995:	Created container sentinel-config-copy
07:54:30 Pod rfs-test-cluster-dd56f99d4-mr52h 2995:	Started container sentinel-config-copy
07:54:32 Pod rfs-test-cluster-dd56f99d4-mr52h 2995:	Container image "redis:6.2.6-alpine" already present on machine
07:54:32 Pod rfs-test-cluster-dd56f99d4-mr52h 2995:	Created container sentinel
07:54:32 Pod rfs-test-cluster-dd56f99d4-mr52h 2995:	Started container sentinel
07:57:49 Pod rfs-test-cluster-dd56f99d4-mr52h 2995:	Stopping container sentinel
07:53:26 Pod rfs-test-cluster-dd56f99d4-t5xnb 2871:	Successfully assigned acto-namespace/rfs-test-cluster-dd56f99d4-t5xnb to acto-cluster-9-worker3
07:53:27 Pod rfs-test-cluster-dd56f99d4-t5xnb 2874:	Container image "redis:6.2.6-alpine" already present on machine
07:53:27 Pod rfs-test-cluster-dd56f99d4-t5xnb 2874:	Created container sentinel-config-copy
07:53:41 Pod rfs-test-cluster-dd56f99d4-t5xnb 2874:	Started container sentinel-config-copy
07:53:43 Pod rfs-test-cluster-dd56f99d4-t5xnb 2874:	Container image "redis:6.2.6-alpine" already present on machine
07:53:43 Pod rfs-test-cluster-dd56f99d4-t5xnb 2874:	Created container sentinel
07:53:43 Pod rfs-test-cluster-dd56f99d4-t5xnb 2874:	Started container sentinel
07:58:39 Pod rfs-test-cluster-dd56f99d4-t5xnb 2874:	Stopping container sentinel
07:53:26 ReplicaSet rfs-test-cluster-dd56f99d4 2868:	Created pod: rfs-test-cluster-dd56f99d4-t5xnb
07:54:17 ReplicaSet rfs-test-cluster-dd56f99d4 2986:	Created pod: rfs-test-cluster-dd56f99d4-mr52h
07:55:07 ReplicaSet rfs-test-cluster-dd56f99d4 3114:	Created pod: rfs-test-cluster-dd56f99d4-9ckrq
07:57:49 ReplicaSet rfs-test-cluster-dd56f99d4 3465:	Deleted pod: rfs-test-cluster-dd56f99d4-mr52h
07:58:39 ReplicaSet rfs-test-cluster-dd56f99d4 3585:	Deleted pod: rfs-test-cluster-dd56f99d4-t5xnb
07:59:29 ReplicaSet rfs-test-cluster-dd56f99d4 3713:	Deleted pod: rfs-test-cluster-dd56f99d4-9ckrq
07:37:09 PodDisruptionBudget rfs-test-cluster 845:	No matching pods found
07:37:09 Deployment rfs-test-cluster 848:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
07:46:20 Deployment rfs-test-cluster 1894:	Scaled up replica set rfs-test-cluster-6cf9bdcb6b to 1
07:47:10 Deployment rfs-test-cluster 1954:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
07:47:10 Deployment rfs-test-cluster 2004:	Scaled up replica set rfs-test-cluster-6cf9bdcb6b to 2
07:48:01 Deployment rfs-test-cluster 2097:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
07:48:01 Deployment rfs-test-cluster 2135:	Scaled up replica set rfs-test-cluster-6cf9bdcb6b to 3
07:48:51 Deployment rfs-test-cluster 2241:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
07:49:54 Deployment rfs-test-cluster 2381:	Scaled up replica set rfs-test-cluster-54df69f8df to 1
07:50:44 Deployment rfs-test-cluster 2483:	Scaled down replica set rfs-test-cluster-6cf9bdcb6b to 2
07:50:44 Deployment rfs-test-cluster 2495:	(combined from similar events): Scaled down replica set rfs-test-cluster-dd56f99d4 to 0
