08:22:05 Pod redisoperator-56c8dfdfb-2ppfd 792:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-2ppfd to acto-cluster-3-worker2
08:41:53 Pod rfr-test-cluster-0 2939:	Readiness probe failed: 
08:22:07 Pod rfr-test-cluster-1 828:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-3-worker3
08:22:08 Pod rfr-test-cluster-1 833:	Container image "redis:6.2.6-alpine" already present on machine
08:22:08 Pod rfr-test-cluster-1 833:	Created container redis
08:22:08 Pod rfr-test-cluster-1 833:	Started container redis
08:22:08 Pod rfr-test-cluster-1 833:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:22:08 Pod rfr-test-cluster-1 833:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 249.636069ms
08:22:08 Pod rfr-test-cluster-1 833:	Created container redis-exporter
08:22:11 Pod rfr-test-cluster-1 833:	Started container redis-exporter
08:22:47 Pod rfr-test-cluster-1 833:	Readiness probe failed: 
08:31:20 Pod rfr-test-cluster-1 833:	Stopping container redis
08:31:20 Pod rfr-test-cluster-1 833:	Stopping container redis-exporter
08:41:23 Pod rfr-test-cluster-1 2938:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-3-worker2
08:41:23 Pod rfr-test-cluster-1 2943:	Container image "redis:6.2.6-alpine" already present on machine
08:41:23 Pod rfr-test-cluster-1 2943:	Created container redis
08:41:23 Pod rfr-test-cluster-1 2943:	Started container redis
08:41:23 Pod rfr-test-cluster-1 2943:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:41:24 Pod rfr-test-cluster-1 2943:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.978061ms
08:41:24 Pod rfr-test-cluster-1 2943:	Created container redis-exporter
08:41:26 Pod rfr-test-cluster-1 2943:	Started container redis-exporter
08:41:53 Pod rfr-test-cluster-1 2943:	Readiness probe failed: 
08:22:07 Pod rfr-test-cluster-2 832:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker2
08:22:08 Pod rfr-test-cluster-2 836:	Container image "redis:6.2.6-alpine" already present on machine
08:22:08 Pod rfr-test-cluster-2 836:	Created container redis
08:22:08 Pod rfr-test-cluster-2 836:	Started container redis
08:22:08 Pod rfr-test-cluster-2 836:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:22:09 Pod rfr-test-cluster-2 836:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 257.070965ms
08:22:09 Pod rfr-test-cluster-2 836:	Created container redis-exporter
08:22:12 Pod rfr-test-cluster-2 836:	Started container redis-exporter
08:22:47 Pod rfr-test-cluster-2 836:	Readiness probe failed: 
08:31:40 Pod rfr-test-cluster-2 836:	Stopping container redis
08:31:40 Pod rfr-test-cluster-2 836:	Stopping container redis-exporter
08:41:23 Pod rfr-test-cluster-2 2944:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker
08:41:23 Pod rfr-test-cluster-2 2947:	Container image "redis:6.2.6-alpine" already present on machine
08:41:23 Pod rfr-test-cluster-2 2947:	Created container redis
08:41:23 Pod rfr-test-cluster-2 2947:	Started container redis
08:41:23 Pod rfr-test-cluster-2 2947:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:41:24 Pod rfr-test-cluster-2 2947:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 137.204233ms
08:41:24 Pod rfr-test-cluster-2 2947:	Created container redis-exporter
08:41:26 Pod rfr-test-cluster-2 2947:	Started container redis-exporter
08:41:53 Pod rfr-test-cluster-2 2947:	Readiness probe failed: 
08:22:07 PodDisruptionBudget rfr-test-cluster 817:	No matching pods found
08:22:07 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:22:07 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:22:07 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:31:21 StatefulSet rfr-test-cluster 1917:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
08:32:11 StatefulSet rfr-test-cluster 1917:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
08:22:08 Pod rfs-test-cluster-54df69f8df-csfhj 850:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-csfhj to acto-cluster-3-worker2
08:22:08 Pod rfs-test-cluster-54df69f8df-csfhj 855:	Container image "redis:6.2.6-alpine" already present on machine
08:22:08 Pod rfs-test-cluster-54df69f8df-csfhj 855:	Created container sentinel-config-copy
08:22:22 Pod rfs-test-cluster-54df69f8df-csfhj 855:	Started container sentinel-config-copy
08:22:25 Pod rfs-test-cluster-54df69f8df-csfhj 855:	Container image "redis:6.2.6-alpine" already present on machine
08:22:25 Pod rfs-test-cluster-54df69f8df-csfhj 855:	Created container sentinel
08:22:25 Pod rfs-test-cluster-54df69f8df-csfhj 855:	Started container sentinel
08:22:08 Pod rfs-test-cluster-54df69f8df-q8g9f 857:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-q8g9f to acto-cluster-3-worker
08:22:08 Pod rfs-test-cluster-54df69f8df-q8g9f 861:	Container image "redis:6.2.6-alpine" already present on machine
08:22:08 Pod rfs-test-cluster-54df69f8df-q8g9f 861:	Created container sentinel-config-copy
08:22:21 Pod rfs-test-cluster-54df69f8df-q8g9f 861:	Started container sentinel-config-copy
08:22:24 Pod rfs-test-cluster-54df69f8df-q8g9f 861:	Container image "redis:6.2.6-alpine" already present on machine
08:22:24 Pod rfs-test-cluster-54df69f8df-q8g9f 861:	Created container sentinel
08:22:24 Pod rfs-test-cluster-54df69f8df-q8g9f 861:	Started container sentinel
08:22:08 Pod rfs-test-cluster-54df69f8df-v6m4v 856:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-v6m4v to acto-cluster-3-worker3
08:22:08 Pod rfs-test-cluster-54df69f8df-v6m4v 860:	Container image "redis:6.2.6-alpine" already present on machine
08:22:08 Pod rfs-test-cluster-54df69f8df-v6m4v 860:	Created container sentinel-config-copy
08:22:21 Pod rfs-test-cluster-54df69f8df-v6m4v 860:	Started container sentinel-config-copy
08:22:23 Pod rfs-test-cluster-54df69f8df-v6m4v 860:	Container image "redis:6.2.6-alpine" already present on machine
08:22:23 Pod rfs-test-cluster-54df69f8df-v6m4v 860:	Created container sentinel
08:22:23 Pod rfs-test-cluster-54df69f8df-v6m4v 860:	Started container sentinel
08:22:08 ReplicaSet rfs-test-cluster-54df69f8df 848:	Created pod: rfs-test-cluster-54df69f8df-csfhj
08:22:08 ReplicaSet rfs-test-cluster-54df69f8df 848:	Created pod: rfs-test-cluster-54df69f8df-v6m4v
08:22:08 ReplicaSet rfs-test-cluster-54df69f8df 848:	Created pod: rfs-test-cluster-54df69f8df-q8g9f
08:22:08 PodDisruptionBudget rfs-test-cluster 843:	No matching pods found
08:22:08 Deployment rfs-test-cluster 846:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
