07:23:37 Pod redisoperator-56c8dfdfb-4mhbk 798:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-4mhbk to acto-cluster-12-worker3
07:23:40 Pod rfs-test-cluster-54df69f8df-zp59s 868:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-zp59s to acto-cluster-12-worker2
07:23:41 Pod rfs-test-cluster-54df69f8df-zp59s 874:	Container image "redis:6.2.6-alpine" already present on machine
07:23:41 Pod rfs-test-cluster-54df69f8df-zp59s 874:	Created container sentinel-config-copy
07:23:56 Pod rfs-test-cluster-54df69f8df-zp59s 874:	Started container sentinel-config-copy
07:23:58 Pod rfs-test-cluster-54df69f8df-zp59s 874:	Container image "redis:6.2.6-alpine" already present on machine
07:23:58 Pod rfs-test-cluster-54df69f8df-zp59s 874:	Created container sentinel
07:23:58 Pod rfs-test-cluster-54df69f8df-zp59s 874:	Started container sentinel
07:23:40 ReplicaSet rfs-test-cluster-54df69f8df 859:	Created pod: rfs-test-cluster-54df69f8df-z4v66
07:23:40 ReplicaSet rfs-test-cluster-54df69f8df 859:	Created pod: rfs-test-cluster-54df69f8df-wtv8b
07:23:40 ReplicaSet rfs-test-cluster-54df69f8df 859:	Created pod: rfs-test-cluster-54df69f8df-zp59s
07:23:40 PodDisruptionBudget rfs-test-cluster 854:	No matching pods found
07:23:40 Deployment rfs-test-cluster 857:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
