Name,Owner,Desc,url,forks,stars,commits,watches,created_at,pushed_at
postgres-operator,zalando,Postgres operator creates and manages PostgreSQL clusters running in Kubernetes,https://github.com/zalando/postgres-operator,851,3180,61,1241,2017-05-12,2023-03-20
awesome-cloud-security,Funkmyster,"Curated list of awesome cloud security blogs, podcasts, standards, projects, and examples.",https://github.com/Funkmyster/awesome-cloud-security,83,413,12,41,2017-05-28,2023-01-25
nuclio,nuclio,High-Performance Serverless event and data processing platform,https://github.com/nuclio/nuclio,486,4785,116,2312,2017-05-19,2023-03-20
prometheus-adapter,kubernetes-sigs,An implementation of the custom.metrics.k8s.io API using Prometheus,https://github.com/kubernetes-sigs/prometheus-adapter,495,1605,30,432,2017-05-10,2023-03-16
sealed-secrets,bitnami-labs,A Kubernetes controller and tool for one-way encrypted Secrets,https://github.com/bitnami-labs/sealed-secrets,565,5991,66,1097,2017-05-29,2023-03-20
neonKUBE,nforgeio,Public neonKUBE projects,https://github.com/nforgeio/neonKUBE,14,66,11,11045,2017-05-29,2023-03-21
awesome-jordan,jordanopensource,Awesome open source projects in Jordan,https://github.com/jordanopensource/awesome-jordan,31,56,19,108,2017-05-23,2022-11-22
retagger,giantswarm,A tool to handle the retagging of third party docker images,https://github.com/giantswarm/retagger,5,23,14,895,2017-05-12,2023-03-20
maia,sapcc,Prometheus dressed as OpenStack service,https://github.com/sapcc/maia,3,12,40,224,2017-05-21,2023-03-16
bookmarks,MorganGeek,:bookmark: +5K awesome resources for geeks and software crafters :beer:,https://github.com/MorganGeek/bookmarks,71,380,20,3833,2017-05-26,2023-02-20
training-operator,kubeflow,Training operators on Kubernetes.,https://github.com/kubeflow/training-operator,529,1231,81,860,2017-06-28,2023-03-19
keel,keel-hq,"Kubernetes Operator to automate Helm, DaemonSet, StatefulSet & Deployment updates",https://github.com/keel-hq/keel,265,2162,33,1397,2017-06-10,2023-03-07
kubicorn,kubicorn,"Simple, cloud native infrastructure for Kubernetes. ",https://github.com/kubicorn/kubicorn,200,1683,54,1395,2017-06-10,2022-10-05
metering-operator,kube-reporting,"The Metering Operator is responsible for collecting metrics and other information about what's happening in a Kubernetes cluster, and providing a way to create reports on the collected data. ",https://github.com/kube-reporting/metering-operator,90,334,15,3997,2017-06-05,2023-03-14
faas-netes,openfaas,Serverless Functions For Kubernetes,https://github.com/openfaas/faas-netes,465,2030,43,1359,2017-07-23,2023-03-20
awesome-cloud-native,rootsongjc,"A curated list for awesome cloud native tools, software and tutorials.  - https://jimmysong.io/awesome-cloud-native/",https://github.com/rootsongjc/awesome-cloud-native,312,1683,98,647,2017-07-15,2023-03-10
presentation-gitlab-k8s,galexrt,These are the example files for my presentation and blog post about GitLab + Kubernetes for Continuous Delivery.,https://github.com/galexrt/presentation-gitlab-k8s,131,162,10,120,2017-07-09,2023-03-08
descheduler,kubernetes-sigs,Descheduler for Kubernetes,https://github.com/kubernetes-sigs/descheduler,565,3231,49,1342,2017-07-28,2023-03-16
auger,jpbetz,Directly access data objects stored in etcd by kubernetes.,https://github.com/jpbetz/auger,51,308,11,66,2017-07-31,2023-02-25
fabric-test,hyperledger,A collection of utilities used to test the core Hyperledger Fabric projects,https://github.com/hyperledger/fabric-test,128,150,18,1272,2017-07-26,2023-02-28
terraform-aws-ec2-instance,cloudposse,Terraform module for provisioning a general purpose EC2 host,https://github.com/cloudposse/terraform-aws-ec2-instance,191,135,23,88,2017-08-01,2023-03-13
operator-lifecycle-manager,operator-framework,A management framework for extending Kubernetes with Operators,https://github.com/operator-framework/operator-lifecycle-manager,521,1460,50,4179,2017-08-11,2023-03-15
lagoon,uselagoon,"Lagoon, the developer-focused application delivery platform",https://github.com/uselagoon/lagoon,142,474,22,10707,2017-08-30,2023-03-21
MMdnn,microsoft,"MMdnn is a set of tools to help users inter-operate among different deep learning frameworks. E.g. model conversion and visualization. Convert models between Caffe, Keras, MXNet, Tensorflow, CNTK, PyTorch Onnx and CoreML.",https://github.com/microsoft/MMdnn,977,5694,186,1084,2017-08-16,2022-09-22
azure-operator,giantswarm,Manages Kubernetes clusters running in in a Giant Swarm installation on Microsoft Azure,https://github.com/giantswarm/azure-operator,7,32,18,1432,2017-08-02,2023-03-17
horovod,horovod,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",https://github.com/horovod/horovod,2163,13126,330,1300,2017-08-09,2023-03-20
decco,platform9,Deployment cluster configuration and operations for Kubernetes,https://github.com/platform9/decco,6,32,45,234,2017-08-22,2023-01-16
kafka-connect-mq-source,ibm-messaging,This repository contains a Kafka Connect source connector for copying data from IBM MQ into Apache Kafka.,https://github.com/ibm-messaging/kafka-connect-mq-source,77,85,20,127,2017-08-09,2023-03-11
cluster-proportional-vertical-autoscaler,kubernetes-sigs,,https://github.com/kubernetes-sigs/cluster-proportional-vertical-autoscaler,29,40,10,125,2017-08-24,2023-03-02
kafka-connect-mq-sink,ibm-messaging,This repository contains a Kafka Connect sink connector for copying data from Apache Kafka into IBM MQ.,https://github.com/ibm-messaging/kafka-connect-mq-sink,34,27,12,100,2017-08-09,2023-03-14
upp-kafka,Financial-Times,"Helm package for UPP kafka setup: kafka, zookeeper, kafka-proxy",https://github.com/Financial-Times/upp-kafka,1,2,27,59,2017-08-09,2022-10-27
AwesomeCppGameDev,Caerind,A curated list of awesome C++ (mainly) things for Game Development. Inspired by awesome-... stuff.,https://github.com/Caerind/AwesomeCppGameDev,113,1233,58,32,2017-08-06,2022-07-22
pouch,alibaba,An Efficient Enterprise-class Container Engine,https://github.com/alibaba/pouch,963,4580,269,3007,2017-09-06,2022-11-09
kube-cleanup-operator,lwolf,Kubernetes Operator to automatically delete completed Jobs and their Pods,https://github.com/lwolf/kube-cleanup-operator,100,423,14,91,2017-09-05,2023-02-06
stork,libopenstorage,Stork - Storage Orchestration Runtime for Kubernetes,https://github.com/libopenstorage/stork,84,335,30,1516,2017-09-06,2023-03-20
dhall-kubernetes,dhall-lang,"Typecheck, template and modularize your Kubernetes definitions with Dhall",https://github.com/dhall-lang/dhall-kubernetes,60,575,18,129,2017-09-20,2022-08-25
puppetlabs-kubernetes,puppetlabs,This module install and configures a Kubernetes cluster,https://github.com/puppetlabs/puppetlabs-kubernetes,126,85,106,695,2017-09-06,2023-03-08
heimdall,uswitch,Generate PrometheusRule CRDs from Ingress annotations and Go templates,https://github.com/uswitch/heimdall,7,21,15,139,2017-09-20,2022-10-19
helm-s3,hypnoglow,⎈ Helm plugin that allows to set up a chart repository using AWS S3.,https://github.com/hypnoglow/helm-s3,136,497,13,307,2017-09-29,2023-03-01
kubeapps,vmware-tanzu,A web-based UI for deploying and managing applications in Kubernetes clusters,https://github.com/vmware-tanzu/kubeapps,693,4511,70,4424,2017-10-19,2023-03-21
qikqiak.com,cnych,关注 chatgpt、容器、kubernetes、devops、python、golang、微服务等技术 🎉🎉🎉,https://github.com/cnych/qikqiak.com,303,999,40,619,2017-10-18,2023-03-19
etcd-cloud-operator,Quentin-M,"Deploying and managing production-grade etcd clusters on cloud providers: failure recovery, disaster recovery, backups and resizing.",https://github.com/Quentin-M/etcd-cloud-operator,39,204,11,150,2017-10-02,2022-11-15
pipeline,banzaicloud,"Banzai Cloud Pipeline is a solution-oriented application platform which allows enterprises to develop, deploy and securely scale container-based applications in multi- and hybrid-cloud environments.",https://github.com/banzaicloud/pipeline,159,1476,42,5271,2017-10-29,2023-03-07
forgeops,ForgeRock,ForgeRock platform assets for Kubernetes deployment. Contains the files you need to build your own Docker images and to deploy the ForgeRock Identity Platform on Kubernetes clusters.,https://github.com/ForgeRock/forgeops,234,150,46,7496,2017-10-27,2023-03-20
k8s-device-plugin,NVIDIA,NVIDIA device plugin for Kubernetes,https://github.com/NVIDIA/k8s-device-plugin,517,1697,57,809,2017-10-10,2023-03-20
charts,openebs,OpenEBS Helm Charts and other utilities,https://github.com/openebs/charts,86,82,15,318,2017-10-19,2023-03-15
event-sourcing-microservices-example,kbastani,Learn about building microservices with event sourcing using Spring Boot and how to deploy a social network to Kubernetes using Docker Compose or Helm.,https://github.com/kbastani/event-sourcing-microservices-example,159,322,14,155,2017-10-26,2022-11-26
build-blockchain-insurance-app,IBM,Sample insurance application using Hyperledger Fabric,https://github.com/IBM/build-blockchain-insurance-app,495,721,85,143,2017-10-28,2022-12-09
open-service-broker-azure,Azure,The Open Service Broker API Server for Azure Services,https://github.com/Azure/open-service-broker-azure,106,252,42,510,2017-10-16,2022-07-04
generic-admission-server,openshift,A library for writing admission webhooks based on k8s.io/apiserver,https://github.com/openshift/generic-admission-server,47,154,18,90,2017-10-17,2023-02-01
api,openshift,Canonical location of the OpenShift API definition.,https://github.com/openshift/api,358,74,29,2845,2017-10-26,2023-03-20
yugabyte-db,yugabyte,YugabyteDB - the cloud native distributed SQL database for mission-critical applications.,https://github.com/yugabyte/yugabyte-db,899,7619,263,16912,2017-10-05,2023-03-21
policy-admission,UKHomeOffice,Kubernetes admission controller,https://github.com/UKHomeOffice/policy-admission,5,17,15,211,2017-10-08,2022-11-22
java-cheat-sheet,in28minutes,Java Tutorial For Beginners - Companion Reference,https://github.com/in28minutes/java-cheat-sheet,285,549,38,50,2017-10-25,2022-09-14
bookmarks,CodeverDotDev,":bookmark: :star: Collection of public dev bookmarks, shared with :heart: from www.codever.dev ",https://github.com/CodeverDotDev/bookmarks,58,371,13,141,2017-10-14,2022-07-22
redis-operator,spotahome,Redis Operator creates/configures/manages high availability redis with sentinel automatic failover atop Kubernetes.,https://github.com/spotahome/redis-operator,302,1146,43,950,2017-11-06,2023-03-20
mysql-operator,bitpoke,Asynchronous MySQL Replication on Kubernetes using Percona Server and Openark's Orchestrator.,https://github.com/bitpoke/mysql-operator,253,870,22,921,2017-11-06,2023-03-10
rainbond,goodrain,Cloud native multi cloud application management platform that make application management and delivery easier,https://github.com/goodrain/rainbond,690,3907,160,5878,2017-11-05,2023-03-21
kubernetes-replicator,mittwald,Kubernetes controller for synchronizing secrets & config maps across namespaces,https://github.com/mittwald/kubernetes-replicator,76,641,13,191,2017-11-10,2023-03-20
sentry-kubernetes,getsentry,Kubernetes event reporter for Sentry,https://github.com/getsentry/sentry-kubernetes,60,408,14,51,2017-11-06,2023-02-07
weblogic-monitoring-exporter,oracle,WebLogic Monitoring Exporter exposes metrics and monitoring data through REST APIs for consumption by other tools (e.g. Prometheus),https://github.com/oracle/weblogic-monitoring-exporter,78,95,36,476,2017-11-09,2023-03-20
openfaas-cloud,openfaas,The Multi-user OpenFaaS Platform,https://github.com/openfaas/openfaas-cloud,234,767,27,905,2017-11-04,2023-03-10
container-experience-kits,intel,,https://github.com/intel/container-experience-kits,42,66,14,133,2017-11-23,2023-02-18
my-infosec-awesome,pe3zx,"My curated list of awesome links, resources and tools on infosec related topics",https://github.com/pe3zx/my-infosec-awesome,136,920,44,2131,2017-11-09,2023-03-11
cert-exporter,giantswarm,The cert-exporter walks a directory path it has gotten as input and emits all NotAfter timestamps as metrics for TLS certificates and Vault tokens. It also emits NotAfter timestamps as metrics for TLS certificates stored in Kubernetes secrets.,https://github.com/giantswarm/cert-exporter,2,11,12,227,2017-11-24,2023-03-20
