07:45:49 Pod redisoperator-56c8dfdfb-4h9cc 807:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-4h9cc to acto-cluster-4-worker2
07:45:52 Pod rfs-test-cluster-54df69f8df-9dtww 872:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-9dtww to acto-cluster-4-worker2
07:45:53 Pod rfs-test-cluster-54df69f8df-9dtww 876:	Container image "redis:6.2.6-alpine" already present on machine
07:45:53 Pod rfs-test-cluster-54df69f8df-9dtww 876:	Created container sentinel-config-copy
07:46:07 Pod rfs-test-cluster-54df69f8df-9dtww 876:	Started container sentinel-config-copy
07:46:10 Pod rfs-test-cluster-54df69f8df-9dtww 876:	Container image "redis:6.2.6-alpine" already present on machine
07:46:10 Pod rfs-test-cluster-54df69f8df-9dtww 876:	Created container sentinel
07:46:10 Pod rfs-test-cluster-54df69f8df-9dtww 876:	Started container sentinel
07:45:52 Pod rfs-test-cluster-54df69f8df-dmzb9 867:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-dmzb9 to acto-cluster-4-worker3
07:45:53 Pod rfs-test-cluster-54df69f8df-dmzb9 870:	Container image "redis:6.2.6-alpine" already present on machine
07:45:53 Pod rfs-test-cluster-54df69f8df-dmzb9 870:	Created container sentinel-config-copy
07:46:07 Pod rfs-test-cluster-54df69f8df-dmzb9 870:	Started container sentinel-config-copy
07:46:10 Pod rfs-test-cluster-54df69f8df-dmzb9 870:	Container image "redis:6.2.6-alpine" already present on machine
07:46:10 Pod rfs-test-cluster-54df69f8df-dmzb9 870:	Created container sentinel
07:46:10 Pod rfs-test-cluster-54df69f8df-dmzb9 870:	Started container sentinel
07:45:52 Pod rfs-test-cluster-54df69f8df-xrqc5 873:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-xrqc5 to acto-cluster-4-worker
07:45:53 Pod rfs-test-cluster-54df69f8df-xrqc5 881:	Container image "redis:6.2.6-alpine" already present on machine
07:45:53 Pod rfs-test-cluster-54df69f8df-xrqc5 881:	Created container sentinel-config-copy
07:46:08 Pod rfs-test-cluster-54df69f8df-xrqc5 881:	Started container sentinel-config-copy
07:46:10 Pod rfs-test-cluster-54df69f8df-xrqc5 881:	Container image "redis:6.2.6-alpine" already present on machine
07:46:10 Pod rfs-test-cluster-54df69f8df-xrqc5 881:	Created container sentinel
07:46:10 Pod rfs-test-cluster-54df69f8df-xrqc5 881:	Started container sentinel
07:45:52 ReplicaSet rfs-test-cluster-54df69f8df 864:	Created pod: rfs-test-cluster-54df69f8df-dmzb9
07:45:52 ReplicaSet rfs-test-cluster-54df69f8df 864:	Created pod: rfs-test-cluster-54df69f8df-9dtww
07:45:52 ReplicaSet rfs-test-cluster-54df69f8df 864:	Created pod: rfs-test-cluster-54df69f8df-xrqc5
07:45:52 PodDisruptionBudget rfs-test-cluster 859:	No matching pods found
07:45:52 Deployment rfs-test-cluster 863:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
