Operator,Bug ID,Bug Link,Bug Title,Root Cause Location,Interaction,Pattern,Operation Semantics
ZL/PostgresOp,ZL/PostgresOp-1882,https://github.com/zalando/postgres-operator/issues/1882,"Helm2 support dropped, but not removed from Chart.yaml?",HelmChart,,,
ZL/PostgresOp,ZL/PostgresOp-1886,https://github.com/zalando/postgres-operator/issues/1886,Spilo env var generation refactoring breaks proxy support,Internal,,,
ZL/PostgresOp,ZL/PostgresOp-1890,https://github.com/zalando/postgres-operator/issues/1890,Lag (ClusterMember.members.lag) value over int32 max value,Internal,,,
ZL/PostgresOp,ZL/PostgresOp-1927,https://github.com/zalando/postgres-operator/issues/1927,Load balancing service annotations are applying to services that do not have load balancing enabled,Misuse,,,
ZL/PostgresOp,ZL/PostgresOp-1946,https://github.com/zalando/postgres-operator/issues/1946,Helm chart storage_resize_mode mixed does not work,HelmChart,,,
ZL/PostgresOp,ZL/PostgresOp-1992,https://github.com/zalando/postgres-operator/issues/1992,No switchover candidate found,Interaction,Application,Version incompatibility,
ZL/PostgresOp,ZL/PostgresOp-2025,https://github.com/zalando/postgres-operator/issues/2025,Cluster Env Variable Updates Require Operator Restart,Interaction,User,,
ZL/PostgresOp,ZL/PostgresOp-2031,https://github.com/zalando/postgres-operator/issues/2031,the Operator rolling update statefulsets unnecessary whien Kube API down.,Interaction,Platform,,
ZL/PostgresOp,ZL/PostgresOp-2057,https://github.com/zalando/postgres-operator/issues/2057,Allow setting null resource requests / limits,Interaction,User,,
ZL/PostgresOp,ZL/PostgresOp-2114,https://github.com/zalando/postgres-operator/issues/2114,Can't override image repositories of sidecars within operators helm values.yaml,HelmChart,,,
ZL/PostgresOp,ZL/PostgresOp-2180,https://github.com/zalando/postgres-operator/issues/2180,Identical external-dns hostnames for load balancer type services for the master and the master pooler,Interaction,Platform,,
ZL/PostgresOp,ZL/PostgresOp-2276,https://github.com/zalando/postgres-operator/issues/2276,failover fails with synchronous_mode and 2 instances,Interaction,Application,Semantic violations,Precondition
ZL/PostgresOp,ZL/PostgresOp-2594,https://github.com/zalando/postgres-operator/issues/2594,Configuration pdb_master_label_selector is not available in OperatorConfiguration CRD,HelmChart,,,
ZL/PostgresOp,ZL/PostgresOp-2630,https://github.com/zalando/postgres-operator/issues/2630,No ARM64 support on Helm chart,HelmChart,,,
ZL/PostgresOp,ZL/PostgresOp-269,https://github.com/zalando/postgres-operator/issues/269,"Setting numberOfInstances to ""2"" instead of 2 will scale cluster to 0 replicas",Misuse,,,
ZL/PostgresOp,ZL/PostgresOp-388,https://github.com/zalando/postgres-operator/issues/388,Enable schema validation for postgresql CRD,Internal,,,
ZL/PostgresOp,ZL/PostgresOp-407,https://github.com/zalando/postgres-operator/issues/407,Wrong PAM role added to pg_hba,Internal,,,
ZL/PostgresOp,ZL/PostgresOp-429,https://github.com/zalando/postgres-operator/issues/429,Ensure operator moves pods from a decommisioned nodes,Interaction,Application,Semantic violations,Precondition
ZL/PostgresOp,ZL/PostgresOp-45,https://github.com/zalando/postgres-operator/issues/45,Service updates do not change the metadata,Interaction,User,,
ZL/PostgresOp,ZL/PostgresOp-471,https://github.com/zalando/postgres-operator/issues/471,Correctly set k8s labels in the operator,Misuse,,,
ZL/PostgresOp,ZL/PostgresOp-539,https://github.com/zalando/postgres-operator/issues/539,Fix RBAC defined by the Helm chart,HelmChart,,,
ZL/PostgresOp,ZL/PostgresOp-551,https://github.com/zalando/postgres-operator/issues/551,quick create-delete leaves orphaned  objects,Interaction,Platform,,
ZL/PostgresOp,ZL/PostgresOp-591,https://github.com/zalando/postgres-operator/issues/591,configLogicalBackup is missing in helm's configmap,HelmChart,,,
ZL/PostgresOp,ZL/PostgresOp-593,https://github.com/zalando/postgres-operator/issues/593,Logical backup incompatible with the main Postgres pod anti-affinity rules,Internal,,,
ZL/PostgresOp,ZL/PostgresOp-600,https://github.com/zalando/postgres-operator/issues/600,Improve failover during rolling updates,Interaction,Application,Semantic violations,Precondition
ZL/PostgresOp,ZL/PostgresOp-610,https://github.com/zalando/postgres-operator/issues/610,Ugly format of helm template output,HelmChart,,,
ZL/PostgresOp,ZL/PostgresOp-639,https://github.com/zalando/postgres-operator/issues/639,No way to define postgres listen address from operator/No IPv6 support,HelmChart,,,
ZL/PostgresOp,ZL/PostgresOp-641,https://github.com/zalando/postgres-operator/issues/641,Failed to run logical backup cronjob,Internal,,,
ZL/PostgresOp,ZL/PostgresOp-713,https://github.com/zalando/postgres-operator/issues/713,Service creation fails at first sync after enabling/disabling Load Balancer type,Interaction,Platform,,
ZL/PostgresOp,ZL/PostgresOp-838,https://github.com/zalando/postgres-operator/issues/838,Invalid type of value,Internal,,,
ZL/PostgresOp,ZL/PostgresOp-855,https://github.com/zalando/postgres-operator/issues/855,master service gets no selectors on OpenShift,Internal,,,
ZL/PostgresOp,ZL/PostgresOp-864,https://github.com/zalando/postgres-operator/issues/864,Helm chart tar.gz files contain tar.gz files of previous releases,HelmChart,,,
ZL/PostgresOp,ZL/PostgresOp-905,https://github.com/zalando/postgres-operator/issues/905,Cpu limit value cannot be set,Misuse,,,
ZL/PostgresOp,ZL/PostgresOp-909,https://github.com/zalando/postgres-operator/issues/909,postgres operator chart version-1.4.0 package out-of-date with master,HelmChart,,,
ZL/PostgresOp,ZL/PostgresOp-944,https://github.com/zalando/postgres-operator/issues/944,Why the secret_name_template is different between helm and helm crd?,HelmChart,,,
ZL/PostgresOp,ZL/PostgresOp-966,https://github.com/zalando/postgres-operator/issues/966,Helm deploy broken in v1.5.0,HelmChart,,,
ZooKeeperOp,ZooKeeper-102,https://github.com/pravega/zookeeper-operator/issues/102,Zookeeper Cluster can't start when istio is used,Interaction,Co-operator,,
ZooKeeperOp,ZooKeeperOp-104,https://github.com/pravega/zookeeper-operator/issues/104,Scale Down may not wait long enough before destroying PODs,Interaction,Application,Semantic violations,Ordering
ZooKeeperOp,ZooKeeperOp-139,https://github.com/pravega/zookeeper-operator/issues/139,Zookeeper operator is not updating cluster status correctly,Interaction,Platform,,
ZooKeeperOp,ZooKeeperOp-177,https://github.com/pravega/zookeeper-operator/issues/177,Unable to configure storage resources of zookeeper PVCs,Interaction,User,,
ZooKeeperOp,ZooKeeperOp-183,https://github.com/pravega/zookeeper-operator/issues/183,"Zookeeper service ports should be prefixed with ""tcp""",Interaction,Co-operator,,
ZooKeeperOp,ZooKeeperOp-222,https://github.com/pravega/zookeeper-operator/issues/222,zoo.cfg updated parameters are not picked up during rolling restarts,Interaction,Application,Semantic violations,Configuration
ZooKeeperOp,ZooKeeperOp-257,https://github.com/pravega/zookeeper-operator/issues/257,ZookeeperCluster spec.labels are not propagated to StatefuleSet/Pods created by the operator,Interaction,User,,
ZooKeeperOp,ZooKeeperOp-269,https://github.com/pravega/zookeeper-operator/issues/269,Helm chart is not setting ephemeral configurations correctly,HelmChart,,,
ZooKeeperOp,ZooKeeperOp-274,https://github.com/pravega/zookeeper-operator/issues/274,Support configure annotations for zookeeper pod again,Interaction,User,,
ZooKeeperOp,ZooKeeperOp-275,https://github.com/pravega/zookeeper-operator/issues/275,"make LivenessProbe,ReadinessProbe initialdelayseconds,timeout configurable thru CRD",Interaction,Application,State observability,
ZooKeeperOp,ZooKeeperOp-314,https://github.com/pravega/zookeeper-operator/issues/314,[BUG] Reading stale ZookeeperCluster spec/status can lead to undesired pod and PVC deletion,Interaction,Platform,,
ZooKeeperOp,ZooKeeperOp-315,https://github.com/pravega/zookeeper-operator/issues/315,Second ZK pod doesn't starts due to 'java.lang.RuntimeException: My id 2 not in the peer list' exception,Interaction,Application,Semantic violations,Ordering
ZooKeeperOp,ZooKeeperOp-388,https://github.com/pravega/zookeeper-operator/issues/388,ImagePullSecrets section of the ServiceAccount isn't updated when there is an existing one,Interaction,User,,
ZooKeeperOp,ZooKeeperOp-455,https://github.com/pravega/zookeeper-operator/issues/455,BUG: First zookeeper pod crashbackoff endlessly during bootstrap.,Interaction,Application,Semantic violations,Ordering
ZooKeeperOp,ZooKeeperOp-474,https://github.com/pravega/zookeeper-operator/issues/474,[BUG] Annotation field in zookeeper headless service does not update,Interaction,User,,
ZooKeeperOp,ZooKeeperOp-475,https://github.com/pravega/zookeeper-operator/issues/475,zookeeper ruok command check occasionally fails,Internal,,,
ZooKeeperOp,ZooKeeperOp-482,https://github.com/pravega/zookeeper-operator/issues/482,Number of client connections not reevaluated dynamically in the teardown script,Interaction,Application,Semantic violations,Precondition
ZooKeeperOp,ZooKeeperOp-511,https://github.com/pravega/zookeeper-operator/issues/511,Pod Labels not applied to StatefulSet,Interaction,User,,
ZooKeeperOp,ZooKeeperOp-66,https://github.com/pravega/zookeeper-operator/issues/66,Wrong Cluster Membership in Dynamic Config File,Interaction,Platform,,
ZooKeeperOp,ZooKeeperOp-77,https://github.com/pravega/zookeeper-operator/issues/77,Zookeeper pre-stop hook failes when cluster hasn't started,Interaction,Application,Mishandling application errors,
ZooKeeperOp,ZooKeeperOp-92,https://github.com/pravega/zookeeper-operator/issues/92,Zookeeper pods fail to come back up when > quorum number of pods are deleted.,Interaction,Application,Semantic violations,Ordering
ZooKeeperOp,ZooKeeperOp-94,https://github.com/pravega/zookeeper-operator/issues/94,Zookeeper instances fail to start on second scale up,Interaction,Application,Semantic violations,Configuration
