Operator,Bug ID,Bug Link,Bug Title,Root Cause Location,Interaction,Pattern,Operation Semantics
CockroachOp,CockroachOp-504,https://github.com/cockroachdb/cockroach-operator/issues/504,Issue scaling down cluster from 6 to 3 nodes - OpenShift w/ Operator,Internal,,,
CockroachOp,CockroachOp-640,https://github.com/cockroachdb/cockroach-operator/issues/640,Creating in instance of a cluster with TLS disabled fails to start,Interaction,Application,Semantic violations,Environment
CockroachOp,CockroachOp-725,https://github.com/cockroachdb/cockroach-operator/issues/725,Webhook namespace is hard-coded,Internal,,,
CockroachOp,CockroachOp-779,https://github.com/cockroachdb/cockroach-operator/issues/779,Operator v21.1 pod crashing on startup on OpenShift,Interaction,Platform,,
CockroachOp,CockroachOp-780,https://github.com/cockroachdb/cockroach-operator/issues/780,RBAC permissions issue in OpenShift,Interaction,Platform,,
CockroachOp,CockroachOp-784,https://github.com/cockroachdb/cockroach-operator/issues/784,Problems Installing & Using on OpenShift and Kubernetes,Interaction,Platform,,
CockroachOp,CockroachOp-863,https://github.com/cockroachdb/cockroach-operator/issues/863,Manager options missing LeaderElectionID,Interaction,Platform,,
CockroachOp,CockroachOp-890,https://github.com/cockroachdb/cockroach-operator/issues/890,resize PVC is broken,Interaction,Platform,,
CockroachOp,CockroachOp-906,https://github.com/cockroachdb/cockroach-operator/issues/906,Operator specifies incorrect service DNS when running in a separate namespace,Interaction,Platform,,
CockroachOp,CockroachOp-91,https://github.com/cockroachdb/cockroach-operator/issues/91,Operator isn't listening for changes in the dataStore custom resource (e.g. storage: 50Gi->60Gi),Interaction,User,,
KafkaOp,KafkaOp-1026,https://github.com/strimzi/strimzi-kafka-operator/issues/1026,The CO misses a EO rolling update on certificates renewal,Internal,,,
KafkaOp,KafkaOp-1027,https://github.com/strimzi/strimzi-kafka-operator/issues/1027,NPE raised by deprecated TO rolling update on certificates renewal,Internal,,,
KafkaOp,KafkaOp-1094,https://github.com/strimzi/strimzi-kafka-operator/issues/1094,Add rolling update on clients CA certificate renewal,Internal,,,
KafkaOp,KafkaOp-1442,https://github.com/strimzi/strimzi-kafka-operator/issues/1442,An error during deploying Kafka cluster in another namespace than CO,Interaction,Platform,,
KafkaOp,KafkaOp-1777,https://github.com/strimzi/strimzi-kafka-operator/issues/1777,[Bug] Cannot update Kafka resource to remove TO,Internal,,,
KafkaOp,KafkaOp-1804,https://github.com/strimzi/strimzi-kafka-operator/issues/1804,Incorrect default directory for Kafka Connect binary build,Internal,,,
KafkaOp,KafkaOp-1830,https://github.com/strimzi/strimzi-kafka-operator/issues/1830,Readiness probe on Kafka Bridge fails,Interaction,Application,Version incompatibility,
KafkaOp,KafkaOp-1958,https://github.com/strimzi/strimzi-kafka-operator/issues/1958,[Bug] Kafka keeps rolling after some changes,Interaction,Platform,,
KafkaOp,KafkaOp-2278,https://github.com/strimzi/strimzi-kafka-operator/issues/2278,[Bug] Install through helm chart fails,HelmChart,,,
KafkaOp,KafkaOp-2354,https://github.com/strimzi/strimzi-kafka-operator/issues/2354,[Bug] Kafka Connector status doesn't change values correctly,Interaction,Application,State observability,
KafkaOp,KafkaOp-2494,https://github.com/strimzi/strimzi-kafka-operator/issues/2494,[Bug] Fail pod when change numbers of podes,Interaction,Application,Semantic violations,Ordering
KafkaOp,KafkaOp-2618,https://github.com/strimzi/strimzi-kafka-operator/issues/2618,"[Bug] javaSystemProperties only supported in Kafka (but not in KafkaConnect, etc..)",Interaction,User,,
KafkaOp,KafkaOp-2656,https://github.com/strimzi/strimzi-kafka-operator/issues/2656,[Bug] Cluster DNS not correctly set in Kafka advertised addresses,Misuse,,,
KafkaOp,KafkaOp-2877,https://github.com/strimzi/strimzi-kafka-operator/issues/2877,[Bug] False diff when reconciling PVC size,Interaction,Platform,,
KafkaOp,KafkaOp-292,https://github.com/strimzi/strimzi-kafka-operator/issues/292,When required configuration is missing the Cluster Controller keeps hanging,Misuse,,,
KafkaOp,KafkaOp-2964,https://github.com/strimzi/strimzi-kafka-operator/issues/2964,KafkaRoller blocks rolling update when topic with RF=1 and MIN-ISR=2 exists,Misuse,,,
KafkaOp,KafkaOp-2981,https://github.com/strimzi/strimzi-kafka-operator/issues/2981,[Bug] KafkaConnector resources restarting every 2 minutes,Interaction,Application,State observability,
KafkaOp,KafkaOp-3316,https://github.com/strimzi/strimzi-kafka-operator/issues/3316,[Bug] Cruise Control errors when less than two Kafka brokers,Misuse,,,
KafkaOp,KafkaOp-339,https://github.com/strimzi/strimzi-kafka-operator/issues/339,Session expired on Zookeeper node restart : not able to create topics,Internal,,,
KafkaOp,KafkaOp-3570,https://github.com/strimzi/strimzi-kafka-operator/issues/3570,Report tool staleness,Internal,,,
KafkaOp,KafkaOp-3710,https://github.com/strimzi/strimzi-kafka-operator/issues/3710,[Bug] Rolling update never finishes when the pods are not ready,Interaction,Platform,,
KafkaOp,KafkaOp-4041,https://github.com/strimzi/strimzi-kafka-operator/issues/4041,[Bug] Broker rolling upgrade loop when default value is set,Interaction,Platform,,
KafkaOp,KafkaOp-4331,https://github.com/strimzi/strimzi-kafka-operator/issues/4331,MirrorMaker2: Keystore password incorrect,Interaction,User,,
KafkaOp,KafkaOp-4561,https://github.com/strimzi/strimzi-kafka-operator/issues/4561,Kafka Exporter crash looping due to forced TLSv1.3 on Kafka brokers,Interaction,Application,Version incompatibility,
KafkaOp,KafkaOp-4679,https://github.com/strimzi/strimzi-kafka-operator/issues/4679,Using Class in Ingress Causes Error,Interaction,Platform,,
KafkaOp,KafkaOp-4769,https://github.com/strimzi/strimzi-kafka-operator/issues/4769,Unable to renew Custom Cluster CA Certificates,Internal,,,
KafkaOp,KafkaOp-5025,https://github.com/strimzi/strimzi-kafka-operator/issues/5025,Setting securityContext supplementalGroups causes Stackoverflow error,Misuse,,,
KafkaOp,KafkaOp-5529,https://github.com/strimzi/strimzi-kafka-operator/issues/5529,[Kafka Exporter] Changing log level does not seem to work,Internal,,,
KafkaOp,KafkaOp-5789,https://github.com/strimzi/strimzi-kafka-operator/issues/5789,PodTemplate tmpDirSizeLimit doesn't affect EntityOperator emptyDir volumes,Interaction,User,,
KafkaOp,KafkaOp-5927,https://github.com/strimzi/strimzi-kafka-operator/issues/5927,Unhandled exception during AbstractOperator.handleResult,Internal,,,
KafkaOp,KafkaOp-6046,https://github.com/strimzi/strimzi-kafka-operator/issues/6046,Topic Operator failing to start with io.vertx.core.VertxException: Thread blocked,Interaction,Application,State observability,
KafkaOp,KafkaOp-6058,https://github.com/strimzi/strimzi-kafka-operator/issues/6058,"The `strimzi_resources{kind=""Kafka""}` metric is not removed when the Kafka related namespace is deleted",Internal,,,
KafkaOp,KafkaOp-6145,https://github.com/strimzi/strimzi-kafka-operator/issues/6145,extraEnvs doesn't work for cluster operator helm charts,HelmChart,,,
KafkaOp,KafkaOp-6438,https://github.com/strimzi/strimzi-kafka-operator/issues/6438,Connector gets restarted on every reconciliation when tasks.max is set,Misuse,,,
KafkaOp,KafkaOp-6886,https://github.com/strimzi/strimzi-kafka-operator/issues/6886,Misleading imagePullSecrets value usage in operator helm chart,HelmChart,,,
KafkaOp,KafkaOp-7007,https://github.com/strimzi/strimzi-kafka-operator/issues/7007,NPE when incorrect topologySpreadConstraints are applied on a fresh cluster,Misuse,,,
KafkaOp,KafkaOp-7217,https://github.com/strimzi/strimzi-kafka-operator/issues/7217,Kafka cluster cannot be deployed with IPv6 advertised names,Misuse,,,
KafkaOp,KafkaOp-7290,https://github.com/strimzi/strimzi-kafka-operator/issues/7290,Strimzi not able to rotate kafka/zookeeper pods when they are put in failed state,Interaction,Platform,,
KafkaOp,KafkaOp-7535,https://github.com/strimzi/strimzi-kafka-operator/issues/7535,JMX port not exposed on KafkaCluster container,Interaction,User,,
KafkaOp,KafkaOp-7683,https://github.com/strimzi/strimzi-kafka-operator/issues/7683,Resources should validate correctness of new configuration,Misuse,,,
KafkaOp,KafkaOp-7685,https://github.com/strimzi/strimzi-kafka-operator/issues/7685,All Zookeeper pods are deleted when are rolled with invalid configuration,Misuse,,,
KafkaOp,KafkaOp-7798,https://github.com/strimzi/strimzi-kafka-operator/issues/7798,KafkaRoller tcp probe uses incorrect host,Interaction,Platform,,
