08:01:18 Pod redisoperator-56c8dfdfb-blkvc 792:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-blkvc to acto-cluster-6-worker
08:13:31 Pod rfr-test-cluster-0 2266:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.828696ms
08:13:31 Pod rfr-test-cluster-0 2266:	Created container redis-exporter
08:13:34 Pod rfr-test-cluster-0 2266:	Started container redis-exporter
08:14:01 Pod rfr-test-cluster-0 2266:	Readiness probe failed: 
08:16:54 Pod rfr-test-cluster-0 2266:	Stopping container redis
08:16:54 Pod rfr-test-cluster-0 2266:	Stopping container redis-exporter
08:16:56 Pod rfr-test-cluster-0 2656:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker
08:16:56 Pod rfr-test-cluster-0 2658:	Container image "redis:6.2.6-alpine" already present on machine
08:16:56 Pod rfr-test-cluster-0 2658:	Created container redis
08:16:56 Pod rfr-test-cluster-0 2658:	Started container redis
08:16:56 Pod rfr-test-cluster-0 2658:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:16:57 Pod rfr-test-cluster-0 2658:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 131.710898ms
08:16:57 Pod rfr-test-cluster-0 2658:	Created container redis-exporter
08:16:59 Pod rfr-test-cluster-0 2658:	Started container redis-exporter
08:17:26 Pod rfr-test-cluster-0 2658:	Readiness probe failed: 
08:01:20 Pod rfr-test-cluster-1 828:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker2
08:01:21 Pod rfr-test-cluster-1 833:	Container image "redis:6.2.6-alpine" already present on machine
08:01:21 Pod rfr-test-cluster-1 833:	Created container redis
08:01:21 Pod rfr-test-cluster-1 833:	Started container redis
08:01:21 Pod rfr-test-cluster-1 833:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:01:21 Pod rfr-test-cluster-1 833:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 271.671533ms
08:01:21 Pod rfr-test-cluster-1 833:	Created container redis-exporter
08:01:23 Pod rfr-test-cluster-1 833:	Started container redis-exporter
08:02:00 Pod rfr-test-cluster-1 833:	Readiness probe failed: 
08:12:37 Pod rfr-test-cluster-1 833:	Stopping container redis
08:12:37 Pod rfr-test-cluster-1 833:	Stopping container redis-exporter
08:12:38 Pod rfr-test-cluster-1 2112:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker2
08:12:39 Pod rfr-test-cluster-1 2113:	Container image "redis:6.2.6-alpine" already present on machine
08:12:39 Pod rfr-test-cluster-1 2113:	Created container redis
08:12:39 Pod rfr-test-cluster-1 2113:	Started container redis
08:12:39 Pod rfr-test-cluster-1 2113:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:12:39 Pod rfr-test-cluster-1 2113:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 324.839086ms
08:12:39 Pod rfr-test-cluster-1 2113:	Created container redis-exporter
08:12:42 Pod rfr-test-cluster-1 2113:	Started container redis-exporter
08:17:30 Pod rfr-test-cluster-1 2113:	Stopping container redis-exporter
08:17:30 Pod rfr-test-cluster-1 2113:	Stopping container redis
08:17:31 Pod rfr-test-cluster-1 2777:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker2
08:17:31 Pod rfr-test-cluster-1 2779:	Container image "redis:6.2.6-alpine" already present on machine
08:17:31 Pod rfr-test-cluster-1 2779:	Created container redis
08:17:32 Pod rfr-test-cluster-1 2779:	Started container redis
08:17:32 Pod rfr-test-cluster-1 2779:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:17:32 Pod rfr-test-cluster-1 2779:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 128.525484ms
08:17:32 Pod rfr-test-cluster-1 2779:	Created container redis-exporter
08:17:34 Pod rfr-test-cluster-1 2779:	Started container redis-exporter
08:18:11 Pod rfr-test-cluster-1 2779:	Readiness probe failed: 
08:01:20 Pod rfr-test-cluster-2 835:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-6-worker3
08:01:21 Pod rfr-test-cluster-2 838:	Container image "redis:6.2.6-alpine" already present on machine
08:01:21 Pod rfr-test-cluster-2 838:	Created container redis
08:01:21 Pod rfr-test-cluster-2 838:	Started container redis
08:01:21 Pod rfr-test-cluster-2 838:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:01:21 Pod rfr-test-cluster-2 838:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 240.259599ms
08:01:21 Pod rfr-test-cluster-2 838:	Created container redis-exporter
08:01:24 Pod rfr-test-cluster-2 838:	Started container redis-exporter
08:02:00 Pod rfr-test-cluster-2 838:	Readiness probe failed: 
08:13:00 Pod rfr-test-cluster-2 838:	Stopping container redis
08:13:00 Pod rfr-test-cluster-2 838:	Stopping container redis-exporter
08:13:02 Pod rfr-test-cluster-2 2180:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-6-worker3
08:13:02 Pod rfr-test-cluster-2 2181:	Container image "redis:6.2.6-alpine" already present on machine
08:13:02 Pod rfr-test-cluster-2 2181:	Created container redis
08:13:02 Pod rfr-test-cluster-2 2181:	Started container redis
08:13:02 Pod rfr-test-cluster-2 2181:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:13:02 Pod rfr-test-cluster-2 2181:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 107.151428ms
08:13:02 Pod rfr-test-cluster-2 2181:	Created container redis-exporter
08:13:05 Pod rfr-test-cluster-2 2181:	Started container redis-exporter
08:16:59 Pod rfr-test-cluster-2 2181:	Stopping container redis
08:16:59 Pod rfr-test-cluster-2 2181:	Stopping container redis-exporter
08:17:00 Pod rfr-test-cluster-2 2696:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-6-worker3
08:17:01 Pod rfr-test-cluster-2 2697:	Container image "redis:6.2.6-alpine" already present on machine
08:17:01 Pod rfr-test-cluster-2 2697:	Created container redis
08:17:01 Pod rfr-test-cluster-2 2697:	Started container redis
08:17:01 Pod rfr-test-cluster-2 2697:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:17:01 Pod rfr-test-cluster-2 2697:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 118.618663ms
08:17:01 Pod rfr-test-cluster-2 2697:	Created container redis-exporter
08:17:04 Pod rfr-test-cluster-2 2697:	Started container redis-exporter
08:01:20 PodDisruptionBudget rfr-test-cluster 819:	No matching pods found
08:01:20 StatefulSet rfr-test-cluster 823:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:01:20 StatefulSet rfr-test-cluster 823:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:01:20 StatefulSet rfr-test-cluster 823:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:01:20 Pod rfs-test-cluster-54df69f8df-c9999 853:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-c9999 to acto-cluster-6-worker2
08:01:21 Pod rfs-test-cluster-54df69f8df-c9999 860:	Container image "redis:6.2.6-alpine" already present on machine
08:01:21 Pod rfs-test-cluster-54df69f8df-c9999 860:	Created container sentinel-config-copy
08:01:36 Pod rfs-test-cluster-54df69f8df-c9999 860:	Started container sentinel-config-copy
08:01:39 Pod rfs-test-cluster-54df69f8df-c9999 860:	Container image "redis:6.2.6-alpine" already present on machine
08:01:39 Pod rfs-test-cluster-54df69f8df-c9999 860:	Created container sentinel
08:01:39 Pod rfs-test-cluster-54df69f8df-c9999 860:	Started container sentinel
08:01:20 Pod rfs-test-cluster-54df69f8df-jwrgz 857:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-jwrgz to acto-cluster-6-worker3
08:01:21 Pod rfs-test-cluster-54df69f8df-jwrgz 864:	Container image "redis:6.2.6-alpine" already present on machine
08:01:21 Pod rfs-test-cluster-54df69f8df-jwrgz 864:	Created container sentinel-config-copy
08:01:35 Pod rfs-test-cluster-54df69f8df-jwrgz 864:	Started container sentinel-config-copy
08:01:38 Pod rfs-test-cluster-54df69f8df-jwrgz 864:	Container image "redis:6.2.6-alpine" already present on machine
08:01:38 Pod rfs-test-cluster-54df69f8df-jwrgz 864:	Created container sentinel
08:01:38 Pod rfs-test-cluster-54df69f8df-jwrgz 864:	Started container sentinel
08:01:20 Pod rfs-test-cluster-54df69f8df-tptzq 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-tptzq to acto-cluster-6-worker
08:01:21 Pod rfs-test-cluster-54df69f8df-tptzq 865:	Container image "redis:6.2.6-alpine" already present on machine
08:01:21 Pod rfs-test-cluster-54df69f8df-tptzq 865:	Created container sentinel-config-copy
08:01:35 Pod rfs-test-cluster-54df69f8df-tptzq 865:	Started container sentinel-config-copy
08:01:36 Pod rfs-test-cluster-54df69f8df-tptzq 865:	Container image "redis:6.2.6-alpine" already present on machine
08:01:36 Pod rfs-test-cluster-54df69f8df-tptzq 865:	Created container sentinel
08:01:36 Pod rfs-test-cluster-54df69f8df-tptzq 865:	Started container sentinel
08:01:20 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-c9999
08:01:20 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-jwrgz
08:01:20 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-tptzq
08:01:20 PodDisruptionBudget rfs-test-cluster 846:	No matching pods found
08:01:20 Deployment rfs-test-cluster 849:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
