06:43:35 ReplicaSet rfs-test-cluster-54df69f8df 1658:	Deleted pod: rfs-test-cluster-54df69f8df-lcb98
06:44:26 ReplicaSet rfs-test-cluster-54df69f8df 1790:	Deleted pod: rfs-test-cluster-54df69f8df-hz98k
06:45:16 ReplicaSet rfs-test-cluster-54df69f8df 1921:	Deleted pod: rfs-test-cluster-54df69f8df-nwx9h
06:53:26 Pod rfs-test-cluster-64c7df4bf7-c545v 3049:	Successfully assigned acto-namespace/rfs-test-cluster-64c7df4bf7-c545v to acto-cluster-1-worker2
06:53:27 Pod rfs-test-cluster-64c7df4bf7-c545v 3052:	Container image "redis:6.2.6-alpine" already present on machine
06:53:27 Pod rfs-test-cluster-64c7df4bf7-c545v 3052:	Created container sentinel-config-copy
06:53:40 Pod rfs-test-cluster-64c7df4bf7-c545v 3052:	Started container sentinel-config-copy
06:53:42 Pod rfs-test-cluster-64c7df4bf7-c545v 3052:	Container image "redis:6.2.6-alpine" already present on machine
06:53:42 Pod rfs-test-cluster-64c7df4bf7-c545v 3052:	Created container sentinel
06:53:42 Pod rfs-test-cluster-64c7df4bf7-c545v 3052:	Started container sentinel
06:53:42 Pod rfs-test-cluster-64c7df4bf7-c545v 3052:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:53:42 Pod rfs-test-cluster-64c7df4bf7-c545v 3052:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 285.697083ms
06:53:42 Pod rfs-test-cluster-64c7df4bf7-c545v 3052:	Created container sentinel-exporter
06:53:45 Pod rfs-test-cluster-64c7df4bf7-c545v 3052:	Started container sentinel-exporter
06:46:18 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2044:	Successfully assigned acto-namespace/rfs-test-cluster-64c7df4bf7-dnxlh to acto-cluster-1-worker3
06:46:19 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2046:	Container image "redis:6.2.6-alpine" already present on machine
06:46:19 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2046:	Created container sentinel-config-copy
06:46:36 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2046:	Started container sentinel-config-copy
06:46:37 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2046:	Container image "redis:6.2.6-alpine" already present on machine
06:46:37 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2046:	Created container sentinel
06:46:38 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2046:	Started container sentinel
06:46:38 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2046:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:46:38 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2046:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 131.873099ms
06:46:38 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2046:	Created container sentinel-exporter
06:46:40 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2046:	Started container sentinel-exporter
06:52:24 Pod rfs-test-cluster-64c7df4bf7-dnxlh 2046:	Stopping container sentinel
