06:49:49 Pod redisoperator-56c8dfdfb-mj44d 779:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-mj44d to acto-cluster-4-worker
07:00:31 Pod rfr-test-cluster-0 2280:	Started container redis
07:00:31 Pod rfr-test-cluster-0 2280:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:00:31 Pod rfr-test-cluster-0 2280:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.184672ms
07:00:31 Pod rfr-test-cluster-0 2280:	Created container redis-exporter
07:00:34 Pod rfr-test-cluster-0 2280:	Started container redis-exporter
07:01:05 Pod rfr-test-cluster-0 2280:	Readiness probe failed: 
07:03:49 Pod rfr-test-cluster-0 2280:	Stopping container redis
07:03:49 Pod rfr-test-cluster-0 2280:	Stopping container redis-exporter
07:03:50 Pod rfr-test-cluster-0 2662:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker2
07:03:51 Pod rfr-test-cluster-0 2663:	Container image "redis:6.2.6-alpine" already present on machine
07:03:51 Pod rfr-test-cluster-0 2663:	Created container redis
07:03:51 Pod rfr-test-cluster-0 2663:	Started container redis
07:03:51 Pod rfr-test-cluster-0 2663:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:03:51 Pod rfr-test-cluster-0 2663:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 109.42641ms
07:03:51 Pod rfr-test-cluster-0 2663:	Created container redis-exporter
07:03:54 Pod rfr-test-cluster-0 2663:	Started container redis-exporter
06:49:52 Pod rfr-test-cluster-1 818:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-4-worker
06:49:52 Pod rfr-test-cluster-1 821:	Container image "redis:6.2.6-alpine" already present on machine
06:49:52 Pod rfr-test-cluster-1 821:	Created container redis
06:49:53 Pod rfr-test-cluster-1 821:	Started container redis
06:49:53 Pod rfr-test-cluster-1 821:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:49:53 Pod rfr-test-cluster-1 821:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 256.615501ms
06:49:53 Pod rfr-test-cluster-1 821:	Created container redis-exporter
06:49:56 Pod rfr-test-cluster-1 821:	Started container redis-exporter
06:50:32 Pod rfr-test-cluster-1 821:	Readiness probe failed: 
06:59:37 Pod rfr-test-cluster-1 821:	Stopping container redis
06:59:37 Pod rfr-test-cluster-1 821:	Stopping container redis-exporter
06:59:37 Pod rfr-test-cluster-1 821:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
06:59:38 Pod rfr-test-cluster-1 2131:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-4-worker
06:59:39 Pod rfr-test-cluster-1 2132:	Container image "redis:6.2.6-alpine" already present on machine
06:59:39 Pod rfr-test-cluster-1 2132:	Created container redis
06:59:39 Pod rfr-test-cluster-1 2132:	Started container redis
06:59:39 Pod rfr-test-cluster-1 2132:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:59:39 Pod rfr-test-cluster-1 2132:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 122.292919ms
06:59:39 Pod rfr-test-cluster-1 2132:	Created container redis-exporter
06:59:42 Pod rfr-test-cluster-1 2132:	Started container redis-exporter
07:04:25 Pod rfr-test-cluster-1 2132:	Stopping container redis
07:04:25 Pod rfr-test-cluster-1 2132:	Stopping container redis-exporter
07:04:26 Pod rfr-test-cluster-1 2781:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-4-worker
07:04:26 Pod rfr-test-cluster-1 2782:	Container image "redis:6.2.6-alpine" already present on machine
07:04:26 Pod rfr-test-cluster-1 2782:	Created container redis
07:04:26 Pod rfr-test-cluster-1 2782:	Started container redis
07:04:26 Pod rfr-test-cluster-1 2782:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:04:26 Pod rfr-test-cluster-1 2782:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 108.491892ms
07:04:26 Pod rfr-test-cluster-1 2782:	Created container redis-exporter
07:04:28 Pod rfr-test-cluster-1 2782:	Started container redis-exporter
07:04:56 Pod rfr-test-cluster-1 2782:	Readiness probe failed: 
06:49:52 Pod rfr-test-cluster-2 822:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker3
06:49:52 Pod rfr-test-cluster-2 828:	Container image "redis:6.2.6-alpine" already present on machine
06:49:52 Pod rfr-test-cluster-2 828:	Created container redis
06:49:53 Pod rfr-test-cluster-2 828:	Started container redis
06:49:53 Pod rfr-test-cluster-2 828:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:49:53 Pod rfr-test-cluster-2 828:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 245.756453ms
06:49:53 Pod rfr-test-cluster-2 828:	Created container redis-exporter
06:49:55 Pod rfr-test-cluster-2 828:	Started container redis-exporter
06:50:32 Pod rfr-test-cluster-2 828:	Readiness probe failed: 
06:59:54 Pod rfr-test-cluster-2 828:	Stopping container redis
06:59:54 Pod rfr-test-cluster-2 828:	Stopping container redis-exporter
06:59:55 Pod rfr-test-cluster-2 2191:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker3
06:59:56 Pod rfr-test-cluster-2 2192:	Container image "redis:6.2.6-alpine" already present on machine
06:59:56 Pod rfr-test-cluster-2 2192:	Created container redis
06:59:56 Pod rfr-test-cluster-2 2192:	Started container redis
06:59:56 Pod rfr-test-cluster-2 2192:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:59:56 Pod rfr-test-cluster-2 2192:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 109.349632ms
06:59:58 Pod rfr-test-cluster-2 2192:	Created container redis-exporter
07:00:00 Pod rfr-test-cluster-2 2192:	Started container redis-exporter
07:03:54 Pod rfr-test-cluster-2 2192:	Stopping container redis
07:03:54 Pod rfr-test-cluster-2 2192:	Stopping container redis-exporter
07:03:56 Pod rfr-test-cluster-2 2701:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker3
07:03:56 Pod rfr-test-cluster-2 2702:	Container image "redis:6.2.6-alpine" already present on machine
07:03:56 Pod rfr-test-cluster-2 2702:	Created container redis
07:03:56 Pod rfr-test-cluster-2 2702:	Started container redis
07:03:56 Pod rfr-test-cluster-2 2702:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:03:57 Pod rfr-test-cluster-2 2702:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 123.34642ms
07:03:57 Pod rfr-test-cluster-2 2702:	Created container redis-exporter
07:04:00 Pod rfr-test-cluster-2 2702:	Started container redis-exporter
06:49:52 PodDisruptionBudget rfr-test-cluster 807:	No matching pods found
06:49:52 StatefulSet rfr-test-cluster 810:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:49:52 StatefulSet rfr-test-cluster 810:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:49:52 StatefulSet rfr-test-cluster 810:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:49:52 Pod rfs-test-cluster-54df69f8df-4ggnr 846:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-4ggnr to acto-cluster-4-worker2
06:49:53 Pod rfs-test-cluster-54df69f8df-4ggnr 852:	Container image "redis:6.2.6-alpine" already present on machine
06:49:53 Pod rfs-test-cluster-54df69f8df-4ggnr 852:	Created container sentinel-config-copy
06:50:10 Pod rfs-test-cluster-54df69f8df-4ggnr 852:	Started container sentinel-config-copy
06:50:13 Pod rfs-test-cluster-54df69f8df-4ggnr 852:	Container image "redis:6.2.6-alpine" already present on machine
06:50:13 Pod rfs-test-cluster-54df69f8df-4ggnr 852:	Created container sentinel
06:50:13 Pod rfs-test-cluster-54df69f8df-4ggnr 852:	Started container sentinel
06:55:38 Pod rfs-test-cluster-54df69f8df-4ggnr 852:	Stopping container sentinel
06:49:52 Pod rfs-test-cluster-54df69f8df-8rdjz 841:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-8rdjz to acto-cluster-4-worker
06:49:53 Pod rfs-test-cluster-54df69f8df-8rdjz 848:	Container image "redis:6.2.6-alpine" already present on machine
06:49:53 Pod rfs-test-cluster-54df69f8df-8rdjz 848:	Created container sentinel-config-copy
06:50:09 Pod rfs-test-cluster-54df69f8df-8rdjz 848:	Started container sentinel-config-copy
06:50:11 Pod rfs-test-cluster-54df69f8df-8rdjz 848:	Container image "redis:6.2.6-alpine" already present on machine
06:50:11 Pod rfs-test-cluster-54df69f8df-8rdjz 848:	Created container sentinel
06:50:11 Pod rfs-test-cluster-54df69f8df-8rdjz 848:	Started container sentinel
06:54:48 Pod rfs-test-cluster-54df69f8df-8rdjz 848:	Stopping container sentinel
06:49:52 Pod rfs-test-cluster-54df69f8df-tmpdh 847:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-tmpdh to acto-cluster-4-worker3
06:49:53 Pod rfs-test-cluster-54df69f8df-tmpdh 851:	Container image "redis:6.2.6-alpine" already present on machine
06:49:53 Pod rfs-test-cluster-54df69f8df-tmpdh 851:	Created container sentinel-config-copy
06:50:10 Pod rfs-test-cluster-54df69f8df-tmpdh 851:	Started container sentinel-config-copy
06:50:12 Pod rfs-test-cluster-54df69f8df-tmpdh 851:	Container image "redis:6.2.6-alpine" already present on machine
06:50:12 Pod rfs-test-cluster-54df69f8df-tmpdh 851:	Created container sentinel
06:50:12 Pod rfs-test-cluster-54df69f8df-tmpdh 851:	Started container sentinel
06:56:30 Pod rfs-test-cluster-54df69f8df-tmpdh 851:	Stopping container sentinel
06:49:52 ReplicaSet rfs-test-cluster-54df69f8df 839:	Created pod: rfs-test-cluster-54df69f8df-8rdjz
06:49:52 ReplicaSet rfs-test-cluster-54df69f8df 839:	Created pod: rfs-test-cluster-54df69f8df-tmpdh
06:49:52 ReplicaSet rfs-test-cluster-54df69f8df 839:	Created pod: rfs-test-cluster-54df69f8df-4ggnr
06:54:48 ReplicaSet rfs-test-cluster-54df69f8df 1527:	Deleted pod: rfs-test-cluster-54df69f8df-8rdjz
06:55:38 ReplicaSet rfs-test-cluster-54df69f8df 1655:	Deleted pod: rfs-test-cluster-54df69f8df-4ggnr
06:56:30 ReplicaSet rfs-test-cluster-54df69f8df 1791:	Deleted pod: rfs-test-cluster-54df69f8df-tmpdh
06:54:48 Pod rfs-test-cluster-845dcb649c-5jh47 1539:	Successfully assigned acto-namespace/rfs-test-cluster-845dcb649c-5jh47 to acto-cluster-4-worker2
06:54:48 Pod rfs-test-cluster-845dcb649c-5jh47 1541:	Pulling image "redis:6.2.6-alpine"
06:54:49 Pod rfs-test-cluster-845dcb649c-5jh47 1541:	Successfully pulled image "redis:6.2.6-alpine" in 420.550079ms
06:54:49 Pod rfs-test-cluster-845dcb649c-5jh47 1541:	Created container sentinel-config-copy
06:55:04 Pod rfs-test-cluster-845dcb649c-5jh47 1541:	Started container sentinel-config-copy
06:55:06 Pod rfs-test-cluster-845dcb649c-5jh47 1541:	Pulling image "redis:6.2.6-alpine"
06:55:06 Pod rfs-test-cluster-845dcb649c-5jh47 1541:	Successfully pulled image "redis:6.2.6-alpine" in 174.858502ms
06:55:06 Pod rfs-test-cluster-845dcb649c-5jh47 1541:	Created container sentinel
06:55:07 Pod rfs-test-cluster-845dcb649c-5jh47 1541:	Started container sentinel
06:53:57 Pod rfs-test-cluster-845dcb649c-7smc6 1416:	Successfully assigned acto-namespace/rfs-test-cluster-845dcb649c-7smc6 to acto-cluster-4-worker
06:53:58 Pod rfs-test-cluster-845dcb649c-7smc6 1417:	Pulling image "redis:6.2.6-alpine"
06:53:58 Pod rfs-test-cluster-845dcb649c-7smc6 1417:	Successfully pulled image "redis:6.2.6-alpine" in 421.643624ms
06:53:58 Pod rfs-test-cluster-845dcb649c-7smc6 1417:	Created container sentinel-config-copy
06:54:11 Pod rfs-test-cluster-845dcb649c-7smc6 1417:	Started container sentinel-config-copy
06:54:13 Pod rfs-test-cluster-845dcb649c-7smc6 1417:	Pulling image "redis:6.2.6-alpine"
06:54:13 Pod rfs-test-cluster-845dcb649c-7smc6 1417:	Successfully pulled image "redis:6.2.6-alpine" in 179.787279ms
06:54:13 Pod rfs-test-cluster-845dcb649c-7smc6 1417:	Created container sentinel
06:54:14 Pod rfs-test-cluster-845dcb649c-7smc6 1417:	Started container sentinel
06:55:38 Pod rfs-test-cluster-845dcb649c-vnnrm 1667:	Successfully assigned acto-namespace/rfs-test-cluster-845dcb649c-vnnrm to acto-cluster-4-worker3
06:55:38 Pod rfs-test-cluster-845dcb649c-vnnrm 1672:	Pulling image "redis:6.2.6-alpine"
06:55:39 Pod rfs-test-cluster-845dcb649c-vnnrm 1672:	Successfully pulled image "redis:6.2.6-alpine" in 445.018132ms
06:55:39 Pod rfs-test-cluster-845dcb649c-vnnrm 1672:	Created container sentinel-config-copy
06:55:52 Pod rfs-test-cluster-845dcb649c-vnnrm 1672:	Started container sentinel-config-copy
06:55:54 Pod rfs-test-cluster-845dcb649c-vnnrm 1672:	Pulling image "redis:6.2.6-alpine"
06:55:55 Pod rfs-test-cluster-845dcb649c-vnnrm 1672:	Successfully pulled image "redis:6.2.6-alpine" in 214.731244ms
06:55:55 Pod rfs-test-cluster-845dcb649c-vnnrm 1672:	Created container sentinel
06:55:55 Pod rfs-test-cluster-845dcb649c-vnnrm 1672:	Started container sentinel
06:53:57 ReplicaSet rfs-test-cluster-845dcb649c 1413:	Created pod: rfs-test-cluster-845dcb649c-7smc6
06:54:48 ReplicaSet rfs-test-cluster-845dcb649c 1537:	Created pod: rfs-test-cluster-845dcb649c-5jh47
06:55:38 ReplicaSet rfs-test-cluster-845dcb649c 1665:	Created pod: rfs-test-cluster-845dcb649c-vnnrm
06:49:52 PodDisruptionBudget rfs-test-cluster 834:	No matching pods found
06:49:52 Deployment rfs-test-cluster 837:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
06:53:57 Deployment rfs-test-cluster 1412:	Scaled up replica set rfs-test-cluster-845dcb649c to 1
06:54:48 Deployment rfs-test-cluster 1479:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
06:54:48 Deployment rfs-test-cluster 1530:	Scaled up replica set rfs-test-cluster-845dcb649c to 2
06:55:38 Deployment rfs-test-cluster 1627:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
06:55:38 Deployment rfs-test-cluster 1627:	Scaled up replica set rfs-test-cluster-845dcb649c to 3
06:56:30 Deployment rfs-test-cluster 1774:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
