07:31:48 Pod rfs-test-cluster-54df69f8df-pswsk 3035:	Created container sentinel
07:31:48 Pod rfs-test-cluster-54df69f8df-pswsk 3035:	Started container sentinel
07:32:50 Pod rfs-test-cluster-54df69f8df-pswsk 3035:	Stopping container sentinel
07:14:05 Pod rfs-test-cluster-54df69f8df-z9ht8 848:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-z9ht8 to acto-cluster-11-worker
07:14:07 Pod rfs-test-cluster-54df69f8df-z9ht8 854:	Container image "redis:6.2.6-alpine" already present on machine
07:14:07 Pod rfs-test-cluster-54df69f8df-z9ht8 854:	Created container sentinel-config-copy
07:14:23 Pod rfs-test-cluster-54df69f8df-z9ht8 854:	Started container sentinel-config-copy
07:14:26 Pod rfs-test-cluster-54df69f8df-z9ht8 854:	Container image "redis:6.2.6-alpine" already present on machine
07:14:26 Pod rfs-test-cluster-54df69f8df-z9ht8 854:	Created container sentinel
07:14:27 Pod rfs-test-cluster-54df69f8df-z9ht8 854:	Started container sentinel
07:29:11 Pod rfs-test-cluster-54df69f8df-z9ht8 854:	Stopping container sentinel
07:14:05 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-9rpkn
07:14:05 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-z9ht8
07:14:05 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-dmtlw
07:29:11 ReplicaSet rfs-test-cluster-54df69f8df 2712:	Deleted pod: rfs-test-cluster-54df69f8df-9rpkn
07:29:11 ReplicaSet rfs-test-cluster-54df69f8df 2712:	Deleted pod: rfs-test-cluster-54df69f8df-z9ht8
07:30:14 ReplicaSet rfs-test-cluster-54df69f8df 2852:	Created pod: rfs-test-cluster-54df69f8df-d2hwc
07:30:14 ReplicaSet rfs-test-cluster-54df69f8df 2852:	Created pod: rfs-test-cluster-54df69f8df-mnldr
07:31:32 ReplicaSet rfs-test-cluster-54df69f8df 3026:	Created pod: rfs-test-cluster-54df69f8df-f7t9c
07:31:32 ReplicaSet rfs-test-cluster-54df69f8df 3026:	Created pod: rfs-test-cluster-54df69f8df-pswsk
07:32:50 ReplicaSet rfs-test-cluster-54df69f8df 3201:	Deleted pod: rfs-test-cluster-54df69f8df-f7t9c
07:32:50 ReplicaSet rfs-test-cluster-54df69f8df 3201:	Deleted pod: rfs-test-cluster-54df69f8df-pswsk
07:14:05 PodDisruptionBudget rfs-test-cluster 837:	No matching pods found
07:14:05 Deployment rfs-test-cluster 840:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
07:29:11 Deployment rfs-test-cluster 2710:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
07:29:11 Endpoints rfs-test-cluster 1064:	Failed to update endpoint acto-namespace/rfs-test-cluster: Operation cannot be fulfilled on endpoints "rfs-test-cluster": the object has been modified; please apply your changes to the latest version and try again
07:31:32 Deployment rfs-test-cluster 3024:	Scaled up replica set rfs-test-cluster-54df69f8df to 5
07:32:50 Deployment rfs-test-cluster 3199:	Scaled down replica set rfs-test-cluster-54df69f8df to 3
