07:40:15 Pod redisoperator-56c8dfdfb-rmcp7 793:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-rmcp7 to acto-cluster-13-worker3
07:40:22 Pod rfr-test-cluster-1 835:	Started container redis-exporter
07:40:58 Pod rfr-test-cluster-1 835:	Readiness probe failed: 
07:43:20 Pod rfr-test-cluster-1 835:	Stopping container redis
07:43:20 Pod rfr-test-cluster-1 835:	Stopping container redis-exporter
07:43:24 Pod rfr-test-cluster-1 1344:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker2
07:43:25 Pod rfr-test-cluster-1 1346:	Container image "redis:6.2.6-alpine" already present on machine
07:43:25 Pod rfr-test-cluster-1 1346:	Created container redis
07:43:25 Pod rfr-test-cluster-1 1346:	Started container redis
07:43:25 Pod rfr-test-cluster-1 1346:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:43:25 Pod rfr-test-cluster-1 1346:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 128.421754ms
07:43:25 Pod rfr-test-cluster-1 1346:	Created container redis-exporter
07:43:28 Pod rfr-test-cluster-1 1346:	Started container redis-exporter
07:47:50 Pod rfr-test-cluster-1 1346:	Stopping container redis
07:47:50 Pod rfr-test-cluster-1 1346:	Stopping container redis-exporter
07:47:53 Pod rfr-test-cluster-1 1966:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker2
07:47:53 Pod rfr-test-cluster-1 1969:	Container image "redis:6.2.6-alpine" already present on machine
07:47:53 Pod rfr-test-cluster-1 1969:	Created container redis
07:47:53 Pod rfr-test-cluster-1 1969:	Started container redis
07:47:53 Pod rfr-test-cluster-1 1969:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:47:54 Pod rfr-test-cluster-1 1969:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.969886ms
07:47:54 Pod rfr-test-cluster-1 1969:	Created container redis-exporter
07:47:56 Pod rfr-test-cluster-1 1969:	Started container redis-exporter
07:48:23 Pod rfr-test-cluster-1 1969:	Readiness probe failed: 
07:40:18 Pod rfr-test-cluster-2 834:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker3
07:40:18 Pod rfr-test-cluster-2 839:	Container image "redis:6.2.6-alpine" already present on machine
07:40:18 Pod rfr-test-cluster-2 839:	Created container redis
07:40:19 Pod rfr-test-cluster-2 839:	Started container redis
07:40:19 Pod rfr-test-cluster-2 839:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:40:19 Pod rfr-test-cluster-2 839:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 313.39143ms
07:40:19 Pod rfr-test-cluster-2 839:	Created container redis-exporter
07:40:22 Pod rfr-test-cluster-2 839:	Started container redis-exporter
07:40:58 Pod rfr-test-cluster-2 839:	Readiness probe failed: 
07:43:22 Pod rfr-test-cluster-2 839:	Stopping container redis
07:43:22 Pod rfr-test-cluster-2 839:	Stopping container redis-exporter
07:43:24 Pod rfr-test-cluster-2 1360:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker3
07:43:25 Pod rfr-test-cluster-2 1361:	Container image "redis:6.2.6-alpine" already present on machine
07:43:25 Pod rfr-test-cluster-2 1361:	Created container redis
07:43:25 Pod rfr-test-cluster-2 1361:	Started container redis
07:43:25 Pod rfr-test-cluster-2 1361:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:43:25 Pod rfr-test-cluster-2 1361:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 116.785108ms
07:43:25 Pod rfr-test-cluster-2 1361:	Created container redis-exporter
07:43:28 Pod rfr-test-cluster-2 1361:	Started container redis-exporter
07:47:20 Pod rfr-test-cluster-2 1361:	Stopping container redis
07:47:20 Pod rfr-test-cluster-2 1361:	Stopping container redis-exporter
07:47:22 Pod rfr-test-cluster-2 1880:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker3
07:47:23 Pod rfr-test-cluster-2 1881:	Container image "redis:6.2.6-alpine" already present on machine
07:47:23 Pod rfr-test-cluster-2 1881:	Created container redis
07:47:23 Pod rfr-test-cluster-2 1881:	Started container redis
07:47:23 Pod rfr-test-cluster-2 1881:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:47:23 Pod rfr-test-cluster-2 1881:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 124.496604ms
07:47:23 Pod rfr-test-cluster-2 1881:	Created container redis-exporter
07:47:26 Pod rfr-test-cluster-2 1881:	Started container redis-exporter
07:40:17 PodDisruptionBudget rfr-test-cluster 819:	No matching pods found
07:40:18 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:40:18 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:40:18 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:40:18 Pod rfs-test-cluster-54df69f8df-9qnjh 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-9qnjh to acto-cluster-13-worker
07:40:19 Pod rfs-test-cluster-54df69f8df-9qnjh 863:	Container image "redis:6.2.6-alpine" already present on machine
07:40:19 Pod rfs-test-cluster-54df69f8df-9qnjh 863:	Created container sentinel-config-copy
07:40:36 Pod rfs-test-cluster-54df69f8df-9qnjh 863:	Started container sentinel-config-copy
07:40:38 Pod rfs-test-cluster-54df69f8df-9qnjh 863:	Container image "redis:6.2.6-alpine" already present on machine
07:40:38 Pod rfs-test-cluster-54df69f8df-9qnjh 863:	Created container sentinel
07:40:38 Pod rfs-test-cluster-54df69f8df-9qnjh 863:	Started container sentinel
07:40:18 Pod rfs-test-cluster-54df69f8df-fk85v 857:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-fk85v to acto-cluster-13-worker3
07:40:19 Pod rfs-test-cluster-54df69f8df-fk85v 862:	Container image "redis:6.2.6-alpine" already present on machine
07:40:19 Pod rfs-test-cluster-54df69f8df-fk85v 862:	Created container sentinel-config-copy
07:40:36 Pod rfs-test-cluster-54df69f8df-fk85v 862:	Started container sentinel-config-copy
07:40:38 Pod rfs-test-cluster-54df69f8df-fk85v 862:	Container image "redis:6.2.6-alpine" already present on machine
07:40:38 Pod rfs-test-cluster-54df69f8df-fk85v 862:	Created container sentinel
07:40:38 Pod rfs-test-cluster-54df69f8df-fk85v 862:	Started container sentinel
07:40:18 Pod rfs-test-cluster-54df69f8df-xp6t9 852:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-xp6t9 to acto-cluster-13-worker2
07:40:19 Pod rfs-test-cluster-54df69f8df-xp6t9 856:	Container image "redis:6.2.6-alpine" already present on machine
07:40:19 Pod rfs-test-cluster-54df69f8df-xp6t9 856:	Created container sentinel-config-copy
07:40:36 Pod rfs-test-cluster-54df69f8df-xp6t9 856:	Started container sentinel-config-copy
07:40:38 Pod rfs-test-cluster-54df69f8df-xp6t9 856:	Container image "redis:6.2.6-alpine" already present on machine
07:40:38 Pod rfs-test-cluster-54df69f8df-xp6t9 856:	Created container sentinel
07:40:38 Pod rfs-test-cluster-54df69f8df-xp6t9 856:	Started container sentinel
07:40:18 ReplicaSet rfs-test-cluster-54df69f8df 849:	Created pod: rfs-test-cluster-54df69f8df-xp6t9
07:40:18 ReplicaSet rfs-test-cluster-54df69f8df 849:	Created pod: rfs-test-cluster-54df69f8df-fk85v
07:40:18 ReplicaSet rfs-test-cluster-54df69f8df 849:	Created pod: rfs-test-cluster-54df69f8df-9qnjh
07:40:18 PodDisruptionBudget rfs-test-cluster 845:	No matching pods found
07:40:18 Deployment rfs-test-cluster 848:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
