05:48:21 Pod rfs-test-cluster-6769cd86cf-hnmtp 1621:	Created container sentinel
05:48:21 Pod rfs-test-cluster-6769cd86cf-hnmtp 1621:	Started container sentinel
05:48:21 Pod rfs-test-cluster-6769cd86cf-hnmtp 1621:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:48:21 Pod rfs-test-cluster-6769cd86cf-hnmtp 1621:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.698674ms
05:48:21 Pod rfs-test-cluster-6769cd86cf-hnmtp 1621:	Created container sentinel-exporter
05:48:24 Pod rfs-test-cluster-6769cd86cf-hnmtp 1621:	Started container sentinel-exporter
05:46:24 Pod rfs-test-cluster-6769cd86cf-wr8wn 1366:	Successfully assigned acto-namespace/rfs-test-cluster-6769cd86cf-wr8wn to acto-cluster-14-worker
05:46:25 Pod rfs-test-cluster-6769cd86cf-wr8wn 1368:	Container image "redis:6.2.6-alpine" already present on machine
05:46:25 Pod rfs-test-cluster-6769cd86cf-wr8wn 1368:	Created container sentinel-config-copy
05:46:39 Pod rfs-test-cluster-6769cd86cf-wr8wn 1368:	Started container sentinel-config-copy
05:46:41 Pod rfs-test-cluster-6769cd86cf-wr8wn 1368:	Container image "redis:6.2.6-alpine" already present on machine
05:46:41 Pod rfs-test-cluster-6769cd86cf-wr8wn 1368:	Created container sentinel
05:46:41 Pod rfs-test-cluster-6769cd86cf-wr8wn 1368:	Started container sentinel
05:46:41 Pod rfs-test-cluster-6769cd86cf-wr8wn 1368:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:46:41 Pod rfs-test-cluster-6769cd86cf-wr8wn 1368:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.310517ms
05:46:41 Pod rfs-test-cluster-6769cd86cf-wr8wn 1368:	Created container sentinel-exporter
05:46:44 Pod rfs-test-cluster-6769cd86cf-wr8wn 1368:	Started container sentinel-exporter
05:47:15 Pod rfs-test-cluster-6769cd86cf-zxldh 1487:	Successfully assigned acto-namespace/rfs-test-cluster-6769cd86cf-zxldh to acto-cluster-14-worker2
05:47:15 Pod rfs-test-cluster-6769cd86cf-zxldh 1489:	Container image "redis:6.2.6-alpine" already present on machine
05:47:15 Pod rfs-test-cluster-6769cd86cf-zxldh 1489:	Created container sentinel-config-copy
05:47:30 Pod rfs-test-cluster-6769cd86cf-zxldh 1489:	Started container sentinel-config-copy
05:47:32 Pod rfs-test-cluster-6769cd86cf-zxldh 1489:	Container image "redis:6.2.6-alpine" already present on machine
05:47:32 Pod rfs-test-cluster-6769cd86cf-zxldh 1489:	Created container sentinel
05:47:32 Pod rfs-test-cluster-6769cd86cf-zxldh 1489:	Started container sentinel
05:47:32 Pod rfs-test-cluster-6769cd86cf-zxldh 1489:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:47:32 Pod rfs-test-cluster-6769cd86cf-zxldh 1489:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.002292ms
05:47:32 Pod rfs-test-cluster-6769cd86cf-zxldh 1489:	Created container sentinel-exporter
05:47:35 Pod rfs-test-cluster-6769cd86cf-zxldh 1489:	Started container sentinel-exporter
05:46:24 ReplicaSet rfs-test-cluster-6769cd86cf 1363:	Created pod: rfs-test-cluster-6769cd86cf-wr8wn
05:47:15 ReplicaSet rfs-test-cluster-6769cd86cf 1484:	Created pod: rfs-test-cluster-6769cd86cf-zxldh
05:48:05 ReplicaSet rfs-test-cluster-6769cd86cf 1615:	Created pod: rfs-test-cluster-6769cd86cf-hnmtp
05:42:58 PodDisruptionBudget rfs-test-cluster 875:	No matching pods found
05:42:58 Deployment rfs-test-cluster 879:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
05:46:24 Deployment rfs-test-cluster 1362:	Scaled up replica set rfs-test-cluster-6769cd86cf to 1
05:47:15 Deployment rfs-test-cluster 1436:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
05:47:15 Deployment rfs-test-cluster 1436:	Scaled up replica set rfs-test-cluster-6769cd86cf to 2
05:48:05 Deployment rfs-test-cluster 1583:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
05:48:05 Deployment rfs-test-cluster 1608:	Scaled up replica set rfs-test-cluster-6769cd86cf to 3
05:48:55 Deployment rfs-test-cluster 1729:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
