06:14:58 Pod redisoperator-56c8dfdfb-mkmtb 780:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-mkmtb to acto-cluster-4-worker2
06:15:02 Pod rfr-test-cluster-1 822:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 259.33835ms
06:15:02 Pod rfr-test-cluster-1 822:	Created container redis-exporter
06:15:05 Pod rfr-test-cluster-1 822:	Started container redis-exporter
06:15:41 Pod rfr-test-cluster-1 822:	Readiness probe failed: 
06:21:08 Pod rfr-test-cluster-1 822:	Stopping container redis
06:21:08 Pod rfr-test-cluster-1 822:	Stopping container redis-exporter
06:21:10 Pod rfr-test-cluster-1 1624:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-4-worker3
06:21:12 Pod rfr-test-cluster-1 1626:	Pulling image "redis:6.2.6-alpine"
06:21:12 Pod rfr-test-cluster-1 1626:	Successfully pulled image "redis:6.2.6-alpine" in 434.687676ms
06:21:12 Pod rfr-test-cluster-1 1626:	Created container redis
06:21:12 Pod rfr-test-cluster-1 1626:	Started container redis
06:26:33 Pod rfr-test-cluster-1 1626:	Stopping container redis
06:26:34 Pod rfr-test-cluster-1 2313:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-4-worker3
06:26:34 Pod rfr-test-cluster-1 2314:	Container image "redis:6.2.6-alpine" already present on machine
06:26:34 Pod rfr-test-cluster-1 2314:	Created container redis
06:26:35 Pod rfr-test-cluster-1 2314:	Started container redis
06:26:35 Pod rfr-test-cluster-1 2314:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:26:35 Pod rfr-test-cluster-1 2314:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 169.215295ms
06:26:35 Pod rfr-test-cluster-1 2314:	Created container redis-exporter
06:26:37 Pod rfr-test-cluster-1 2314:	Started container redis-exporter
06:27:14 Pod rfr-test-cluster-1 2314:	Readiness probe failed: 
06:15:01 Pod rfr-test-cluster-2 820:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker
06:15:02 Pod rfr-test-cluster-2 825:	Container image "redis:6.2.6-alpine" already present on machine
06:15:02 Pod rfr-test-cluster-2 825:	Created container redis
06:15:02 Pod rfr-test-cluster-2 825:	Started container redis
06:15:02 Pod rfr-test-cluster-2 825:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:15:02 Pod rfr-test-cluster-2 825:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 265.116433ms
06:15:02 Pod rfr-test-cluster-2 825:	Created container redis-exporter
06:15:05 Pod rfr-test-cluster-2 825:	Started container redis-exporter
06:15:41 Pod rfr-test-cluster-2 825:	Readiness probe failed: 
06:21:33 Pod rfr-test-cluster-2 825:	Stopping container redis
06:21:33 Pod rfr-test-cluster-2 825:	Stopping container redis-exporter
06:21:34 Pod rfr-test-cluster-2 1686:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker
06:21:35 Pod rfr-test-cluster-2 1688:	Pulling image "redis:6.2.6-alpine"
06:21:35 Pod rfr-test-cluster-2 1688:	Successfully pulled image "redis:6.2.6-alpine" in 459.096785ms
06:21:36 Pod rfr-test-cluster-2 1688:	Created container redis
06:21:36 Pod rfr-test-cluster-2 1688:	Started container redis
06:26:03 Pod rfr-test-cluster-2 1688:	Stopping container redis
06:26:03 Pod rfr-test-cluster-2 2225:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker
06:26:04 Pod rfr-test-cluster-2 2226:	Container image "redis:6.2.6-alpine" already present on machine
06:26:04 Pod rfr-test-cluster-2 2226:	Created container redis
06:26:04 Pod rfr-test-cluster-2 2226:	Started container redis
06:26:04 Pod rfr-test-cluster-2 2226:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:26:04 Pod rfr-test-cluster-2 2226:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 122.487244ms
06:26:04 Pod rfr-test-cluster-2 2226:	Created container redis-exporter
06:26:07 Pod rfr-test-cluster-2 2226:	Started container redis-exporter
06:15:01 PodDisruptionBudget rfr-test-cluster 806:	No matching pods found
06:15:01 StatefulSet rfr-test-cluster 809:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:15:01 StatefulSet rfr-test-cluster 809:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:15:01 StatefulSet rfr-test-cluster 809:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:15:01 Pod rfs-test-cluster-54df69f8df-gcbmh 852:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-gcbmh to acto-cluster-4-worker2
06:15:02 Pod rfs-test-cluster-54df69f8df-gcbmh 862:	Container image "redis:6.2.6-alpine" already present on machine
06:15:02 Pod rfs-test-cluster-54df69f8df-gcbmh 862:	Created container sentinel-config-copy
06:15:14 Pod rfs-test-cluster-54df69f8df-gcbmh 862:	Started container sentinel-config-copy
06:15:16 Pod rfs-test-cluster-54df69f8df-gcbmh 862:	Container image "redis:6.2.6-alpine" already present on machine
06:15:16 Pod rfs-test-cluster-54df69f8df-gcbmh 862:	Created container sentinel
06:15:16 Pod rfs-test-cluster-54df69f8df-gcbmh 862:	Started container sentinel
06:15:01 Pod rfs-test-cluster-54df69f8df-m4b6n 848:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-m4b6n to acto-cluster-4-worker3
06:15:02 Pod rfs-test-cluster-54df69f8df-m4b6n 859:	Container image "redis:6.2.6-alpine" already present on machine
06:15:02 Pod rfs-test-cluster-54df69f8df-m4b6n 859:	Created container sentinel-config-copy
06:15:16 Pod rfs-test-cluster-54df69f8df-m4b6n 859:	Started container sentinel-config-copy
06:15:17 Pod rfs-test-cluster-54df69f8df-m4b6n 859:	Container image "redis:6.2.6-alpine" already present on machine
06:15:17 Pod rfs-test-cluster-54df69f8df-m4b6n 859:	Created container sentinel
06:15:18 Pod rfs-test-cluster-54df69f8df-m4b6n 859:	Started container sentinel
06:15:01 Pod rfs-test-cluster-54df69f8df-pxnz8 842:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-pxnz8 to acto-cluster-4-worker
06:15:02 Pod rfs-test-cluster-54df69f8df-pxnz8 851:	Container image "redis:6.2.6-alpine" already present on machine
06:15:02 Pod rfs-test-cluster-54df69f8df-pxnz8 851:	Created container sentinel-config-copy
06:15:15 Pod rfs-test-cluster-54df69f8df-pxnz8 851:	Started container sentinel-config-copy
06:15:17 Pod rfs-test-cluster-54df69f8df-pxnz8 851:	Container image "redis:6.2.6-alpine" already present on machine
06:15:17 Pod rfs-test-cluster-54df69f8df-pxnz8 851:	Created container sentinel
06:15:17 Pod rfs-test-cluster-54df69f8df-pxnz8 851:	Started container sentinel
06:15:01 ReplicaSet rfs-test-cluster-54df69f8df 840:	Created pod: rfs-test-cluster-54df69f8df-pxnz8
06:15:01 ReplicaSet rfs-test-cluster-54df69f8df 840:	Created pod: rfs-test-cluster-54df69f8df-m4b6n
06:15:01 ReplicaSet rfs-test-cluster-54df69f8df 840:	Created pod: rfs-test-cluster-54df69f8df-gcbmh
06:15:01 PodDisruptionBudget rfs-test-cluster 833:	No matching pods found
06:15:01 Deployment rfs-test-cluster 838:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
