05:31:03 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-fc67f 730:	Successfully assigned acto-namespace/acto-test-operator-zookeeper-operator-658b9fbcfb-fc67f to acto-cluster-12-worker2
05:32:09 Pod test-cluster-1 955:	Created container zookeeper
05:32:09 Pod test-cluster-1 955:	Started container zookeeper
05:32:11 Pod test-cluster-1 955:	Back-off restarting failed container
05:38:02 Pod test-cluster-1 955:	Stopping container zookeeper
05:38:34 Pod test-cluster-1 1711:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-12-worker3
05:38:35 Pod test-cluster-1 1712:	Pulling image "pravega/zookeeper:0.2.14"
05:38:35 Pod test-cluster-1 1712:	Successfully pulled image "pravega/zookeeper:0.2.14" in 406.160758ms
05:38:35 Pod test-cluster-1 1712:	Created container zookeeper
05:38:35 Pod test-cluster-1 1712:	Started container zookeeper
05:41:23 Pod test-cluster-1 1712:	Stopping container zookeeper
05:41:55 Pod test-cluster-1 2173:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-12-worker3
05:41:55 Pod test-cluster-1 2174:	Container image "pravega/zookeeper:0.2.14" already present on machine
05:41:55 Pod test-cluster-1 2174:	Created container zookeeper
05:41:55 Pod test-cluster-1 2174:	Started container zookeeper
05:44:25 Pod test-cluster-1 2174:	Stopping container zookeeper
05:44:56 Pod test-cluster-1 2604:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-12-worker3
05:44:57 Pod test-cluster-1 2606:	Container image "pravega/zookeeper:0.2.14" already present on machine
05:44:57 Pod test-cluster-1 2606:	Created container zookeeper
05:44:57 Pod test-cluster-1 2606:	Started container zookeeper
05:47:35 Pod test-cluster-1 2606:	Stopping container zookeeper
05:48:06 Pod test-cluster-1 3049:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-12-worker3
05:48:07 Pod test-cluster-1 3050:	Container image "pravega/zookeeper:0.2.14" already present on machine
05:48:07 Pod test-cluster-1 3050:	Created container zookeeper
05:48:07 Pod test-cluster-1 3050:	Started container zookeeper
05:32:56 Pod test-cluster-2 1059:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-12-worker2
05:32:56 Pod test-cluster-2 1089:	Container image "pravega/zookeeper:0.2.14" already present on machine
05:32:56 Pod test-cluster-2 1089:	Created container zookeeper
05:32:57 Pod test-cluster-2 1089:	Started container zookeeper
05:37:10 Pod test-cluster-2 1089:	Stopping container zookeeper
05:37:42 Pod test-cluster-2 1582:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-12-worker2
05:37:42 Pod test-cluster-2 1583:	Pulling image "pravega/zookeeper:0.2.14"
05:37:42 Pod test-cluster-2 1583:	Successfully pulled image "pravega/zookeeper:0.2.14" in 414.861324ms
05:37:43 Pod test-cluster-2 1583:	Created container zookeeper
05:37:43 Pod test-cluster-2 1583:	Started container zookeeper
05:40:31 Pod test-cluster-2 1583:	Stopping container zookeeper
05:41:03 Pod test-cluster-2 2046:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-12-worker2
05:41:03 Pod test-cluster-2 2047:	Container image "pravega/zookeeper:0.2.14" already present on machine
05:41:03 Pod test-cluster-2 2047:	Created container zookeeper
05:41:04 Pod test-cluster-2 2047:	Started container zookeeper
05:43:43 Pod test-cluster-2 2047:	Stopping container zookeeper
05:44:15 Pod test-cluster-2 2492:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-12-worker2
05:44:15 Pod test-cluster-2 2493:	Container image "pravega/zookeeper:0.2.14" already present on machine
05:44:15 Pod test-cluster-2 2493:	Created container zookeeper
05:44:15 Pod test-cluster-2 2493:	Started container zookeeper
05:46:53 Pod test-cluster-2 2493:	Stopping container zookeeper
05:47:25 Pod test-cluster-2 2938:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-12-worker2
05:47:25 Pod test-cluster-2 2941:	Container image "pravega/zookeeper:0.2.14" already present on machine
05:47:25 Pod test-cluster-2 2941:	Created container zookeeper
05:47:25 Pod test-cluster-2 2941:	Started container zookeeper
05:50:03 Pod test-cluster-2 2941:	Stopping container zookeeper
06:00:08 Pod test-cluster-2 4260:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-12-worker2
06:00:10 Pod test-cluster-2 4261:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:00:10 Pod test-cluster-2 4261:	Created container zookeeper
06:00:10 Pod test-cluster-2 4261:	Started container zookeeper
05:31:36 StatefulSet test-cluster 809:	create Claim data-test-cluster-0 Pod test-cluster-0 in StatefulSet test-cluster success
05:31:36 StatefulSet test-cluster 809:	create Pod test-cluster-0 in StatefulSet test-cluster successful
05:32:01 StatefulSet test-cluster 847:	create Claim data-test-cluster-1 Pod test-cluster-1 in StatefulSet test-cluster success
05:32:01 StatefulSet test-cluster 847:	create Pod test-cluster-1 in StatefulSet test-cluster successful
05:32:51 StatefulSet test-cluster 1025:	create Claim data-test-cluster-2 Pod test-cluster-2 in StatefulSet test-cluster success
05:32:51 StatefulSet test-cluster 1025:	create Pod test-cluster-2 in StatefulSet test-cluster successful
05:37:10 StatefulSet test-cluster 1509:	delete Pod test-cluster-2 in StatefulSet test-cluster successful
05:38:02 StatefulSet test-cluster 1588:	delete Pod test-cluster-1 in StatefulSet test-cluster successful
05:38:54 StatefulSet test-cluster 1741:	delete Pod test-cluster-0 in StatefulSet test-cluster successful
05:50:35 StatefulSet test-cluster 3471:	create Pod test-cluster-2 in StatefulSet test-cluster failed error: Pod "test-cluster-2" is invalid: spec.tolerations[0].operator: Invalid value: "": operator must be Exists when `key` is empty, which means "match all values and all keys"
05:31:33 Pod zkapp 794:	Successfully assigned acto-namespace/zkapp to acto-cluster-12-worker3
05:31:34 Pod zkapp 795:	Container image "tylergu1998/zkapp:v1" already present on machine
05:31:34 Pod zkapp 795:	Created container zkapp
05:31:34 Pod zkapp 795:	Started container zkapp
