06:19:43 Pod redisoperator-56c8dfdfb-d26g8 813:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-d26g8 to acto-cluster-3-worker
06:32:20 Pod rfr-test-cluster-2 2407:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 177.05983ms
06:32:20 Pod rfr-test-cluster-2 2407:	Created container redis-exporter
06:32:22 Pod rfr-test-cluster-2 2407:	Started container redis-exporter
06:36:18 Pod rfr-test-cluster-2 2407:	Stopping container redis
06:36:18 Pod rfr-test-cluster-2 2407:	Stopping container redis-exporter
06:36:19 Pod rfr-test-cluster-2 2407:	Readiness probe errored: rpc error: code = NotFound desc = failed to exec in container: failed to load task: no running task found: task 9a64c8a2b89d9e3b37623f972e82cee77460911b5a4f1c1db0eecb714a269621 not found: not found
06:36:19 Pod rfr-test-cluster-2 2407:	Liveness probe errored: rpc error: code = NotFound desc = failed to exec in container: failed to load task: no running task found: task 9a64c8a2b89d9e3b37623f972e82cee77460911b5a4f1c1db0eecb714a269621 not found: not found
06:36:20 Pod rfr-test-cluster-2 2913:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker2
06:36:21 Pod rfr-test-cluster-2 2914:	Container image "redis:6.2.6-alpine" already present on machine
06:36:21 Pod rfr-test-cluster-2 2914:	Created container redis
06:36:21 Pod rfr-test-cluster-2 2914:	Started container redis
06:40:17 Pod rfr-test-cluster-2 2914:	Stopping container redis
06:40:19 Pod rfr-test-cluster-2 3401:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker2
06:40:19 Pod rfr-test-cluster-2 3402:	Container image "redis:6.2.6-alpine" already present on machine
06:40:19 Pod rfr-test-cluster-2 3402:	Created container redis
06:40:19 Pod rfr-test-cluster-2 3402:	Started container redis
06:40:19 Pod rfr-test-cluster-2 3402:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:40:19 Pod rfr-test-cluster-2 3402:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 128.873841ms
06:40:19 Pod rfr-test-cluster-2 3402:	Created container redis-exporter
06:40:22 Pod rfr-test-cluster-2 3402:	Started container redis-exporter
06:19:45 PodDisruptionBudget rfr-test-cluster 841:	No matching pods found
06:19:45 StatefulSet rfr-test-cluster 845:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:19:45 StatefulSet rfr-test-cluster 845:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:19:45 StatefulSet rfr-test-cluster 845:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:19:45 Pod rfs-test-cluster-54df69f8df-99gm2 874:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-99gm2 to acto-cluster-3-worker3
06:19:46 Pod rfs-test-cluster-54df69f8df-99gm2 881:	Container image "redis:6.2.6-alpine" already present on machine
06:19:46 Pod rfs-test-cluster-54df69f8df-99gm2 881:	Created container sentinel-config-copy
06:20:00 Pod rfs-test-cluster-54df69f8df-99gm2 881:	Started container sentinel-config-copy
06:20:02 Pod rfs-test-cluster-54df69f8df-99gm2 881:	Container image "redis:6.2.6-alpine" already present on machine
06:20:02 Pod rfs-test-cluster-54df69f8df-99gm2 881:	Created container sentinel
06:20:02 Pod rfs-test-cluster-54df69f8df-99gm2 881:	Started container sentinel
06:19:45 Pod rfs-test-cluster-54df69f8df-rdbzd 877:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rdbzd to acto-cluster-3-worker2
06:19:46 Pod rfs-test-cluster-54df69f8df-rdbzd 882:	Container image "redis:6.2.6-alpine" already present on machine
06:19:46 Pod rfs-test-cluster-54df69f8df-rdbzd 882:	Created container sentinel-config-copy
06:20:00 Pod rfs-test-cluster-54df69f8df-rdbzd 882:	Started container sentinel-config-copy
06:20:02 Pod rfs-test-cluster-54df69f8df-rdbzd 882:	Container image "redis:6.2.6-alpine" already present on machine
06:20:02 Pod rfs-test-cluster-54df69f8df-rdbzd 882:	Created container sentinel
06:20:02 Pod rfs-test-cluster-54df69f8df-rdbzd 882:	Started container sentinel
06:19:45 Pod rfs-test-cluster-54df69f8df-rwlcg 880:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rwlcg to acto-cluster-3-worker
