I0402 08:10:30.484680       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:10:43.879965       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:10:43.880088       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:10:43.881042       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:10:43.881248       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:11:13.868945       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:11:13.869095       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:11:13.869709       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:11:13.869860       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:11:43.879702       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:11:43.879783       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:11:43.880630       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:11:43.880830       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:12:10.564662       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:12:10.564761       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:12:10.565382       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:12:10.565537       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:12:13.867604       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:12:13.867705       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:12:13.868132       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:12:13.868246       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:12:43.876540       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:12:43.876643       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:12:43.877595       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:12:43.877822       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:13:13.881805       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:13:13.881895       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:13:13.883202       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:13:13.883461       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:13:43.889318       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:13:43.889455       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:13:43.889937       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:13:43.890063       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:13:50.661113       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:13:50.661223       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:13:50.661789       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:13:50.661921       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:14:13.885149       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:14:13.885287       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:14:13.885988       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:14:13.886158       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:14:43.864546       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:14:43.864655       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:14:43.865281       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:14:43.865433       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:15:13.876364       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:15:13.876445       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:15:13.877039       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:15:13.877177       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:15:30.735060       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:15:30.735200       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:15:30.735986       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:15:30.736161       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:15:43.866921       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:15:43.867031       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:15:43.867532       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:15:43.867653       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:16:13.889507       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:16:13.889610       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:16:13.890522       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:16:13.890904       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:16:43.877803       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:16:43.877945       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:16:43.878346       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:16:43.878473       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:17:10.818509       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:17:10.818592       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:17:10.819173       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:17:10.819299       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:17:13.888268       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:17:13.888357       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1893", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:17:13.889064       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:17:13.889222       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:17:43.883797       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
