07:24:32 Pod rfs-test-cluster-54df69f8df-5qfvd 899:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-5qfvd to acto-cluster-6-worker3
07:24:32 Pod rfs-test-cluster-54df69f8df-5qfvd 904:	Container image "redis:6.2.6-alpine" already present on machine
07:24:32 Pod rfs-test-cluster-54df69f8df-5qfvd 904:	Created container sentinel-config-copy
07:24:48 Pod rfs-test-cluster-54df69f8df-5qfvd 904:	Started container sentinel-config-copy
07:24:50 Pod rfs-test-cluster-54df69f8df-5qfvd 904:	Container image "redis:6.2.6-alpine" already present on machine
07:24:50 Pod rfs-test-cluster-54df69f8df-5qfvd 904:	Created container sentinel
07:24:50 Pod rfs-test-cluster-54df69f8df-5qfvd 904:	Started container sentinel
07:24:32 Pod rfs-test-cluster-54df69f8df-dxfkq 902:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-dxfkq to acto-cluster-6-worker2
07:24:32 Pod rfs-test-cluster-54df69f8df-dxfkq 909:	Container image "redis:6.2.6-alpine" already present on machine
07:24:32 Pod rfs-test-cluster-54df69f8df-dxfkq 909:	Created container sentinel-config-copy
07:24:47 Pod rfs-test-cluster-54df69f8df-dxfkq 909:	Started container sentinel-config-copy
07:24:49 Pod rfs-test-cluster-54df69f8df-dxfkq 909:	Container image "redis:6.2.6-alpine" already present on machine
07:24:49 Pod rfs-test-cluster-54df69f8df-dxfkq 909:	Created container sentinel
07:24:49 Pod rfs-test-cluster-54df69f8df-dxfkq 909:	Started container sentinel
07:24:32 ReplicaSet rfs-test-cluster-54df69f8df 897:	Created pod: rfs-test-cluster-54df69f8df-5qfvd
07:24:32 ReplicaSet rfs-test-cluster-54df69f8df 897:	Created pod: rfs-test-cluster-54df69f8df-dxfkq
07:24:32 ReplicaSet rfs-test-cluster-54df69f8df 897:	Created pod: rfs-test-cluster-54df69f8df-5lgw5
07:24:31 PodDisruptionBudget rfs-test-cluster 891:	No matching pods found
07:24:32 Deployment rfs-test-cluster 896:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
