09:32:49 ReplicaSet rfs-test-cluster-54df69f8df 1616:	Deleted pod: rfs-test-cluster-54df69f8df-hkrqh
09:33:39 ReplicaSet rfs-test-cluster-54df69f8df 1743:	Deleted pod: rfs-test-cluster-54df69f8df-qgctx
09:34:29 ReplicaSet rfs-test-cluster-54df69f8df 1872:	Deleted pod: rfs-test-cluster-54df69f8df-fdcrq
09:35:31 ReplicaSet rfs-test-cluster-54df69f8df 1991:	Created pod: rfs-test-cluster-54df69f8df-7xqft
09:36:21 ReplicaSet rfs-test-cluster-54df69f8df 2109:	Created pod: rfs-test-cluster-54df69f8df-qvq9h
09:37:11 ReplicaSet rfs-test-cluster-54df69f8df 2240:	Created pod: rfs-test-cluster-54df69f8df-jqtj6
09:32:49 Pod rfs-test-cluster-5c7d7c749-4p5x5 1628:	Successfully assigned acto-namespace/rfs-test-cluster-5c7d7c749-4p5x5 to acto-cluster-2-worker3
09:32:50 Pod rfs-test-cluster-5c7d7c749-4p5x5 1632:	Container image "redis:6.2.6-alpine" already present on machine
09:32:50 Pod rfs-test-cluster-5c7d7c749-4p5x5 1632:	Created container sentinel-config-copy
09:33:03 Pod rfs-test-cluster-5c7d7c749-4p5x5 1632:	Started container sentinel-config-copy
09:33:05 Pod rfs-test-cluster-5c7d7c749-4p5x5 1632:	Container image "redis:6.2.6-alpine" already present on machine
09:33:05 Pod rfs-test-cluster-5c7d7c749-4p5x5 1632:	Created container sentinel
09:33:05 Pod rfs-test-cluster-5c7d7c749-4p5x5 1632:	Started container sentinel
09:37:11 Pod rfs-test-cluster-5c7d7c749-4p5x5 1632:	Stopping container sentinel
09:33:39 Pod rfs-test-cluster-5c7d7c749-fvc9v 1756:	Successfully assigned acto-namespace/rfs-test-cluster-5c7d7c749-fvc9v to acto-cluster-2-worker2
09:33:40 Pod rfs-test-cluster-5c7d7c749-fvc9v 1759:	Container image "redis:6.2.6-alpine" already present on machine
09:33:40 Pod rfs-test-cluster-5c7d7c749-fvc9v 1759:	Created container sentinel-config-copy
09:33:53 Pod rfs-test-cluster-5c7d7c749-fvc9v 1759:	Started container sentinel-config-copy
09:33:55 Pod rfs-test-cluster-5c7d7c749-fvc9v 1759:	Container image "redis:6.2.6-alpine" already present on machine
09:33:55 Pod rfs-test-cluster-5c7d7c749-fvc9v 1759:	Created container sentinel
09:33:55 Pod rfs-test-cluster-5c7d7c749-fvc9v 1759:	Started container sentinel
09:38:02 Pod rfs-test-cluster-5c7d7c749-fvc9v 1759:	Stopping container sentinel
09:31:58 Pod rfs-test-cluster-5c7d7c749-mpnsv 1510:	Successfully assigned acto-namespace/rfs-test-cluster-5c7d7c749-mpnsv to acto-cluster-2-worker
09:31:59 Pod rfs-test-cluster-5c7d7c749-mpnsv 1512:	Container image "redis:6.2.6-alpine" already present on machine
09:31:59 Pod rfs-test-cluster-5c7d7c749-mpnsv 1512:	Created container sentinel-config-copy
09:32:11 Pod rfs-test-cluster-5c7d7c749-mpnsv 1512:	Started container sentinel-config-copy
