03:47:00 Pod cockroach-operator-manager-57b7fbd794-pxl6m 751:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-pxl6m to acto-cluster-12-worker
03:48:05 Pod test-cluster-0 1027:	Started container db
03:50:22 Pod test-cluster-0 1027:	Stopping container db
03:50:59 Pod test-cluster-0 1494:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-12-worker
03:50:59 Pod test-cluster-0 1495:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:50:59 Pod test-cluster-0 1495:	Created container db-init
03:50:59 Pod test-cluster-0 1495:	Started container db-init
03:51:00 Pod test-cluster-0 1495:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:51:00 Pod test-cluster-0 1495:	Created container db
03:51:00 Pod test-cluster-0 1495:	Started container db
03:52:34 Pod test-cluster-0 1495:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:52:55 Pod test-cluster-0 1495:	Stopping container db
03:53:22 Pod test-cluster-0 1898:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-12-worker
03:53:24 Pod test-cluster-0 1899:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:53:24 Pod test-cluster-0 1899:	Created container db-init
03:53:24 Pod test-cluster-0 1899:	Started container db-init
03:53:25 Pod test-cluster-0 1899:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:53:25 Pod test-cluster-0 1899:	Created container db
03:53:25 Pod test-cluster-0 1899:	Started container db
03:55:02 Pod test-cluster-0 1899:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:55:19 Pod test-cluster-0 1899:	Stopping container db
03:55:47 Pod test-cluster-0 2297:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-12-worker
03:55:48 Pod test-cluster-0 2299:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:55:48 Pod test-cluster-0 2299:	Created container db-init
03:55:48 Pod test-cluster-0 2299:	Started container db-init
03:55:48 Pod test-cluster-0 2299:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:55:48 Pod test-cluster-0 2299:	Created container db
03:55:48 Pod test-cluster-0 2299:	Started container db
03:58:08 Pod test-cluster-0 2299:	Stopping container db
03:48:03 Pod test-cluster-1 949:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-12-worker3
03:48:04 Pod test-cluster-1 1005:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:48:04 Pod test-cluster-1 1005:	Created container db-init
03:48:04 Pod test-cluster-1 1005:	Started container db-init
03:48:05 Pod test-cluster-1 1005:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:48:05 Pod test-cluster-1 1005:	Created container db
03:48:05 Pod test-cluster-1 1005:	Started container db
03:49:32 Pod test-cluster-1 1005:	Stopping container db
03:50:07 Pod test-cluster-1 1355:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-12-worker3
03:50:08 Pod test-cluster-1 1356:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:50:08 Pod test-cluster-1 1356:	Created container db-init
03:50:08 Pod test-cluster-1 1356:	Started container db-init
03:50:08 Pod test-cluster-1 1356:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:50:08 Pod test-cluster-1 1356:	Created container db
03:50:09 Pod test-cluster-1 1356:	Started container db
03:50:27 Pod test-cluster-1 1356:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:52:22 Pod test-cluster-1 1356:	Stopping container db
03:52:25 Pod test-cluster-1 1726:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-12-worker3
03:52:25 Pod test-cluster-1 1727:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:52:25 Pod test-cluster-1 1727:	Created container db-init
03:52:25 Pod test-cluster-1 1727:	Started container db-init
03:52:26 Pod test-cluster-1 1727:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:52:26 Pod test-cluster-1 1727:	Created container db
03:52:26 Pod test-cluster-1 1727:	Started container db
03:52:40 Pod test-cluster-1 1727:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:54:47 Pod test-cluster-1 1727:	Stopping container db
03:54:54 Pod test-cluster-1 2133:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-12-worker3
03:54:55 Pod test-cluster-1 2134:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:54:55 Pod test-cluster-1 2134:	Created container db-init
03:54:56 Pod test-cluster-1 2134:	Started container db-init
03:54:57 Pod test-cluster-1 2134:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:54:57 Pod test-cluster-1 2134:	Created container db
03:54:57 Pod test-cluster-1 2134:	Started container db
03:55:09 Pod test-cluster-1 2134:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:57:14 Pod test-cluster-1 2134:	Stopping container db
03:57:53 Pod test-cluster-1 2583:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-12-worker3
03:57:54 Pod test-cluster-1 2584:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:57:54 Pod test-cluster-1 2584:	Created container db-init
03:57:54 Pod test-cluster-1 2584:	Started container db-init
03:57:54 Pod test-cluster-1 2584:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:57:54 Pod test-cluster-1 2584:	Created container db
03:57:55 Pod test-cluster-1 2584:	Started container db
03:48:04 Pod test-cluster-2 957:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-12-worker2
03:48:05 Pod test-cluster-2 1030:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:48:05 Pod test-cluster-2 1030:	Created container db-init
03:48:05 Pod test-cluster-2 1030:	Started container db-init
03:48:06 Pod test-cluster-2 1030:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:48:06 Pod test-cluster-2 1030:	Created container db
03:48:06 Pod test-cluster-2 1030:	Started container db
03:49:07 Pod test-cluster-2 1030:	Stopping container db
03:49:16 Pod test-cluster-2 1235:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-12-worker2
03:49:17 Pod test-cluster-2 1236:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:49:17 Pod test-cluster-2 1236:	Created container db-init
03:49:17 Pod test-cluster-2 1236:	Started container db-init
03:49:18 Pod test-cluster-2 1236:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:49:18 Pod test-cluster-2 1236:	Created container db
03:49:18 Pod test-cluster-2 1236:	Started container db
03:52:01 Pod test-cluster-2 1236:	Stopping container db
03:52:07 Pod test-cluster-2 1654:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-12-worker2
03:52:07 Pod test-cluster-2 1655:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:52:07 Pod test-cluster-2 1655:	Created container db-init
03:52:07 Pod test-cluster-2 1655:	Started container db-init
03:52:08 Pod test-cluster-2 1655:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:52:08 Pod test-cluster-2 1655:	Created container db
03:52:08 Pod test-cluster-2 1655:	Started container db
03:52:32 Pod test-cluster-2 1655:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:54:27 Pod test-cluster-2 1655:	Stopping container db
03:54:32 Pod test-cluster-2 2056:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-12-worker2
03:54:32 Pod test-cluster-2 2057:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:54:32 Pod test-cluster-2 2057:	Created container db-init
03:54:33 Pod test-cluster-2 2057:	Started container db-init
03:54:33 Pod test-cluster-2 2057:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:54:33 Pod test-cluster-2 2057:	Created container db
03:54:33 Pod test-cluster-2 2057:	Started container db
03:55:02 Pod test-cluster-2 2057:	Readiness probe failed: HTTP probe failed with statuscode: 503
03:56:50 Pod test-cluster-2 2057:	Stopping container db
03:56:59 Pod test-cluster-2 2460:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-12-worker2
03:57:00 Pod test-cluster-2 2461:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:57:00 Pod test-cluster-2 2461:	Created container db-init
03:57:00 Pod test-cluster-2 2461:	Started container db-init
03:57:00 Pod test-cluster-2 2461:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:57:00 Pod test-cluster-2 2461:	Created container db
03:57:00 Pod test-cluster-2 2461:	Started container db
03:59:12 Pod test-cluster-2 2461:	Stopping container db
03:47:56 Pod test-cluster-vcheck-28006787--1-dsk29 902:	Successfully assigned cockroach-operator-system/test-cluster-vcheck-28006787--1-dsk29 to acto-cluster-12-worker3
03:47:56 Pod test-cluster-vcheck-28006787--1-dsk29 904:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
03:47:56 Pod test-cluster-vcheck-28006787--1-dsk29 904:	Created container crdb
03:47:56 Pod test-cluster-vcheck-28006787--1-dsk29 904:	Started container crdb
03:47:59 Pod test-cluster-vcheck-28006787--1-dsk29 904:	Stopping container crdb
03:47:56 Job test-cluster-vcheck-28006787 901:	Created pod: test-cluster-vcheck-28006787--1-dsk29
03:47:59 StatefulSet test-cluster 936:	create Claim datadir-test-cluster-0 Pod test-cluster-0 in StatefulSet test-cluster success
03:47:59 StatefulSet test-cluster 936:	create Pod test-cluster-0 in StatefulSet test-cluster successful
03:47:59 StatefulSet test-cluster 936:	create Claim datadir-test-cluster-1 Pod test-cluster-1 in StatefulSet test-cluster success
03:47:59 StatefulSet test-cluster 936:	create Pod test-cluster-1 in StatefulSet test-cluster successful
03:47:59 StatefulSet test-cluster 936:	create Claim datadir-test-cluster-2 Pod test-cluster-2 in StatefulSet test-cluster success
03:47:59 StatefulSet test-cluster 936:	create Pod test-cluster-2 in StatefulSet test-cluster successful
03:49:07 StatefulSet test-cluster 1195:	delete Pod test-cluster-2 in StatefulSet test-cluster successful
03:49:32 StatefulSet test-cluster 1238:	delete Pod test-cluster-1 in StatefulSet test-cluster successful
03:50:22 StatefulSet test-cluster 1360:	delete Pod test-cluster-0 in StatefulSet test-cluster successful
