05:42:48 Pod redisoperator-56c8dfdfb-6j9ng 794:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-6j9ng to acto-cluster-1-worker
05:43:23 Pod rfs-test-cluster-54df69f8df-8f7g5 923:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-8f7g5 to acto-cluster-1-worker3
05:43:39 Pod rfs-test-cluster-54df69f8df-8f7g5 926:	Container image "redis:6.2.6-alpine" already present on machine
05:43:39 Pod rfs-test-cluster-54df69f8df-8f7g5 926:	Created container sentinel-config-copy
05:43:56 Pod rfs-test-cluster-54df69f8df-8f7g5 926:	Started container sentinel-config-copy
05:43:58 Pod rfs-test-cluster-54df69f8df-8f7g5 926:	Container image "redis:6.2.6-alpine" already present on machine
05:43:58 Pod rfs-test-cluster-54df69f8df-8f7g5 926:	Created container sentinel
05:43:58 Pod rfs-test-cluster-54df69f8df-8f7g5 926:	Started container sentinel
05:43:23 Pod rfs-test-cluster-54df69f8df-gctt7 922:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-gctt7 to acto-cluster-1-worker2
05:43:39 Pod rfs-test-cluster-54df69f8df-gctt7 927:	Container image "redis:6.2.6-alpine" already present on machine
05:43:39 Pod rfs-test-cluster-54df69f8df-gctt7 927:	Created container sentinel-config-copy
05:43:52 Pod rfs-test-cluster-54df69f8df-gctt7 927:	Started container sentinel-config-copy
05:43:56 Pod rfs-test-cluster-54df69f8df-gctt7 927:	Container image "redis:6.2.6-alpine" already present on machine
05:43:56 Pod rfs-test-cluster-54df69f8df-gctt7 927:	Created container sentinel
05:43:56 Pod rfs-test-cluster-54df69f8df-gctt7 927:	Started container sentinel
05:43:23 ReplicaSet rfs-test-cluster-54df69f8df 915:	Created pod: rfs-test-cluster-54df69f8df-7l97c
05:43:23 ReplicaSet rfs-test-cluster-54df69f8df 915:	Created pod: rfs-test-cluster-54df69f8df-gctt7
05:43:23 ReplicaSet rfs-test-cluster-54df69f8df 915:	Created pod: rfs-test-cluster-54df69f8df-8f7g5
05:43:23 PodDisruptionBudget rfs-test-cluster 910:	No matching pods found
05:43:23 Deployment rfs-test-cluster 914:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
