06:55:29 Pod redisoperator-56c8dfdfb-kvkrj 790:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-kvkrj to acto-cluster-10-worker
07:00:16 Pod rfs-test-cluster-db9b7ff94-6ck25 1560:	Successfully assigned acto-namespace/rfs-test-cluster-db9b7ff94-6ck25 to acto-cluster-10-worker2
07:00:16 Pod rfs-test-cluster-db9b7ff94-6ck25 1563:	Container image "redis:6.2.6-alpine" already present on machine
07:00:16 Pod rfs-test-cluster-db9b7ff94-6ck25 1563:	Created container sentinel-config-copy
07:00:30 Pod rfs-test-cluster-db9b7ff94-6ck25 1563:	Started container sentinel-config-copy
07:00:32 Pod rfs-test-cluster-db9b7ff94-6ck25 1563:	Container image "redis:6.2.6-alpine" already present on machine
07:00:32 Pod rfs-test-cluster-db9b7ff94-6ck25 1563:	Created container sentinel
07:00:33 Pod rfs-test-cluster-db9b7ff94-6ck25 1563:	Started container sentinel
07:02:58 Pod rfs-test-cluster-db9b7ff94-6ck25 1563:	Stopping container sentinel
06:58:34 Pod rfs-test-cluster-db9b7ff94-s2bd2 1313:	Successfully assigned acto-namespace/rfs-test-cluster-db9b7ff94-s2bd2 to acto-cluster-10-worker3
06:58:35 Pod rfs-test-cluster-db9b7ff94-s2bd2 1315:	Container image "redis:6.2.6-alpine" already present on machine
06:58:35 Pod rfs-test-cluster-db9b7ff94-s2bd2 1315:	Created container sentinel-config-copy
06:58:46 Pod rfs-test-cluster-db9b7ff94-s2bd2 1315:	Started container sentinel-config-copy
06:58:48 Pod rfs-test-cluster-db9b7ff94-s2bd2 1315:	Container image "redis:6.2.6-alpine" already present on machine
06:58:48 Pod rfs-test-cluster-db9b7ff94-s2bd2 1315:	Created container sentinel
06:58:49 Pod rfs-test-cluster-db9b7ff94-s2bd2 1315:	Started container sentinel
07:03:48 Pod rfs-test-cluster-db9b7ff94-s2bd2 1315:	Stopping container sentinel
06:58:34 ReplicaSet rfs-test-cluster-db9b7ff94 1310:	Created pod: rfs-test-cluster-db9b7ff94-s2bd2
06:59:25 ReplicaSet rfs-test-cluster-db9b7ff94 1430:	Created pod: rfs-test-cluster-db9b7ff94-64cq4
07:00:16 ReplicaSet rfs-test-cluster-db9b7ff94 1558:	Created pod: rfs-test-cluster-db9b7ff94-6ck25
07:02:58 ReplicaSet rfs-test-cluster-db9b7ff94 1902:	Deleted pod: rfs-test-cluster-db9b7ff94-6ck25
07:03:48 ReplicaSet rfs-test-cluster-db9b7ff94 2029:	Deleted pod: rfs-test-cluster-db9b7ff94-s2bd2
07:04:38 ReplicaSet rfs-test-cluster-db9b7ff94 2157:	Deleted pod: rfs-test-cluster-db9b7ff94-64cq4
06:55:32 PodDisruptionBudget rfs-test-cluster 856:	No matching pods found
06:55:32 Deployment rfs-test-cluster 860:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
06:58:34 Deployment rfs-test-cluster 1309:	Scaled up replica set rfs-test-cluster-db9b7ff94 to 1
06:59:25 Deployment rfs-test-cluster 1379:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
06:59:25 Deployment rfs-test-cluster 1423:	Scaled up replica set rfs-test-cluster-db9b7ff94 to 2
07:00:16 Deployment rfs-test-cluster 1522:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
07:00:16 Deployment rfs-test-cluster 1551:	Scaled up replica set rfs-test-cluster-db9b7ff94 to 3
07:01:06 Deployment rfs-test-cluster 1667:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
07:02:08 Deployment rfs-test-cluster 1794:	Scaled up replica set rfs-test-cluster-6b8f7dc5c8 to 1
07:02:58 Deployment rfs-test-cluster 1856:	Scaled down replica set rfs-test-cluster-db9b7ff94 to 2
07:02:58 Deployment rfs-test-cluster 1905:	(combined from similar events): Scaled down replica set rfs-test-cluster-db9b7ff94 to 0
