23:32:13 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 896:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-0"
23:32:17 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 896:	Successfully provisioned volume pvc-760d9d3c-6abc-4eb5-bff0-b2bef010ac9e
23:32:48 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1069:	waiting for first consumer to be created before binding
23:32:48 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1076:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
23:32:48 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1076:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-1"
23:32:52 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1076:	Successfully provisioned volume pvc-9ca85b85-4097-48a2-8712-db665953967e
23:33:24 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1235:	waiting for first consumer to be created before binding
23:33:24 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1248:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
23:33:24 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1248:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-2"
23:33:27 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1248:	Successfully provisioned volume pvc-05dc2b1e-d6e2-48c7-b738-f23784d53f8b
23:32:13 StatefulSet test-cluster-follower 883:	create Claim test-cluster-follower-test-cluster-follower-0 Pod test-cluster-follower-0 in StatefulSet test-cluster-follower success
23:32:13 StatefulSet test-cluster-follower 883:	create Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
23:32:48 StatefulSet test-cluster-follower 895:	create Claim test-cluster-follower-test-cluster-follower-1 Pod test-cluster-follower-1 in StatefulSet test-cluster-follower success
23:32:48 StatefulSet test-cluster-follower 895:	create Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
23:33:24 StatefulSet test-cluster-follower 1075:	create Claim test-cluster-follower-test-cluster-follower-2 Pod test-cluster-follower-2 in StatefulSet test-cluster-follower success
23:33:24 StatefulSet test-cluster-follower 1075:	create Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
23:34:35 StatefulSet test-cluster-follower 1511:	delete Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
23:35:37 StatefulSet test-cluster-follower 1625:	delete Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
23:36:38 StatefulSet test-cluster-follower 1860:	delete Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
23:32:18 Pod test-cluster-leader-0 865:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-11-worker3
23:32:18 Pod test-cluster-leader-0 942:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:32:19 Pod test-cluster-leader-0 942:	Created container test-cluster-leader
23:32:20 Pod test-cluster-leader-0 942:	Started container test-cluster-leader
23:32:20 Pod test-cluster-leader-0 942:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:32:20 Pod test-cluster-leader-0 942:	Created container redis-exporter
23:32:22 Pod test-cluster-leader-0 942:	Started container redis-exporter
23:36:37 Pod test-cluster-leader-0 942:	Stopping container test-cluster-leader
23:36:37 Pod test-cluster-leader-0 942:	Stopping container redis-exporter
23:37:07 Pod test-cluster-leader-0 2075:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-11-worker3
23:37:08 Pod test-cluster-leader-0 2076:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:37:08 Pod test-cluster-leader-0 2076:	Created container test-cluster-leader
23:37:10 Pod test-cluster-leader-0 2076:	Started container test-cluster-leader
23:37:10 Pod test-cluster-leader-0 2076:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:37:10 Pod test-cluster-leader-0 2076:	Created container redis-exporter
23:37:11 Pod test-cluster-leader-0 2076:	Started container redis-exporter
23:40:19 Pod test-cluster-leader-0 2076:	Stopping container test-cluster-leader
23:40:19 Pod test-cluster-leader-0 2076:	Stopping container redis-exporter
23:40:50 Pod test-cluster-leader-0 2891:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-11-worker3
23:40:52 Pod test-cluster-leader-0 2892:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:40:52 Pod test-cluster-leader-0 2892:	Created container test-cluster-leader
23:40:53 Pod test-cluster-leader-0 2892:	Started container test-cluster-leader
23:40:53 Pod test-cluster-leader-0 2892:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:40:54 Pod test-cluster-leader-0 2892:	Created container redis-exporter
