06:38:51 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1344:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:38:51 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1344:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 116.01224ms
06:38:51 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1344:	Created container sentinel-exporter
06:38:57 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1344:	Started container sentinel-exporter
06:44:38 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1344:	Stopping container sentinel
06:44:38 Pod rfs-test-cluster-69fdbb97b6-9tfkr 1344:	Stopping container sentinel-exporter
06:45:42 Pod rfs-test-cluster-69fdbb97b6-fklxr 2337:	Successfully assigned acto-namespace/rfs-test-cluster-69fdbb97b6-fklxr to acto-cluster-8-worker3
06:45:44 Pod rfs-test-cluster-69fdbb97b6-fklxr 2340:	Container image "redis:6.2.6-alpine" already present on machine
06:45:44 Pod rfs-test-cluster-69fdbb97b6-fklxr 2340:	Created container sentinel-config-copy
06:45:55 Pod rfs-test-cluster-69fdbb97b6-fklxr 2340:	Started container sentinel-config-copy
06:45:58 Pod rfs-test-cluster-69fdbb97b6-fklxr 2340:	Container image "redis:6.2.6-alpine" already present on machine
06:45:58 Pod rfs-test-cluster-69fdbb97b6-fklxr 2340:	Created container sentinel
06:45:58 Pod rfs-test-cluster-69fdbb97b6-fklxr 2340:	Started container sentinel
06:45:58 Pod rfs-test-cluster-69fdbb97b6-fklxr 2340:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:45:58 Pod rfs-test-cluster-69fdbb97b6-fklxr 2340:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 182.013859ms
06:45:58 Pod rfs-test-cluster-69fdbb97b6-fklxr 2340:	Created container sentinel-exporter
06:46:01 Pod rfs-test-cluster-69fdbb97b6-fklxr 2340:	Started container sentinel-exporter
06:50:59 Pod rfs-test-cluster-69fdbb97b6-fklxr 2340:	Stopping container sentinel
06:50:59 Pod rfs-test-cluster-69fdbb97b6-fklxr 2340:	Stopping container sentinel-exporter
06:40:15 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1597:	Successfully assigned acto-namespace/rfs-test-cluster-69fdbb97b6-hpfhf to acto-cluster-8-worker2
06:40:16 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1599:	Container image "redis:6.2.6-alpine" already present on machine
06:40:16 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1599:	Created container sentinel-config-copy
06:40:30 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1599:	Started container sentinel-config-copy
06:40:32 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1599:	Container image "redis:6.2.6-alpine" already present on machine
06:40:32 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1599:	Created container sentinel
06:40:32 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1599:	Started container sentinel
06:40:32 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1599:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:40:32 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1599:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 109.782195ms
06:40:32 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1599:	Created container sentinel-exporter
06:40:35 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1599:	Started container sentinel-exporter
06:42:58 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1599:	Stopping container sentinel
06:42:58 Pod rfs-test-cluster-69fdbb97b6-hpfhf 1599:	Stopping container sentinel-exporter
06:47:24 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2595:	Successfully assigned acto-namespace/rfs-test-cluster-69fdbb97b6-j4bzx to acto-cluster-8-worker2
06:47:25 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2597:	Container image "redis:6.2.6-alpine" already present on machine
06:47:25 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2597:	Created container sentinel-config-copy
06:47:38 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2597:	Started container sentinel-config-copy
06:47:40 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2597:	Container image "redis:6.2.6-alpine" already present on machine
06:47:40 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2597:	Created container sentinel
06:47:40 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2597:	Started container sentinel
06:47:40 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2597:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:47:40 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2597:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 123.740241ms
06:47:40 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2597:	Created container sentinel-exporter
06:47:44 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2597:	Started container sentinel-exporter
06:50:09 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2597:	Stopping container sentinel
06:50:09 Pod rfs-test-cluster-69fdbb97b6-j4bzx 2597:	Stopping container sentinel-exporter
06:38:35 ReplicaSet rfs-test-cluster-69fdbb97b6 1339:	Created pod: rfs-test-cluster-69fdbb97b6-9tfkr
06:39:25 ReplicaSet rfs-test-cluster-69fdbb97b6 1462:	Created pod: rfs-test-cluster-69fdbb97b6-6vn9t
06:40:15 ReplicaSet rfs-test-cluster-69fdbb97b6 1594:	Created pod: rfs-test-cluster-69fdbb97b6-hpfhf
06:42:58 ReplicaSet rfs-test-cluster-69fdbb97b6 1948:	Deleted pod: rfs-test-cluster-69fdbb97b6-hpfhf
06:43:48 ReplicaSet rfs-test-cluster-69fdbb97b6 2079:	Deleted pod: rfs-test-cluster-69fdbb97b6-6vn9t
06:44:38 ReplicaSet rfs-test-cluster-69fdbb97b6 2210:	Deleted pod: rfs-test-cluster-69fdbb97b6-9tfkr
06:45:42 ReplicaSet rfs-test-cluster-69fdbb97b6 2335:	Created pod: rfs-test-cluster-69fdbb97b6-fklxr
06:46:33 ReplicaSet rfs-test-cluster-69fdbb97b6 2464:	Created pod: rfs-test-cluster-69fdbb97b6-4m847
06:47:24 ReplicaSet rfs-test-cluster-69fdbb97b6 2592:	Created pod: rfs-test-cluster-69fdbb97b6-j4bzx
06:50:09 ReplicaSet rfs-test-cluster-69fdbb97b6 2950:	Deleted pod: rfs-test-cluster-69fdbb97b6-j4bzx
06:50:59 ReplicaSet rfs-test-cluster-69fdbb97b6 3081:	Deleted pod: rfs-test-cluster-69fdbb97b6-fklxr
06:51:49 ReplicaSet rfs-test-cluster-69fdbb97b6 3213:	Deleted pod: rfs-test-cluster-69fdbb97b6-4m847
06:49:16 Pod rfs-test-cluster-6bcd9ccf48-5pfgk 2836:	Successfully assigned acto-namespace/rfs-test-cluster-6bcd9ccf48-5pfgk to acto-cluster-8-worker2
06:49:17 Pod rfs-test-cluster-6bcd9ccf48-5pfgk 2838:	Container image "redis:6.2.6-alpine" already present on machine
06:49:17 Pod rfs-test-cluster-6bcd9ccf48-5pfgk 2838:	Created container sentinel-config-copy
06:49:32 Pod rfs-test-cluster-6bcd9ccf48-5pfgk 2838:	Started container sentinel-config-copy
06:49:34 Pod rfs-test-cluster-6bcd9ccf48-5pfgk 2838:	Container image "redis:6.2.6-alpine" already present on machine
06:49:35 Pod rfs-test-cluster-6bcd9ccf48-5pfgk 2838:	Created container sentinel
06:49:35 Pod rfs-test-cluster-6bcd9ccf48-5pfgk 2838:	Started container sentinel
06:49:35 Pod rfs-test-cluster-6bcd9ccf48-5pfgk 2838:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:49:35 Pod rfs-test-cluster-6bcd9ccf48-5pfgk 2838:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.632137ms
06:49:35 Pod rfs-test-cluster-6bcd9ccf48-5pfgk 2838:	Created container sentinel-exporter
06:49:38 Pod rfs-test-cluster-6bcd9ccf48-5pfgk 2838:	Started container sentinel-exporter
06:50:09 Pod rfs-test-cluster-6bcd9ccf48-gqq9j 2964:	Successfully assigned acto-namespace/rfs-test-cluster-6bcd9ccf48-gqq9j to acto-cluster-8-worker3
06:50:09 Pod rfs-test-cluster-6bcd9ccf48-gqq9j 2967:	Container image "redis:6.2.6-alpine" already present on machine
06:50:09 Pod rfs-test-cluster-6bcd9ccf48-gqq9j 2967:	Created container sentinel-config-copy
06:50:23 Pod rfs-test-cluster-6bcd9ccf48-gqq9j 2967:	Started container sentinel-config-copy
06:50:25 Pod rfs-test-cluster-6bcd9ccf48-gqq9j 2967:	Container image "redis:6.2.6-alpine" already present on machine
06:50:25 Pod rfs-test-cluster-6bcd9ccf48-gqq9j 2967:	Created container sentinel
06:50:25 Pod rfs-test-cluster-6bcd9ccf48-gqq9j 2967:	Started container sentinel
06:50:25 Pod rfs-test-cluster-6bcd9ccf48-gqq9j 2967:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:50:26 Pod rfs-test-cluster-6bcd9ccf48-gqq9j 2967:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 115.156284ms
06:50:26 Pod rfs-test-cluster-6bcd9ccf48-gqq9j 2967:	Created container sentinel-exporter
06:50:28 Pod rfs-test-cluster-6bcd9ccf48-gqq9j 2967:	Started container sentinel-exporter
06:42:07 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1840:	Successfully assigned acto-namespace/rfs-test-cluster-6bcd9ccf48-jr85w to acto-cluster-8-worker2
06:42:08 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1843:	Container image "redis:6.2.6-alpine" already present on machine
06:42:08 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1843:	Created container sentinel-config-copy
06:42:21 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1843:	Started container sentinel-config-copy
06:42:23 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1843:	Container image "redis:6.2.6-alpine" already present on machine
06:42:23 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1843:	Created container sentinel
06:42:24 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1843:	Started container sentinel
06:42:24 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1843:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:42:24 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1843:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 143.374826ms
06:42:24 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1843:	Created container sentinel-exporter
06:42:26 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1843:	Started container sentinel-exporter
06:48:14 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1843:	Stopping container sentinel
06:48:14 Pod rfs-test-cluster-6bcd9ccf48-jr85w 1843:	Stopping container sentinel-exporter
06:42:58 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1962:	Successfully assigned acto-namespace/rfs-test-cluster-6bcd9ccf48-k7j6f to acto-cluster-8-worker
06:42:59 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1967:	Container image "redis:6.2.6-alpine" already present on machine
06:42:59 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1967:	Created container sentinel-config-copy
06:43:12 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1967:	Started container sentinel-config-copy
06:43:13 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1967:	Container image "redis:6.2.6-alpine" already present on machine
06:43:13 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1967:	Created container sentinel
06:43:13 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1967:	Started container sentinel
06:43:13 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1967:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:43:13 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1967:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 109.338863ms
06:43:13 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1967:	Created container sentinel-exporter
06:43:15 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1967:	Started container sentinel-exporter
06:47:24 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1967:	Stopping container sentinel
06:47:24 Pod rfs-test-cluster-6bcd9ccf48-k7j6f 1967:	Stopping container sentinel-exporter
06:50:59 Pod rfs-test-cluster-6bcd9ccf48-rn7pj 3094:	Successfully assigned acto-namespace/rfs-test-cluster-6bcd9ccf48-rn7pj to acto-cluster-8-worker
06:50:59 Pod rfs-test-cluster-6bcd9ccf48-rn7pj 3098:	Container image "redis:6.2.6-alpine" already present on machine
06:50:59 Pod rfs-test-cluster-6bcd9ccf48-rn7pj 3098:	Created container sentinel-config-copy
06:51:12 Pod rfs-test-cluster-6bcd9ccf48-rn7pj 3098:	Started container sentinel-config-copy
06:51:14 Pod rfs-test-cluster-6bcd9ccf48-rn7pj 3098:	Container image "redis:6.2.6-alpine" already present on machine
06:51:14 Pod rfs-test-cluster-6bcd9ccf48-rn7pj 3098:	Created container sentinel
06:51:14 Pod rfs-test-cluster-6bcd9ccf48-rn7pj 3098:	Started container sentinel
06:51:14 Pod rfs-test-cluster-6bcd9ccf48-rn7pj 3098:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:51:14 Pod rfs-test-cluster-6bcd9ccf48-rn7pj 3098:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 140.23582ms
06:51:15 Pod rfs-test-cluster-6bcd9ccf48-rn7pj 3098:	Created container sentinel-exporter
06:51:18 Pod rfs-test-cluster-6bcd9ccf48-rn7pj 3098:	Started container sentinel-exporter
06:43:48 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2093:	Successfully assigned acto-namespace/rfs-test-cluster-6bcd9ccf48-sb67z to acto-cluster-8-worker3
06:43:49 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2096:	Container image "redis:6.2.6-alpine" already present on machine
06:43:49 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2096:	Created container sentinel-config-copy
06:44:04 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2096:	Started container sentinel-config-copy
06:44:06 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2096:	Container image "redis:6.2.6-alpine" already present on machine
06:44:06 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2096:	Created container sentinel
06:44:07 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2096:	Started container sentinel
06:44:07 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2096:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:44:07 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2096:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 184.831299ms
06:44:07 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2096:	Created container sentinel-exporter
06:44:09 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2096:	Started container sentinel-exporter
06:46:33 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2096:	Stopping container sentinel
06:46:33 Pod rfs-test-cluster-6bcd9ccf48-sb67z 2096:	Stopping container sentinel-exporter
06:42:07 ReplicaSet rfs-test-cluster-6bcd9ccf48 1837:	Created pod: rfs-test-cluster-6bcd9ccf48-jr85w
06:42:58 ReplicaSet rfs-test-cluster-6bcd9ccf48 1959:	Created pod: rfs-test-cluster-6bcd9ccf48-k7j6f
06:43:48 ReplicaSet rfs-test-cluster-6bcd9ccf48 2090:	Created pod: rfs-test-cluster-6bcd9ccf48-sb67z
06:46:33 ReplicaSet rfs-test-cluster-6bcd9ccf48 2453:	Deleted pod: rfs-test-cluster-6bcd9ccf48-sb67z
06:47:24 ReplicaSet rfs-test-cluster-6bcd9ccf48 2581:	Deleted pod: rfs-test-cluster-6bcd9ccf48-k7j6f
06:48:14 ReplicaSet rfs-test-cluster-6bcd9ccf48 2713:	Deleted pod: rfs-test-cluster-6bcd9ccf48-jr85w
